"","839__53363","1260__165179_228603","1680__1685_216816","165179__228603","115979__1506_36835","309120__1535_329854","29370__452084","421767__1515_214856","46503__187327","1535__329854","36848__169435_189722","45067__173480","39489__1282_1504","1406__1264_33043","1515__214856","1532__239974","1506__36835","511__34087_196024","169435__189722","225991__290309","370979__490189","28454__1113609","1264__33043","28126__1472_33935","82135__1582_1597","184870__36874_187491","29360__33035","243924__1453492","471__48296_106654","1401__79880_290588","1859290__33029_33032","907__1630","28129__477666","43770__470_39490","32013__80866","1661050__1571_40681","67269__285_83617","185293__33034_163877","840__1691_479117","2741__1254_28026","33031__247_237258","29430__40216_202956","157687__29466_626937","191295__106648_588932","1746653__239935_397865","1580__35833_387661","271420__40324_216778","28136__28125_536633","76759__83263","1512__358742","384638__1902_38289","48296__106654","28118__29524_251535","288965__729_487175","376804__114702_1463864","1282__1504","216947__423605","38288__1223514_1827099","516075__1449_1463837","1267__216935","1727__1358_191493","1670__1623_1646377","29375__879_37923","33039__52787","487316__588_410072","1681__78342_310297","28125__536633","294__33069_122355","589436__39485_40520","60133__317_47884","29466__626937","84030__454155","84032__28128_43131","35833__387661","729__487175","40324__216778","239935__397865","29355__582_860","587753__584_882211","153721__40214_405446","1358__191493","88688__349096_437898","78342__310297","588__410072","1623__1646377","633701__818_246787","102862__28901_47678","118748__1308_1735","52226__626931","441500__1265_40518","33069__122355","562__28116_46506","39485__40520","79880__290588","39497__1559_36745","1522__287_69825","584__882211","28127__1465754","106648__588932","182710__487698","488__40519","78346__179995_1161942","1685__216816","40214__405446","38986__328812","582__860","53408__39492_1755626","1725__1487956","28901__47678","28091__208479","43675__39778_44749","726__1379","818__246787","285__83617","35825__28037_45851","301__425941","1265__40518","470__39490","1308__1735","166486__301301","470565__28132_387090","1303__29552","349096__437898","28116__46506","47879__28111_33038","287__69825","1510__28117_218538","1582__1597","28128__43131","36874__187491","34087__196024","103892__817_454154","38286__38304","317__47884","179995__1161942","626932__328813_351091","1352__37734","1223514__1827099","153151__291645","39778__44749","53412__658457","1280__28025","876__261299_310298","1307__33964","1571__40681","202611__481743","305719__204516_626930","28132__387090","39492__1755626","1547__39483","28037__45851","1590__187452","104663__1611423","316__341225","291644__820_823","28090__1144673","33029__33032","185294__589437","28111__33038","28117__218538","33034__163877","39496__574375","817__454154","1687__108980","204516__626930","56810__1148157","47880__101564","1691__479117","328813__351091","261299__310298","871324__821_29348","247__237258","1902__38289","29524__251535","284042__1258_54006","114702__1463864","1449__1463837","879__37923","1559__36745","820__823","1258__54006","1467__308892","1472__33935","40216__202956","821__29348","57706__1113922","1584__39484","1254__28026"
"ERR1074894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4456831181329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.23604741981967,0,0,0,0,0,0,0,0,-2.57677403127914,0,0,0,0,0,-2.50034590958757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.06271952008357,0,0,0,0,0,4.46310354179955,0,0,0,0,0,0,0,0,0,0,4.33072615190269,0,0,-2.55499039639312,0,0,0,0,0,0,0,0,-2.40950894260471,0,0,0,0,0,0,0,0,0,0,0,0,-0.12959654968759,0,0,0,0,0,-2.6738038000229,0,0,0,0,-4.42537317940343,0,0,0,0,0,0,0,0,-4.17339190988292,0,-3.30919392181156,0,0,0,0,0,0,0,0,4.6311640311104,0,0,0,0,5.73169200467574,0,0,0
"ERR1074972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66427481547717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.56887279497066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.07886860137602,0,0,0,0,0,0,0,0,0,0,0,0,-0.0522253895218195,0,0,0,4.44941819907066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.40923934766418,0,-5.33275684741179,0,0,0,0,0,-2.73679651575327,0,0,0,0,0,0,0,0,0,-4.17292495774847,0,0,0,0,0,-3.01545631555466,0,0,0,0,0,0,0,0,4.74027061526213,0,0,0,0,5.22292354654512,0,-4.31824967663294,0
"ERR1074999",0,0,0,0,0,-2.44492045289992,0,0,0,4.23472644488697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.57048453385268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45220981270285,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.21160171546604,0,0,0,0,0,0,0,0,-5.83950119870723,0,0,0,0,0,0,0,0,0,0,-2.38810606430371,0,0,0,0,0,0,0,-5.54891134084522,0,0,0,0,-3.83060653729366,0,0,0,0,-4.13632103723737,0,0,0,1.07763856091928,0,-3.06422139740527,0,0,0,0,0,0,0,0,1.37114199183581,0,0,0,0,5.30738714594563,0,0,0
"ERR1075183",0,5.43864375964255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.37550485542043,0,0,0,0,-2.5910110689816,0,0,0,0,0,0,-3.08966758064785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.83537342235588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.75484432665119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79566584112539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.77153034070273,5.84654591078362,0,0,0,0,0,0,0,-4.91101082595084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.48776281444948,0,0,0,5.3514612281805,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.97086331407827,0,0,0,0,0,-0.094927993659574,0,0,0,0,0,0,0
"ERR1075202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.06441903696133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.57567866012943,0,-1.87219517908515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.38623079760898,3.24273717186099,0,0,-1.72815655453666,0,0,0,0,0,0,0,0,0,0,-2.70422860908138,0,0,0,0,0,0,0,0,0,0,0,0,-2.96552159743301,0,0,0,5.86512378761323,0,2.99325495589067,-1.76203984057372,0,0,0,0,-1.65995667880572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.68386134621027,0,0,0,0,0,0,0,0,0,0,-3.05194252883424,0,0,2.8751293060548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1075257",0,0,0,0,0,0,0,0,4.41088543448234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62151777099326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54060197230504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.39283978534066,0,0,0,0,-2.98663977795177,0,0,0,0,0,0,0,-2.51986309055156,0,0,0,0,0,0,0,0,0,0,0,-2.48403895483263,0,0,0,0,0,0,0,-4.14452008258223,-2.92372751202123,0,0,0,0,0,0,0,0,0,0,0,0,-5.1730118393187,0,-4.36453090095284,0,0,0,-2.78704820822116,0,0,0,0,4.30248167775041,0,0,0,0,0,0,0,0,-5.06404459830772,0,-3.16173462602907,0,0,0,0,0,0,0,0,4.82730909978286,0,0,0,0,5.47628501233214,0,0,0
"ERR1075275",0,0,0,0,0,0,0,0,-4.53175203093362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.22767932524583,0,0,-5.02550780313782,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.53771541736717,-2.10326783603746,0,0,0,0,-2.49534786194405,3.85845377429654,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.18791968866748,0,-3.64296675394233,0,0,0,-4.39545203803079,0,0,0,0,0,0,0,0,0,0,4.32206927944547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.52163887122124,0,0,0,0,0,-2.86888383930537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.4038226793387,0,0,0,0,0,0,0,0,4.96905257069016,0,0,0,0,5.89559382056986,0,0,0
"ERR1075669",0,0,0,0,0,0,0,0,4.11823841741495,0,0,0,0,-2.39823279762433,0,0,0,0,0,0,0,0,4.15386105386338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.10845721840894,0,0,0,0,0,-4.84690183180177,0,0,0,0,0,0,0,0,-2.89432898178225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3840058354385,0,0,0,0,0,0,0,-2.5372235700379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62590794029603,0,-5.01312485026596,0,0,0,0,0,-2.75724484782466,0,0,0,0,0,0,0,-4.39460013346693,0,4.54820596859126,0,0,0,0,0,-2.954031231502,0,0,0,0,0,0,0,0,4.77568816533982,0,0,0,0,5.11653218010672,0,0,0
"ERR1075751",0,0,0,0,0,-2.60358124939598,0,0,0,-4.50953500558749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93498082376829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.47709546553461,0,0,0,0,0,-2.36557417474861,4.37437084227155,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.94264008505678,0,0,0,0,0,-4.29045520150443,0,0,0,0,0,0,0,0,0,0,4.09729465973742,0,0,0,0,0,0,0,-2.82282273934651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.09680213570715,0,0,0,0,0,-2.76867927276677,0,0,0,0,0,0,0,-4.88927240530892,0,0,0,0,0,0,0,-3.06881886371631,0,0,0,0,0,0,0,0,4.79549317029489,0,0,0,0,5.31535019118243,0,0,0
"ERR1075911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.85272865470118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.94107097015006,0,0,0,0,0,0,0,0,-2.51898181462746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.66243935257797,0,0,0,-2.46811508231445,0,4.3630044862768,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33574403273537,0,0,0,0,0,0,0,0,0,0,0,0,-4.27490072149567,0,0,0,0,0,0,-2.66243935257797,0,-4.61148023073583,0,0,0,0,0,-5.82658797442362,0,0,0,0,4.04562733817348,0,0,0,0,4.61148023073583,0,0,0,0,0,-3.1719922555896,0,0,0,0,0,0,0,0,0.5879645405113,0,0,0,0,5.49405174789619,0,0,0
