,D000067877,D006262,accuracy,macro avg,weighted avg
precision,0.79,0.9,0.85,0.84,0.86
recall,0.85,0.86,0.85,0.85,0.85
f1-score,0.82,0.88,0.85,0.85,0.85
support,733.0,1170.0,0.85,1903.0,1903.0
