,D001327,D006262,accuracy,macro avg,weighted avg
precision,0.65,0.62,0.63,0.63,0.63
recall,0.56,0.7,0.63,0.63,0.63
f1-score,0.6,0.66,0.63,0.63,0.63
support,187.0,187.0,0.63,374.0,374.0
