,D003920,D006262,accuracy,macro avg,weighted avg
precision,0.89,0.94,0.91,0.91,0.91
recall,0.94,0.88,0.91,0.91,0.91
f1-score,0.91,0.91,0.91,0.91,0.91
support,1180.0,1180.0,0.91,2360.0,2360.0
