"","1580__28111_47879","147802__488_143393","425941__53408_421767","376806__28126_671267","511__1547_56810","1010__41276_999468","2173__285_191295","481743__1401_290588","38286__38304_441500","157687__29466_228604","1888__67269_83617","28130__76517_386414","1613__1308_118748","182710__1467_28025","106648__329854_452084","39483__29360_84030","1532__38288_1223514","1311__28118_1746653","28446__1280_1282","310300__29461_137732","202611__28127_1844653","1379__1267_216935","187452__1254_2741","108980__79880_871324","28091__1710_41976","1144673__40216_216778","310514__136857_626932","225991__290309","370979__490189","1034636__588_1670","28454__1113609","28090__271420","28135__477666","70775__34038_1646377","184870__305719","38304__441500","41276__999468","488__143393","28126__671267","76517__386414","28137__1535_589437","53408__421767","1611423__40214_153721","585__39497_40681","34087__196024","38986__33935_179995","245__405446","13690__88688_626931","1467__28025","243924__1453492","471__106654","33029__187491","239974__1661050","1401__290588","901__1506_28125","860__726_43675","36874__1260_1859290","47877__1661032","1547__56810","93064__351091_376804","840__29552_35825","53412__316_454155","80866__293_32013","28127__1844653","67269__83617","33031__470_582","487698__40324_308892","1254__2741","1408__584_102862","28118__1746653","29430__202956","29461__137732","351091__376804","1710__41976","1487956__818_52787","76759__83263","1504__39489","285__191295","48296__487316","40216__216778","216947__423605","38288__1223514","28132__199_39778","52226__626930_1148157","1280__1282","1727__191493","1267__216935","79880__871324","818__52787","905__237258_328814","33034__1827099","1590__483012","33935__179995","29360__84030","79883__84032","35833__208479_358742","136857__626932","34038__1646377","1358__1515_46228","88688__626931","39497__40681","1510__29348_341225","316__454155","29466__228604","588__1670","33039__387661","28128__53363","726__43675","633701__1691_28026","328812__284042_387090","584__102862","40214__153721","309120__1902_218538","1260__1859290","410072__287_251535","470__582","293__32013","1623__138595","199__39778","839__77095_589436","29552__35825","291644__33043_1755626","40324__308892","45254__166486","39484__1584_1630","214856__36848_169435","626930__1148157","237258__328814","317__122355_1463864","53440__189722","78342__82135","261299__574375","1902__218538","729__60133","1308__118748","284042__387090","1691__28026","33043__1755626","77095__589436","287__251535","40518__821_28116","1465754__1264_69825","329854__452084","1535__589437","44749__2139_45851","294__39492_882211","122355__1463864","163202__310297_310298","28111__47879","29348__341225","1515__46228","1463837__39485_301301","29355__817_487175","1633__40520_216816","39029__165179_187327","1264__69825","57706__46503_47678","39492__882211","821__28116","879__820_397865","39485__301301","2088__46506_204516","310297__310298","163877__239935_454154","165179__187327","40520__216816","246787__328813","46503__47678","817__487175","820__397865","1113922__823_28117","1735__78346","239935__454154","1506__28125","46506__204516","33038__59310","1584__1630","36848__169435","823__28117","28136__228603","1582__1597","2139__45851","208479__358742","1303__28037"
"ERR1074894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.40951133143871,0,0,0,0,0,0,0,0,0,0,0,0,4.17339604746478,0,-2.57677642011314,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46310767938141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.55499278522712,0,0,0,0,0,0,0,0,-3.06877345029987,0,0,0,0,0,0,0,0,0,0,-4.42537731698529,0,0,0,0,-5.31527153283783,0,0,-5.80954460906714,0,0,0,0,-2.9939508474517,0,0,0,0,0,0,0,0,0,0,0,5.18567498315024,1.40096585277305,-5.11949169582381,0,0,0,0,0,0,0,0,0,0.395116611290738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1074972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.40924173649819,0,0,0,0,0,0,0,0,0,0,-4.03938461801707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.07887099021002,0,-4.24391792664316,4.98629000413209,0,4.17292909533033,0,0,0,0,0,0,0,0,0,0,-5.33276098499366,0,0,-5.58433388819333,0,0,0,0,0,0,0,0,0,0,-2.48037950006506,0,0,0,0,0,0,0.773505347474466,-2.73679890458727,-4.29614331616498,0,0,0,0,0,0,0,0,4.74027475284399,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1074999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44492284173392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.60866553156968,0,0,0,0,0,0,0,0,0,0,0,0,4.51834124063237,0,-2.57048692268668,0,0,0,0,0,0,0,0,-2.38810845313771,0,0,0,0,4.45221395028471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.21160410430004,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13632517481923,0,0,0,0,0,-3.83061067487552,0,0,0,0,0,0,0,-3.06422378623927,0,0,4.23473058246883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30739128352749,-3.17027265829842,0,0,0,0,0,0,-5.59597980155165,0,0,5.4910733180193,-2.37864346021481,0,0,0,0,0,0,0,4.11993132618349,0,0,0,0,0
"ERR1075202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52408445881543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.76204222940772,0,-1.72815894337066,0,0,0,0,0,0,-2.70423099791538,0,0,0,0,0,0,0,0,0,0,-3.0519466664161,0,0,0,0,-4.68386548379213,0,2.99325909347253,-3.38623318644298,0,0,0,0,0,0,0,0,0,0,-3.58434464931875,-1.65995906763972,0,0,0,0,0,-5.86512792519509,0,0.27721557442798,0,0,0,0,0,0,0,2.87513344363666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1075257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.92372990085524,0,0,0,0,0,0,0,0,0,0,0,0,5.06404873588958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.98664216678577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.17301597690056,0,0,-3.16173701486307,0,0,0,-2.51986547938556,0,0,0,0,0,0,0,0,0,0,0,-2.54662828179698,0,5.476289149914,-2.78705059705516,0,0,0,-2.62152015982726,0,0,0,4.41088957206421,0,4.82731323736472,-2.48404134366664,0,4.5406061098869,0,0,0,0,0,-4.30248581533227,0,0,-4.3645350385347,0,0
"ERR1075275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.90148067179019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.02551194071968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.18792207750148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.5216430088031,0,0,-5.89917531895076,0,0,0,0,0,0,0,0,0,0,-2.22768171407984,0,0,-2.61641064379416,0,-2.10327022487146,0,1.57352454112439,-2.86888622813937,3.8584579118784,0,0,0,-4.53175616851549,0,4.39545617561265,-3.64297089152419,0,4.96905670827203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1075669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.89433137061626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.01312898784782,0,0,-2.954033620336,3.19848974586256,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15386519144525,-2.37766844771558,0,5.11653631768858,-2.75724723665866,0,-5.73436993637297,0,-2.5372259588719,0,0,0,4.11824255499682,0,4.77569230292168,0,0,-4.39460427104879,0,0.835799866847241,0,0,0,0,0,0,0,0,0
"ERR1075751",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.60358363822998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.73026489237851,0,-2.94264247389078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.09680627328901,-4.72895751172115,0,-5.43439781613292,0,4.50953914316935,0,0,0,0,0,0,0,0,-2.52554657215473,0,0,0,0,0,0,1.21805553144501,-2.76868166160077,4.37437497985342,0,0,-2.82282512818051,0,0,4.29045933908629,0,0,4.79549730787675,0,0,-4.88927654289078,0,0,0,0,0,0,0,0,0,0,0
"ERR1075911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51898420346146,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36300862385866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.66244174141197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.61148436831769,0,0,-3.1719946444236,0,0,0,4.9362349422969,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49405588547805,-5.93575816245007,0,-2.66244174141197,0,0,0,0,0,0,0,0.398884503341363,-5.0793120547461,0,0,0,-4.61148436831769,0,0,0,0.706363594806642,0,0,0,0,0
"ERR1075960",0,0,-2.71198446423388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69729488139054,0,0,0,0,0,0,0,0,0,0,-5.25696493613257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.88599061643724,0,0,0,0,0,0,-2.56732237152351,0,0,0,0,0,0,0,0,-4.99868237783632,0,0,-5.67512217260743,0,0,0,0,-2.58846669636172,4.44673278688694,0,0,0,0,0,0,0,0,0,0,-4.48335583179847,-0.199690510919818,-2.38659332627233,0,-2.39564349603112,0,0,0,0,0,0,0,4.13370089810848,0,0,0,0,-4.14937625194784,0,0,0,0,0,0,0,0,0
