,D003920,D006262,accuracy,macro avg,weighted avg
precision,0.85,0.9,0.88,0.87,0.88
recall,0.83,0.91,0.88,0.87,0.88
f1-score,0.84,0.9,0.88,0.87,0.88
support,108.0,172.0,0.88,280.0,280.0
