,D006262,D013964,accuracy,macro avg,weighted avg
precision,0.92,0.88,0.89,0.9,0.9
recall,0.87,0.92,0.89,0.89,0.89
f1-score,0.89,0.9,0.89,0.89,0.89
support,38.0,38.0,0.89,76.0,76.0
