,D006262,D037841,accuracy,macro avg,weighted avg
precision,0.73,0.89,0.81,0.81,0.82
recall,0.86,0.77,0.81,0.82,0.81
f1-score,0.79,0.82,0.81,0.81,0.81
support,44.0,61.0,0.81,105.0,105.0
