"","817__28116_46506","905__823_338188","1680__351091_363832","134605__204516","169435__239935_397865","84026__97478_626937","1623__165179","28116__46506","40681__70775_626930","1304__39778_1755626","246787__40518_218538","351091__363832","589436__1630_214856","78342__39492_309120","907__69825_187327","84109__328814_626932","39497__29466_47678","823__338188","210__901_83868","28118__33043_357276","39778__1755626","28125__2173_762210","239935__397865","29375__28111_39485","40518__218538","310297__818_28117","1559__328813","29552__39029_454154","29466__47678","901__83868","97478__626937","288965__310298_1161942","69825__187327","328814__626932","45851__633701","28111__39485","818__28117","70775__626930","1630__214856","301301__52226_74426","39492__309120","2173__762210","831__820_328812","387090__1465754","33043__357276","122355__52133_487175","179995__423605","52133__487175","310298__1161942","820__328812","39029__454154","562__329854","52226__74426"
"SRR6357088",0,0,-2.72758856922793,0,0,0,-5.51531839213091,0,0,-2.56361879569536,-3.1005323087822,4.72432198404688,0,0,-5.09841024577914,0,0,0,0,0,-4.44031800538291,2.09046360297576,0,0,-5.37027948931961,0,0,0,0,0,0,0,-0.196999426521697,0,0,0,0,0,0,0,0,4.51104303716236,0,0,0,0,0,0,0,0,0,0,0
"SRR6357089",2.75701582449671,0,0,0,-2.97429078695408,0,0,-4.79892612338798,0,-2.70238621223503,0,0,0,0,0,0,-2.70219177436065,0,0,5.56314053652491,-4.68067022126468,0,-5.15162275948849,0,0,-2.81324517200687,-4.33900981635175,0,-4.68033344498734,0,0,0,0,0,0,0,-4.87268357206375,0,0,0,0,0,-3.18108735999079,0,0,0,0,0,0,5.50980493081919,0,0,0
"SRR6357090",0,0,-2.9173158967771,0,-5.4110028459099,0,0,0,0,-2.69737344046195,-2.98311355613159,5.05293935494631,0,0,0,0,0,0,0,0,-4.67198784586696,0,0.239577717464333,-2.77134334807968,5.16690424396738,-2.54327443625888,0,0,0,0,0,0,0,0,4.77464730749213,-4.80010748409205,-4.40508054119147,0,0,0,0,0,-2.69470207387852,0,0,0,0,0,0,4.66736090321883,0,0,0
"SRR6357091",-2.87680012747996,-2.50740696806021,0,-5.16131427578777,-2.73379729494795,0,-5.41623964080809,4.98276398401592,0,-2.70605058904427,0,0,0,-2.71805283618569,0,0,0,4.34295626393252,0,0,-4.68701710807637,0,-4.7350758124442,0,0,-2.86928654081148,0,-2.4874263229408,0,0,0,0,0,0,0,0,4.96975007015903,0,0,0,4.7078056099303,0,0,0,0,0,0,0,0,0,-4.3083487714177,0,0
"SRR6357092",0,0,0,-4.28763971084716,0,0,-4.99875692809838,0,0,-2.60779734990234,-3.14788403285378,0,0,0,-5.24513578405863,0,0,0,0,0,-4.51683750587433,0,0,-2.83987345991049,-5.45229508123756,0,0,0,0,0,0,0,-0.372922453273755,0,0,-4.91880511963138,0,0,0,0,0,0,-2.69462863917288,0,0,0,0,0,0,4.66723371057761,0,0,0
"SRR6357093",5.18027538796006,0,-3.06194867000729,0,0,0,-5.27567556759467,0,0,0,-2.2862307218298,5.30345066662057,0,0,-5.4944691852754,0,0,0,0,0,0,0,0,0,3.95986776803409,-2.40260159535175,0,0,0,0,0,-2.80742286011102,-0.73928644067889,0,0,0,-4.16142803349528,0,0,0,0,0,-2.48245084369904,0,0,0,0,0,4.86259903204263,4.29973098857896,0,0,0
"SRR6357094",5.12412886763538,0,0,0,0,0,0,0,0,-2.68436231270382,4.45785988650828,0,-2.28849320946048,0,-3.37377693501433,-2.49017342354958,-2.89748924508096,0,0,0,-4.64945191152611,0,0,0,0,-2.70699781475129,0,0,-5.01859858686461,0,0,0,-5.84355306484882,-4.3131068892456,0,0,-4.68865775112715,0,-3.96378651156192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6357095",-2.52589136983151,0,-2.40952569915266,0,0,0,-4.20709503846099,4.37497218694792,0,-2.37723208111998,0,4.17342093307533,0,4.72781116606707,-2.79799138588765,0,0,0,0,0,-4.11748674588251,0,0,0,0,0,0,0,0,0,0,0,-4.84626323949748,0,0,0,0,0,0,0,0,0,-2.88890634237323,0,0,0,0,0,0,5.0037325632984,0,0,0
"SRR6357096",-2.30713175875054,0,0,0,0,0,-5.77790007572173,3.99606942591168,0,-2.81056302367654,-2.57368837311558,0,0,0,0,0,0,0,0,-2.33658896580021,-4.86803795488217,-2.21380987366919,0,0,-4.45775902508547,0,0,-4.83328261523453,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.83443117949268,0,0,4.04709080517079,0,0,0,0,0,-0.106047458056903,0,0
"SRR6357097",0,0,-2.76063284711617,-4.01264569985413,0,0,-5.50452430501445,0,0,-2.90251509610062,0,4.78155635224873,0,0,-2.25754233949441,0,0,0,0,0,-5.02730361618193,0,0,0,0,0,0,0,0,0,0,0,-3.91017803224222,0,0.863113358485873,0,0,0,0,0,0,0,-2.36836207779957,0,0,0,0,0,0,4.10212344946825,0,0,0
