"","817__28116_46506","905__823_338188","1680__351091_363832","134605__204516","169435__239935_397865","84026__97478_626937","1623__165179","28116__46506","40681__70775_626930","1304__39778_1755626","246787__40518_218538","351091__363832","589436__1630_214856","78342__39492_309120","907__69825_187327","84109__328814_626932","39497__29466_47678","823__338188","210__901_83868","28118__33043_357276","39778__1755626","28125__2173_762210","239935__397865","29375__28111_39485","40518__218538","310297__818_28117","1559__328813","29552__39029_454154","29466__47678","901__83868","97478__626937","288965__310298_1161942","69825__187327","328814__626932","45851__633701","28111__39485","818__28117","70775__626930","1630__214856","301301__52226_74426","39492__309120","2173__762210","831__820_328812","387090__1465754","33043__357276","122355__52133_487175","179995__423605","52133__487175","310298__1161942","820__328812","39029__454154","562__329854","52226__74426"
"SRR6357098",0.996911847703672,0,0,-4.38904433999409,-2.64578114373645,0,0,-0.298761758068931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58262736665922,0,0,-2.79455010315989,5.35187258452907,0,0,0,0,0,0,0,0,0,-4.84030276296978,0,0,0,0,0,-2.68913325001848,0,0,-2.59586740796651,0,-4.49617424031012,0,4.65771541735483,0,0,0
"SRR6357099",-5.4165246906987,0,0,-4.41519968583197,0,5.79508031831566,0,-0.209811659214465,0,-2.68546597312969,-2.92027229559625,0,0,0,-3.17837295566099,0,0,0,0,0,-4.65136350745802,-2.38643338434616,0,0,-5.05805998790851,0,0,0,0,0,0,0,-5.5051034446077,0,0,0,0,0,0,0,0,4.1334238705661,-2.67133982568861,0,0,0,0,0,0,4.62689630237486,0,0,0
"SRR6357100",0,0,3.01662234697107,0,-5.43162292697869,-2.68252179364422,0,0,0,0,-2.49575597449911,4.64464408100348,0,0,0,0,0,0,-2.40610170009204,0,0,-2.57515341342448,1.12373494628554,0,4.32277615112603,-2.5186045639025,0,0,0,4.16749039273726,-4.64626403900259,0,0,0,0,0,-4.36235106885398,0,0,0,0,4.46029654933563,0,0,0,0,0,0,0,0,0,0,0
"SRR6357101",0,0,-3.14324053713047,0,5.12266002276886,0,0,0,0,-2.72835195633971,1.99990739224706,5.44425231072007,0,-2.46225452424435,0,-2.71286583772596,0,0,0,0,-4.72564420931032,0,0,0,4.81187768493979,-2.85397875808851,0,0,0,0,0,0,0,4.69882146505926,0,0,-4.94323621273163,0,0,0,4.26474993715754,0,-2.39544608395902,0,0,0,0,0,0,4.14903432420892,0,0,0
"SRR6357102",6.38908136409467,5.41649712648955,2.84231480766113,0,0,0,0,0,0,-3.02432658425994,-2.8137047357372,4.02019784805812,0,0,5.37311763775818,0,0,0,0,0,-5.23828730261945,0,0,0,-4.87347955979399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5092897625631,0,0,4.37550193705027,0,0,0,0,0,0,0,0,0,-4.34621735967174
"SRR6357103",-2.1337109071676,0,-3.07578695256563,0,0,0,0,3.69569569987816,0,-2.50920504156689,-2.55908307776993,5.32741927510112,0,0,-2.48474344222588,0,0,0,0,0,-4.34607061860182,-5.94882300843005,0,0,4.43246191148726,-2.3912681371171,0,0,0,0,0,0,4.3037018857088,0,0,0,-4.1417979080074,0,0,-2.50730969499672,0,-0.541212627146597,0,0,0,0,0,0,0,0,0,0,-4.34278778204435
"SRR6357104",0,0,-3.09495228673411,0,0,0,-5.22157538509892,0,0,-2.3065643500445,-2.36366937434984,5.36061460762496,0,0,-5.65751120793101,0,0,0,0,0,-3.99508664520415,0,0,0,4.09399544866847,-2.40071481104104,0,0,0,0,0,-2.70527175471546,-0.765641422700336,0,0,0,-4.1581600272062,0,0,0,0,0,-2.35428215590051,0,0,0,0,0,4.6856681274482,4.07773630937247,0,0,0
"SRR6357105",6.44266012417461,0,0,0,0,0,-4.38840614802827,0,0,-2.51955370266508,-2.66254285452674,0,0,0,-2.58860930358507,0,0,0,0,0,-4.3639950254142,0,0,0,-4.61165950136978,-2.71739836243619,0,0,0,0,0,0,4.48360283475484,0,0,0,-4.70667202814395,0,0,0,0,0,-2.77270335155104,-0.256793143327473,0,0,0,0,0,4.80246307920291,0,0,0
"SRR6357106",0,0,2.69025179245438,0,-2.96160847520084,5.38003375320044,0,0,0,-2.54672530823463,0,5.12731206219991,0,0,-2.40937630515336,0,0,0,0,0,-4.41105762678389,0,5.12965635117444,0,0,0,0,3.56945561793536,0,0,0,0,-4.1731621750782,0,0,0,0,0,0,0,0,0,-2.48517018089753,0,0,0,0,0,0,4.30444101876966,-4.42290621292855,0,0
"SRR6357107",5.25221746150884,0,-2.96283132331212,0,4.89108020092439,0,-5.79728737342236,0,0,-2.64817748811602,-3.03083203863042,5.13177438623313,0,0,-2.4947024155725,0,0,0,0,0,-4.58677795687708,5.57993639331141,0,0,-5.24955508011544,0,0,0,0,0,0,0,-4.32095133353637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6357108",-2.54805669030113,-2.45980590188248,-2.71361647433368,-4.82471585697568,-2.52352577231664,0,-4.38736318671764,4.41336364816735,0,0,0,4.70012160580186,0,0,-2.67962445011922,0,0,4.26050879881824,0,0,0,0,-4.37087485186191,-2.86671193615234,0,0,0,0,0,0,0,0,-4.64124569281031,0,0,4.96529072408,0,0,0,0,0,0,-3.58314235895651,0,0,0,0,0,0,6.20618461646488,0,0,0
"SRR6357109",-5.17630389167866,0,0,0,0,0,0,-0.30246479577903,0,-3.03010429637807,0,0,0,0,-2.40873001888999,0,0,0,0,0,-5.24829459355956,0,0,0,0,-2.63911553129845,-3.90069083847005,0,0,0,0,0,-4.17204277443381,0,0,0,-4.57108218725305,0,0,0,0,0,-3.35268024580922,0,0,-2.31636357402526,0,-4.01205939901359,0,5.80701252727409,0,0,0
"SRR6357110",-2.70297566438249,-2.74817957795386,0,-5.0832674662513,0,0,0,-4.68169118233272,0,-3.22435550765242,0,0,0,0,-2.45071018268709,0,0,4.75998665733928,0,0,-5.58474756091853,0,0,-2.65931626035404,0,0,0,0,0,0,0,0,-4.24475455104044,0,0,-4.60607087632726,0,0,0,4.85879879196577,0,0,-2.46286062545426,0,0,-2.54766764585004,0,-4.41268980341167,0,4.26579973524764,0,0,0
"SRR6357111",0,0,-2.56389884739473,-4.99680230669371,-2.69135337542351,0,0,0,0,0,0,4.44080306915496,0,0,-3.10070605364181,-2.67297657816976,0,0,0,0,0,-2.77170198092202,4.66156078735551,0,0,0,0,5.04186424584632,0,0,0,0,-5.370580424244,4.62973124083163,0,0,0,0,0,0,0,4.80072865439624,-2.8233370416078,0,0,0,0,0,0,4.89016320295592,0,0,0
"SRR6357112",-4.99390456478594,-2.68311426308204,0,0,0,0,0,-0.61578606601191,0,0,5.2886696350283,0,0,0,-2.5186571327417,0,0,-4.64729022617082,0,0,0,0,0,0,0,0,-4.85317525248002,0,0,0,0,-3.26682246586808,-4.36244212075438,0,0,0,0,0,0,0,0,0,-3.16597682508477,0,0,0,0,0,5.65830249019096,5.48363271663243,0,0,0
"SRR6357113",-2.90389738518462,0,0,-4.87099355237366,-2.61828428086565,0,0,-5.02969781110617,0,0,-3.02397227645051,0,0,0,0,0,0,0,0,0,0,0,-4.53500140311825,-2.93710253560702,-5.237673623492,0,0,0,0,0,0,-5.69514580324192,0,0,0,-5.08721081871073,0,0,0,0,0,0,-2.80108097353341,0,0,0,0,0,1.03157753788186,4.85161456227436,0,0,0
"SRR6357114",0,-2.00459273629265,2.36137753080111,0,0,0,-6.17586429096023,0,0,0,-2.61081476337437,3.76521841784449,0,0,-2.07273252464109,0,0,3.47205646774239,0,0,0,0,0,0,-4.52206381931533,0,0,0,0,0,0,0,3.59007804317888,0,-3.87678969424381,0,0,0,0,0,0,0,0,0,0,-2.08828298722465,0,-3.6170122344548,0,0,0,0,0
"SRR6357115",6.43735931277315,0,-3.35243142199292,0,-5.65192869802685,-2.25788349580866,0,0,0,0,-2.43480243376255,5.80658155178211,0,-2.70278820372838,0,0,0,0,0,0,0,0,0.451736487931157,0,-4.2172015216691,0,0,0,0,0,-3.91076893231182,0,0,0,0,0,0,0,0,-2.61220909323548,4.68136649095538,0,0,0,0,0,0,0,0,0,0,0,-4.52447886947727
"SRR6357116",-6.10068988845609,0,0,-4.28023841985792,-2.39363297398161,0,0,-0.0765031491431889,0,0,0,0,0,0,-2.58333276797497,0,0,0,0,0,0,0,-4.14589392560834,0,0,-5.21817981522166,0,0,0,0,0,0,-4.47446360699018,0,0,0,-0.17637405233456,0,0,0,0,0,-3.42617399897838,0,0,0,0,0,0,5.934307441802,0,0,0
"SRR6357117",0,0,-3.20671304426272,0,-2.45736235611682,5.19003843774217,-4.9873697538401,0,0,-2.6532441644358,0,5.55418991795689,0,0,0,0,0,0,0,0,-4.59555369768844,0,4.2562764534015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45736235611682,0,0,-2.4539227928405,0,0,0,0,0,0,4.25031895505106,0,0,-4.2562764534015
"SRR6357118",0,0,-3.32530452991453,-3.98041699297286,-5.26881214677574,-5.17616602234287,0,0,0,0,0,5.75959639645091,0,0,0,0,-2.53957072322549,0,0,0,0,0,0.565281453800011,0,0,-2.31435266506168,0,0,-4.39866552204098,0,0.651300636393852,0,0,0,0,0,-4.00857640251926,0,0,0,0,0,-2.304992689473,0,0,0,0,0,0,3.99236444924207,0,0,0
"SRR6357119",0,5.14765920703618,-2.72991284307527,-4.90432777735907,0,0,0,0,0,-2.77906766371132,-2.64076756214579,4.72834774444117,0,0,0,-2.71306587039082,0,0,0,0,-4.81348639121975,0,0,0,4.5739435886163,-2.85875444611233,0,0,0,0,0,-2.67712912514755,0,4.69916793179797,0,0,-4.95150794702998,0,0,0,0,0,-2.66851925672133,0,0,0,0,0,-4.63692366317797,4.62201093361728,0,0,0
"SRR6357120",0,0,-2.48893011632606,0,0,2.05300036711034,0,0,0,-2.797430803384,-5.34331200238934,4.31095341796505,0,0,-2.59758884595197,0,0,0,0,0,-4.8452922821193,0,0,0,0.0248295090755177,-2.64838029592796,0,0,0,0,-4.97549497101696,0,4.49915585836302,0,0,0,-4.58712923031152,0,0,0,0,0,-2.95966157911701,0,0,0,0,0,0,5.1262842282402,0,0,0
"SRR6357121",0,0,-2.61032163125895,0,0,2.37345509020097,0,0,0,-2.39153556140662,-2.68141895487433,4.52120968943656,0,0,0,0,0,0,0,0,-4.14226110046402,0,0,0,-4.64435386622057,0,0,5.05503230466145,0,0,-4.43142212120082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13193583476087,0,4.49768354030938,0,0,0,4.5612328980994,0
"SRR6357122",0,-2.57171061620068,-2.78849295870521,0,5.31798047399162,0,-5.57885568042563,0,0,-2.65700145508766,0,4.82981148102549,0,0,-5.76321516039138,0,0,4.45433344962384,0,0,-4.60206151599627,0,0,0,0,-2.36009811838874,0,0,0,0,0,0,-1.61855501818577,0,0,0,-4.087809851897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6357123",3.33364454143471,-2.22323355704502,-2.52523110722689,0,-2.47523030402793,0,0,-5.70711063835662,0,-2.76141234743736,-2.89960461453743,4.37382857857038,0,0,0,0,0,3.85075347789405,0,0,-4.78290648640955,-2.18057090422902,4.28722464701053,0,-5.02226251424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.77685959563107,-2.55275697924814,0,0,0,0,0,0,4.42150478743382,0,0,0
"SRR6357124",-5.52788378131698,0,0,-5.20355193605846,-2.35389080734661,0,0,0.77122402243833,0,0,0,0,0,0,-2.95250693876853,0,0,0,0,2.00222263654511,0,0,4.07705847379365,-2.65379477231318,0,0,0,0,0,0,0,0,-5.11389202764674,0,0,4.59650737850711,0,0,0,0,0,0,-3.40553008781628,0,-4.49520146356332,0,0,0,0,5.8985511388023,0,0,0
"SRR6357125",-5.24357805868502,0,0,-4.72553389124659,-6.17132709697028,0,0,0.537354792604487,0,0,-2.790311518032,0,0,0,0,0,0,0,0,0,0,0,1.40809601951291,0,-4.83296131817606,-5.02327329717503,0,0,0,0,0,0,0,0,0,0,0.0769891329247236,0,0,0,0,0,-3.15311192786011,0,0,0,0,0,0,5.46135006100517,0,0,0
"SRR6357126",0,0,-2.68594777889309,0,-2.36242847666494,2.46835888419343,0,0,0,-2.1551468166416,-3.01887135965469,4.65219801951961,0,-2.2720399120996,0,0,0,0,0,0,-3.73282378419357,-3.3358686133271,4.09184615083122,0,-5.22883857643645,0,0,0,0,0,-3.71906104913064,0,0,0,0,0,0,0,0,0,-3.93528856458083,5.77789392565688,0,0,0,0,0,0,0,0,0,0,0
"SRR6357127",0,-1.91468918857907,0,-3.98638883624906,-3.27020609383629,0,0,0,-2.14931722463434,-2.30790763241896,0,0,0,0,-2.71595335738654,0,-3.60974288250859,3.31633895532177,-2.15422055625168,0,-3.99741327852564,0,5.6641631057458,0,0,0,0,0,-6.25225807476501,3.73121945413719,0,0,-4.70416920598076,0,0,0,0,-3.7227266346496,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26506073219834,0
"SRR6357128",0,5.78420470684445,2.46639346672897,0,0,0,-5.40698427214351,0,0,-2.50889424740721,0,4.40258603190034,0,0,0,0,0,0,0,0,-4.34553230732656,0,0,-2.3205352995688,0,-2.31674948581486,0,0,0,0,0,-2.37016215068816,0,0,-4.92924521353289,-4.01928503961022,4.01272781784042,0,0,0,0,0,0,0,0,0,0,0,-4.10524126716862,0,0,0,0
"SRR6357129",0,0,-2.73412767073959,-4.60132964984417,0,0,0,0,0,0,-5.48082017444969,4.73564804010091,0,0,0,-4.91654553582223,-2.57593536491842,0,0,0,0,0,0,0,-0.590252636710098,-2.73872967618232,0,0,-4.46165092905218,0,0,0,0,-0.0276284803657322,0,0,-4.74361894734444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6357130",0,0,-2.30436676975059,0,0,0,-5.83559456676564,0,0,-2.35356800672213,-2.9591740709716,3.9912803244814,0,0,3.701757277595,0,0,0,0,0,-4.07649936671134,0,0,0,-5.12543983936324,0,0,0,0,0,0,0,3.94577549676927,0,0,0,0,0,0,1.97578341243215,0,0,0,0,0,0,5.51519356242544,0,0,0,0,0,4.8290977121454
"SRR6357131",0,0,0,0,0,0,-4.11288549277477,0,0,-2.69161584949905,-5.77473627780865,0,0,0,-2.70179590777219,0,0,0,0,0,-4.66201540579002,-2.52392164035298,0,0,-1.82659748602306,0,0,-2.89451118051465,0,0,0,0,-4.67964778394312,0,0,0,0,0,0,-2.963413083855,0,4.37156051541394,0,0,0,0,0,0,0,0,5.01344042772754,0,5.13278202505123
"SRR6357132",0.00617237234519795,0,0,0,-2.99924143486448,0,0,0.236517632886971,0,-2.57481914116493,0,0,0,0,0,0,-2.9928703999908,0,0,0,-4.45971757279852,0,-5.19483854935106,0,0,-2.73517055393819,0,0,-5.18380359325305,0,0,0,0,0,0,0,-4.73745436678725,0,0,0,0,0,-2.56605749344544,0,0,0,0,0,0,4.44454195379035,0,0,0
"SRR6357133",0,0,-3.06519328260093,-4.34941016138333,-0.518679047823401,0,0,0,0,0,0,5.30907050048363,0,0,0,-2.65963178924398,0,0,-2.528157325989,0,0,0,-0.0677490584480627,0,0,0,0,0,0,-4.37889693814043,0,0,0,4.6066173883959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6357134",0,0,5.42523826380938,0,-0.237888075193461,-2.49164749450719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62132560773351,1.46560922966553,-2.35029015672691,0,0,0,0,0,0,-4.31566005503815,0,0,0,0,-4.07082196398003,0,0,0,0,0,4.54026913577581,-2.31086750061722,0,0,0,0,0,0,4.00253992062873,0,0,0
"SRR6357135",0,0,-2.44478174526082,0,0,0,-4.93264045966644,0,2.77127540246371,-2.21760768794658,-2.92637971951547,-4.23448619620866,0,0,0,0,0,0,1.80145802637725,0,-3.84100918677883,0,0,0,-5.06863835643995,0,0,0,0,-4.79510356589698,0,0,0,0,0,0,0,3.84875603297397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6357136",0,0,-2.61136699339153,0,0,0,-3.92479593484894,0,0,-2.69773209112291,-3.05658272319251,4.52302030976251,0,0,0,-2.35237694975234,0,0,0,0,-4.67260904703391,0,0,0,5.29415657410667,-2.4685072866152,0,0,0,0,0,0,0,4.07443639552495,0,0,-4.27558003927152,0,0,0,0,0,-2.86004235065575,0,0,0,0,0,0,4.95373866313448,0,0,0
"SRR6357137",0,0,-2.49188891454524,0,-2.61236581444222,0,0,0,0,-2.2733002313549,0,4.31607820681001,0,0,-2.43870840805068,0,0,0,0,0,-3.93747150156476,-2.79721831067358,4.52475031856997,0,0,0,0,0,0,0,0,0,-4.22396686758918,0,0,0,0,0,0,0,0,4.84492423394863,-3.06694664856538,0,0,0,0,0,0,5.31210741941832,0,0.668989356713975,0
"SRR6357138",-3.24686022978359,3.15289659484157,0,-5.53509059180712,0,0,0,-5.62372688305994,0,0,-2.51450045612936,0,0,0,0,0,0,-4.605817628738,0,0,0,0,0,0,-4.35524254567116,-2.53751550271365,0,0,0,0,0,0,0,0,0,0,4.39510577569372,0,0,-2.58771481552052,0,0,-2.77850132721216,0,0,-2.45524346592314,0,-4.25260642793039,0,4.81250546762903,0,0,-4.48205353598026
"SRR6357139",-2.98547001901652,0,-2.78862254335379,-5.12501494397544,2.72707150562909,0,0,-5.17098575741023,0,-2.6168093304722,0,4.8300359282207,0,0,0,2.4718433842759,0,0,0,0,-4.53244671409816,0,-4.24968119225122,0,0,0,0,0,0,0,0,0,0,4.41740171084093,0,0,0,0,0,0,0,0,-2.79806629304046,0,0,0,0,0,0,4.84639298249199,0,0,0
"SRR6357140",0,0,5.1297972802114,0,0,4.74047553875578,0,0,0,-2.69504772264196,0,0,0,0,0,0,-2.36082415835011,0,0,0,-4.66795958443867,0,0,-2.82744154443083,0,-2.51301750883787,0,0,-4.08906738999842,0,0,0,0,0,0,4.89727241038522,-4.35267400561735,0,0,-2.95852494286926,0,0,-2.73894194888341,0,0,0,0,0,0,4.74398661444779,0,0,-5.12431551650938
"SRR6357141",0,5.95642643355141,0,0,0,0,-4.91390089732264,0,0,-2.99002864247609,-2.84304771792982,0,0,0,0,0,-2.35489301064337,0,0,0,-5.17888152485479,0,0,0,-4.9243030957972,0,0,0,4.07879434082316,0,0,1.89072911611361,0,0,0,0,0,0,0,0,0,0,-2.56628442608037,0,0,0,0,0,5.07404145223941,4.44493501264394,0,0,0
"SRR6357142",-2.4387116048706,0,0,0,0,0,0,4.22397240464372,0,-5.27549206991152,-3.40636747755752,0,0,0,0,0,-0.576133683426632,0,0,0,-0.613991246316665,0,0,-2.73888601769029,-5.90000154037987,0,0,0,0.491081722470032,0,0,0,0,0,0,-4.74388973877958,0,0,0,0,0,0,-2.51942386792413,0,0,0,0,0,0,4.36377014504629,0,0,0
"SRR6357143",0,0,-2.75047326266614,0,-5.45201921627326,0,-5.44660942572327,0,0,0,0,4.76395943579749,0,0,0,0,0,0,0,2.08299876498225,0,0,1.0498988335588,0,0,-2.75910874595587,0,0,0,0,0,0,0,0,0,0,-4.77891653160322,0,0,0,0,0,-2.82038937417136,0,4.37898810785952,0,0,0,0,4.88505769319219,0,0,0
"SRR6357144",2.4916304056053,-2.51103539942317,-2.93858700117496,0,-3.03907241339128,0,0,4.07026478343964,0,0,0,5.0897819884965,0,0,-3.26967402735921,0,0,4.34924089140494,0,0,0,0,-5.26382782787466,-4.98773743563026,0,0,0,0,0,0,0,0,-5.66324153957451,0,0,-0.367247685014692,0,0,0,0,0,0,-2.86923476208048,0,0,0,0,0,0,4.96966038676619,0,0,0
"SRR6357145",-2.68500108538954,0,0,-4.61785648874706,-2.49293575411689,0,0,-4.65055829827226,0,0,0,0,0,0,0,-2.84834564294261,0,0,0,0,0,0,-4.31789138613549,0,0,-5.75419070469838,0,0,0,0,0,0,0,4.93347937109404,0,0,-0.344049555056425,0,0,0,0,0,-2.97492393956397,0,0,0,0,0,0,5.15271941197777,0,0,0
"SRR6357146",0,0,-2.30971813678479,0,0,4.4605497274679,-4.81295818551285,0,0,-2.29811512285978,0,4.00054916407457,0,0,0,0,0,0,0,0,-3.98045215443553,0,0,0,0,0,0,0,0,0,3.86274568505786,-2.89688766675778,0,0,0,0,0,0,0,0,0,0,-2.67834847907098,0,0,0,0,0,5.01755662264413,4.63903564612577,0,0,0
"SRR6357147",-2.51901573442822,0,-2.70252276623676,0,-2.61035732463964,5.10829918094169,-5.22968033055758,-4.36306323709511,0,0,-3.12997934526198,4.68090673973365,0,0,0,0,0,0,0,0,0,0,4.52127151218542,-2.52345174782981,-5.42128325263492,-2.4917752403357,0,0,0,0,0,-2.89495057287005,0,0,0,-4.37074663768971,-4.31588131730358,0,0,0,0,0,0,0,0,0,0,0,5.01420147761156,0,0,0,0
"SRR6357148",-2.82631430044476,0,5.07594901205682,0,2.08024971888115,5.02585911980735,0,-4.89531996652882,0,0,-3.27843004286163,0,0,0,-3.19340216579367,0,0,0,0,0,0,-2.49931263691459,4.80018470063137,0,-5.67840740329656,0,0,0,0,0,0,0,-5.53113480015512,0,0,0,0,0,0,0,0,4.32893647113502,-2.62767631095222,0,0,0,0,0,0,4.5512688764144,0,0,0
"SRR6357149",-2.57522549792699,0,4.74110287469542,0,0,5.28894584356843,4.37847206566826,4.4604214033564,0,-3.00759045999527,-3.20038409562704,0,0,0,5.94131842096988,0,0,0,0,0,-5.20929948507125,0,0,0,-5.54322785736141,-2.56218848104744,0,0,0,0,0,0,0,0,0,0,-4.43784062774189,0,0,0,0,0,-3.01848910648079,0,0,0,0,0,0,5.22817649451791,0,0,0
"SRR6357150",0,0,-2.88242964035011,0,0,0,0,0,0,-2.70177996442479,0,4.99251458632888,0,-2.9907457966536,0,-2.56874333564023,0,0,0,5.25792834204787,-4.67962016925537,0,0,0,0,-2.52928304432293,0,0,0,0,0,0,0,4.44919396893284,4.70021902005686,0,-4.38084673948981,0,0,0,5.18012367232709,0,-2.6401961612939,0,0,0,0,0,0,4.57295389330935,0,0,0
"SRR6357151",-2.18762681081321,0,-2.80962337925408,0,0,0,-5.62871130571779,3.78908078432835,0,-2.50646704346679,0,4.86641044300143,0,0,2.68064776000809,0,0,0,0,0,-4.34132826678143,0,0,0,0,0,0,0,0,0,0,0,3.82144099208829,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0723915933350474,0,0,0,0,0,0
"SRR6357153",0,0,0,0,0,0,0,0,0,-2.56223927046497,-5.93339736710044,0,0,0,-2.63271908838324,0,0,0,0,0,-4.43792859759354,0,0,0,1.56937009865797,-5.21040710221464,0,0,0,0,0,0,-4.56000322313619,0,0,0,-0.275908743213487,0,0,0,0,0,-3.18427827944414,0,0,-2.66866215953035,0,-4.62225844854305,0,5.51533176543527,0,0,0
