,D006262,D025241,accuracy,macro avg,weighted avg
precision,0.77,0.87,0.81,0.82,0.82
recall,0.89,0.74,0.81,0.81,0.81
f1-score,0.83,0.8,0.81,0.81,0.81
support,27.0,27.0,0.81,54.0,54.0
