,0,1
0,-35.06286,30.941334
1,-16.882362,38.45687
2,10.327998,1.8396466
3,-6.013393,55.50542
4,9.152041,20.923351
5,8.557436,70.21247
6,-27.513754,54.629818
7,-5.5842404,26.964376
8,-19.634445,19.716621
9,-6.01617,11.97545
10,4.1176867,39.88945
11,17.47673,49.652946
12,-54.260242,-49.107155
13,22.279186,30.743263
14,37.041298,47.43974
15,-24.388355,3.596163
16,41.937057,28.015333
17,25.190989,13.4787855
18,-37.378853,12.097435
19,-64.033714,-17.673002
20,-53.89378,40.81463
21,-26.035608,-15.887248
22,-70.15574,-18.068327
23,-43.520325,-6.9317656
24,-8.177855,-4.878944
25,-1.4649068,-59.44924
26,-23.520262,-36.80235
27,-22.093246,-54.9624
28,30.442005,-45.866848
29,-63.58055,11.925589
30,-42.654472,-29.874084
31,-11.663693,-22.936464
32,7.2791405,-21.294327
33,42.159073,-5.7863083
34,23.51718,-17.035618
35,18.831518,-31.24342
36,-1.9270843,-36.110695
37,18.35926,-65.08637
38,11.227697,-45.693363
39,42.600777,-28.311644
