"","28116__40324","317__122355_882211","305719__47877_1661032","1406__44749_104663","1681__1267_216935","29370__191295_588932","44749__104663","421767__147802_310297","1522__34038_36745","2088__1311_33069","1580__850_871324","1465521__1613_118748","185294__28137_589437","147802__310297","511__28026_78342","1010__41276_999468","69825__218538","1613__118748","76517__28130_386414","45067__173480","38286__38304_441500","1401__1113741","529__294_587753","180282__32013_80866","1311__33069","93064__153721_1611423","106648__239974","1467__182710","1308__108980","1144673__40216_216778","225991__290309","370979__490189","28454__1113609","70775__1844653","28090__271420","28135__477666","38304__441500","41276__999468","671267__28126_351091","28137__589437","153721__1611423","34038__36745","1379__726_1303","1559__29461","34087__196024","850__871324","488__1472","28126__351091","184870__187491","471__106654_516075","37734__1590_179995","1859290__36874_43131","47877__1661032","28129__77095","32013__80866","28026__78342","67269__285_83617","308892__487698","28127__28128_53363","29430__202956","191295__588932","76759__83263","1512__358742","157687__28132_239935","41976__1691_1487956","48296__1571_1148157","40216__216778","38288__1223514_1827099","288965__45851_189722","1352__823_1358","33035__28037_208479","52226__1902_53440","254__40214_328812","1267__216935","28132__239935","40681__39492_46503","29375__100884_251535","626937__284042_1077256","823__1358","341225__818_39485","29356__40518_228603","29466__54006_1463864","387661__239984_1463837","40519__879_197614","726__1303","13690__293_1260","1590__179995","316__187327_246787","301__33038_410072","1121298__839_454155","46228__1515_589436","45851__189722","2741__1582_191493","40214__328812","574375__29552_261299","28037__208479","1727__29348_291644","535744__817_397865","470__582_584","39778__43675","39492__46503","1584__39484_214856","818__39485","1623__309120","40518__228603","293__1260","626931__47678_454154","163877__328813_1161942","187327__246787","1687__328814_1646377","33038__410072","1515__589436","28136__28125_39496","1510__821_28117","839__454155","29348__291644","29552__261299","817__397865","60133__729_1504","57706__907_1661050","36874__43131","47884__166486_301301","1280__1264_216816","122355__882211","39484__214856","349096__437898","582__584","52787__169435","1223514__1827099","84032__287_28901","78346__1735_53408","47678__454154","1582__191493","38986__1535_40520","328814__1646377","328813__1161942","28125__39496","1633__1680_35833","84030__46506_536633","452084__33043_329854","821__28117","1547__820_204516","729__1504","79880__290588","907__1661050","585__1408","1264__216816","216947__1685_626930","1725__153151","243924__1453492","43770__387090_487175","1535__40520","1735__53408","28446__36847","1506__165179_310298","33043__329854","46506__536633","287__28901","1680__35833","1571__1148157","166486__301301","33029__33032","47879__28111_1755626","28128__53363","285__83617","28118__33039","820__204516","1691__1487956","143393__291645_1113922","1902__53440","1685__626930","102862__183417","387090__487175","165179__310298","2173__658457","562__1265","100884__251535","28111__1755626","294__587753","284042__1077256","54006__1463864","239984__1463837","28130__386414","879__197614","1710__237258","588__1034636","291645__1113922","106654__516075"
"ERR1074794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.40332160976881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.25615511109004,0,0,0,0,0,0,0,0,-3.90777528216416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.89553363217261,0,0,0,0,0,0,-2.32150927936985,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01521136594741,0,0,0,0,0,0,0,0,-4.0209720221112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.26595844006948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44286097553756,0,-2.51953022888425,0,0,0,0,3.92475514603985,0,0,0,0,0,0,0,0,-4.23115932545833,0,0,0,0,0,0,-4.93376699368245,0,0,0,4.36395436763317,0,0,0,0,0,0,0,0,0,0,-0.434193754728476,4.1626751350478,0,0,0,0,0,0,0,0,0
"ERR1074869",5.33624705928805,-2.43461383593313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.92448659368817,0,0,-2.56272974137649,0,0,0,-2.81281845345714,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06535936632196,0,0,0,-2.9222663000753,-5.28761776691466,0,4.43877811813192,0,4.87194447385508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06151370497673,0,0,0,0,0,-4.21687486064633,0,0,-0.517415196894366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7044050305536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.6841669171637,0,0,0,0,0,0,0,0,0,0
"ERR1074894",4.33072845056227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.42537547806301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.40951026973643,0,0,0,0,0,0,0,0,-4.17339420854249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.99394978574942,0,0,0,-2.57677535841087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44568444526463,0,0,5.18567314422795,0,4.46310584045913,0,0,0,0,0,0,0,0,0,0,-3.30919524894329,0,0,0,-4.23604971847924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73169430333532,-2.67380512715463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0687723885976,0,0,0,4.63116632976998,0,0,0,0,0,0,0,0,0,0,-5.31526969391554,0,0,0,0,0,0,0,0,0,0
"ERR1074972",4.44942049773024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49314394036377,0,0,0,0,0,0,0,0,0,0,0,-3.01545764268639,0,0,0,0,0,0,0,-4.93060453402662,0,0,4.31825197529252,0,0,0,0,4.66427746974062,0,0,0,0,0,0,0,0,0,0,5.2229258452047,-2.73679784288499,0,0,0,0,0,-2.40924067479591,0,0,0,0,0,0,0,0,0,0,0,0,-0.0522253895218195,0,-3.07886992850775,0,0,0,4.74027291392171,0,0,0,-4.17292725640804,0,0,0,0,0,0,-5.33275914607137,0,0,0,0,0,0,0,0,0,0
"ERR1074999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.83060883595324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.60866446986741,0,0,0,0,0,0,0,0,-4.51833940171008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.37864239851253,0,0,0,0,0,0,0,0,4.11992948726121,-2.57048586098441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45221211136243,0,0,0,0,-3.23083938310328,0,0,0,0,0,-3.064222724537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44492178003164,0,5.59597796262936,0,0,0,0,5.30738944460521,-3.17027159659614,0,0,0,0,0,-2.38810739143544,0,0,0,4.23472874354655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49107147909702,0,0,0,-4.13632333589695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR1075202",5.86512608627281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.05194482749382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.87219650621687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.65995800593745,0,0,0,0,-3.24273947052057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87513160471438,0,0,0,-1.71214601969732,0,0,0,0,0,0,0,-1.72815788166838,0,0,0,0,0,0,0,0,-2.06442036409305,0,0,0,0,0,0,3.05194482749382,0,0,0,0,0,0,0,0,0,0,-3.57568095878901,2.99325725455025,0,0,-2.96552389609259,0,-2.70422993621311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.68386364486985,0,0,0,0,0,0,0,0,0,0
"ERR1075257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.92372883915296,0,0,0,0,0,0,0,0,-5.0640468969673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62151909812499,0,0,0,0,-2.51986441768329,0,0,0,0,0,-4.54060427096462,-2.54662722009471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36453319961242,0,0,0,0,0,0,0,0,-4.41088773314192,0,0,0,0,0,0,-2.39284111247238,0,0,0,0,0,-5.64577623512516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.1445223812418,0,0,0,0,1.17380333458172,-2.78704953535289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9866411050835,0,0,0,4.82731139844244,0,0,0,0,0,0,0,0,0,0,-5.17301413797828,0,0,0,0,0,0,0,0,0,0
"ERR1075275",4.32207157810505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.22768065237756,0,0,0,0,0,0,0,-5.15412632659078,0,-2.90147961008791,0,0,0,0,0,0,0,0,0,0,0,0,-3.85845607295612,0,0,0,-2.10326916316919,0,0.136299992902832,0,0,0,0,-3.40382400647043,-5.0255101017974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64296905260191,0,0,0,0,0,0,0,0,5.89559611922944,-2.86888516643709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.18792101579921,0,0,0,4.96905486934974,0,0,0,0,0,0,0,0,0,0,-5.52164116988081,0,0,0,0,0,0,0,0,0,0
"ERR1075669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.37766738601331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.11824071607453,0,0,0,0,0,-2.53722489716962,0,0,0,0,0,0,-2.95403255863372,0,0,0,0,0,0,0,0,-2.39823412475605,0,0,0,0,0,0,0,0,-4.39460243212651,0,0,0,0,0,0,-3.10845854554066,0,5.1165344787663,-5.38315544238414,0,0,0,0,4.15386335252296,0,0,0,0,0,0,0,0,0,5.38400813409808,0,0,0,0,0,-2.89433030891398,0,0,0,0.227482196748559,0,0,0,0,0,0,0,0,0,0,-5.01312714892554,0,0,0,0,0,0,0,0,0,0
"ERR1075751",4.097296958397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.52554551045246,0,0,0,0,0,0,0,-2.47709679266634,0,0,-2.73026383067624,0,0,0,0,0,0,0,0,0,0,0,-4.37437314093113,0,0,0,-2.82282406647824,0,-4.29045750016401,0,0,-4.72895567279887,0,-3.06882019084803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.88927470396849,0,0,0,0,0,0,0,-2.6035825765277,5.31535248984201,-2.76868059989849,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.50953730424706,0,0,0,0,0,0,-2.94264141218851,0,0,0,4.79549546895447,0,0,0,0,0,0,0,0,0,0,-5.09680443436673,0,0,0,0,0,0,0,0,0,0
