,D006262,D007674,accuracy,macro avg,weighted avg
precision,0.96,0.86,0.92,0.91,0.92
recall,0.9,0.94,0.92,0.92,0.92
f1-score,0.93,0.9,0.92,0.91,0.92
support,1170.0,723.0,0.92,1893.0,1893.0
