,D006111,D006262,accuracy,macro avg,weighted avg
precision,0.8,0.82,0.81,0.81,0.81
recall,0.82,0.79,0.81,0.81,0.81
f1-score,0.81,0.81,0.81,0.81,0.81
support,39.0,39.0,0.81,78.0,78.0
