,D006262,D015518,accuracy,macro avg,weighted avg
precision,0.82,0.88,0.84,0.85,0.85
recall,0.9,0.78,0.84,0.84,0.84
f1-score,0.86,0.82,0.84,0.84,0.84
support,10.0,9.0,0.84,19.0,19.0
