,D000067877,D006262,accuracy,macro avg,weighted avg
precision,0.87,0.92,0.9,0.9,0.9
recall,0.93,0.87,0.9,0.9,0.9
f1-score,0.9,0.89,0.9,0.9,0.9
support,187.0,187.0,0.9,374.0,374.0
