,D006262,D010300,accuracy,macro avg,weighted avg
precision,0.97,0.84,0.91,0.9,0.91
recall,0.87,0.96,0.91,0.92,0.91
f1-score,0.92,0.89,0.91,0.91,0.91
support,103.0,69.0,0.91,172.0,172.0
