,D003424,D006262,accuracy,macro avg,weighted avg
precision,1.0,0.77,0.88,0.88,0.9
recall,0.79,1.0,0.88,0.89,0.88
f1-score,0.88,0.87,0.88,0.88,0.88
support,133.0,93.0,0.88,226.0,226.0
