"","107580__1680_28116","179995__309120","77095__74426_349096","1680__28116","189722__1584_371601","40519__33959_39485","35833__850_633701","1559__28026_228603","82688__470_1352","1685__216816","28128__28130_76517","28130__76517","470__1352","78345__762212","53408__44749_1329370","1661032__38313_1465754","1308__328814_454154","1490051__28111_77098","1584__371601","103891__28161_97478","28026__228603","33959__39485","28118__214856","77038__328813_351091","2173__310514","40520__360807","274__52226_187327","850__633701","999468__39483_508460","301301__487175_762210","1246__308994_1870820","44749__1329370","1303__228604_395922","38313__1465754","1596__83771_574375","1605__1515_329854","74426__349096","328814__454154","33038__823_29375","28161__97478","28111__77098","52226__187327","376804__1097668","905__78342","328813__351091","493__729_204516","246787__817_818","876__1363","169435__1586267","83771__574375","308994__1870820","228604__395922","39950__28135_47678","487175__762210","33043__907_1623","1735__40518","39029__562_29466","39778__47770","1264__45851_46506","1515__329854","39483__508460","729__204516","823__29375","840__357276_423605","817__818","901__1539","1755629__1630_218538","28135__47678","562__29466","45851__46506","39484__821_310297","907__1623","264027__28117_69825","1535__165179_234908","39488__46503_239935","357276__423605","1161942__28125_1297750","387090__820_310298","1630__218538","28117__69825","821__310297","165179__234908","46503__239935","28125__1297750","820__310298","1304__853_1755626","853__1755626"
"SRR5699025",0,0,0,0,0,0.0803748451200061,-2.30946683950164,-2.29727895302161,0,0,0,0,0,0,0,0,0,0,0,0,-3.97900386579207,-1.81788397967142,0,0,0,0,0,-4.00011390441235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54809287171952,0,0,0,0,0,0,-3.05235132447056,0,0,0,0,4.41342631622229,0,0,5.28682757653317,0,0,0,-3.19459712638517,5.53320453261265
"SRR5699026",0,0,0,0,0,0,0,0,0,0.215188847719268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.57727337615376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.46396843249289,0,0,0,0,0,0,0,0,0,0,-2.44391635132284,0,0,0,0,0,-3.09901302929969,0,0,0,0,0,0,0,0,-4.2329872899395,0,-5.367648020065,-3.00986628719954,0,-2.77229992904483,0,0,0,-2.40584906309541,-2.72297909907788,0,4.80176433092525,5.2132413334183,0,0,-4.16705281262324,4.71633814755101,0,0
"SRR5699027",-1.89966661267442,0,0,3.29031909059437,0,0,0,-2.52399359906806,0,0,0,0,0,3.32299695349934,0,0,0,0,0,0,4.37168515156451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.50628027485058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3410047740489,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.04445020982608,0,0,0,0,0,0,0,-3.54109163696363,0,0,0,-3.53298677998828,6.11931260540887
"SRR5699029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9547082935961,0,0,0,0,0,0,0,-2.12594655601174,0,0,0,0,0,0,0,0,0,0,0,5.11770488605359,0,0,0,0,0,0,0,0,0,0,0,3.6822474491884,0,0,4.49129842759667,-5.86202474439711,0,0,0,-2.70299196156425,0,-2.57387734091081,-2.70172671612783,0,0,0,0,1.22322069759049,4.4580863269078,4.68171940987954,4.67952794049961,0,0,0,-2.27259529782088,3.93625052086788
"SRR5699030",0,0,0,0,0,0,-2.84089018473087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.9205661386776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51526016352271,-2.5776784171447,0,0,0,0,0,0,0,0,0,0,0,-2.93150207351147,0,0,-4.35655839747534,0,0,-4.46466998406834,0,0,0,0,-5.07751053381539,-2.68466910704041,0,-2.97920825040661,-2.64379500822088,0,0,0,-2.94301639562308,0,5.16014005603264,4.64998329490456,-4.57918727903554,0,0,5.0974539247274,-2.80404034370436,4.85674034176885
"SRR5699032",0,0,0,0,-2.68475747427067,0,0,0,0,0,0,0,0,0,0,0,-2.66049773235256,0,-4.6501363514371,0,0,0,0,0,0,0,0,0,0,-2.57320070929685,0,0,0,0,0,0,0,-4.60811724585642,0,0,0,0,0,0,0,0,-5.27525689424901,0,0,0,0,0,0,4.45691436657441,0,0,0,0,0,0,0,0,0,0,-0.246005565970059,0,0,0,0,0,-3.27243097968945,0,-2.48951576019893,0,0,0,0,-2.76374402340757,0,4.31196778290801,5.66801672108453,0,0,0,4.78694506765673,-2.85720744413479,4.94882846100548
"SRR5699033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.13127247777987,0,0,0,0,0,0,0,4.20264242012134,0,0,4.37973327234949,0,0,0,0,0,5.42352302385682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86324810756049,0,0,0,-2.67025002946058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.62500871993801,0,0,-3.10483505813934,0,0,0,0,0,-2.28668069051967,-2.80196057029696,0,0,5.37773206981841,0,0,-3.96064713666675,4.85313806855899,-2.7260813523038,4.72171140775625
"SRR5699035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44148360498524,0,0,0,0,-2.76979164193558,0,0,0,0,0,-4.22877364968087,0,0,-2.34199207655712,-2.57338577433315,-2.40475103558475,4.79741985021204,-2.4846860432179,-3.11271519903794,0,4.05644926752067,0,4.45723490861999,4.16515097318666,-4.30360246771068,5.39138087422558,-2.97688851468977,5.15612215591094
"SRR5699036",0,0,0,0,0,0,0,-2.57900110009639,0,0,0,0,0,0,0,0,0,0,0,0,-4.46696093814297,0,0,0,0,4.20403055040035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.82134710710711,-2.44852194597237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.88671653529698,0,-2.68419106756673,-4.24096441387156,0,0,0,0,0,-2.44276747049522,0,0,-5.90246678779133,0,4.64915530624812,0,0,0,0,4.23099736997423,1.43381302564144,0,0,0,-2.74150215827834,4.74842102719782
"SRR5699037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.13197515794296,0,0,0,0,-2.68856701878487,0,4.46620466257877,0,0,0,-5.42474010160076,-2.81431312859243,0,-2.55162207225602,0,-2.42051329203638,4.65673467608939,-2.67416619460962,-2.93368027499944,0,4.41953907086162,4.87453332713021,0,-4.19245200220282,-4.63179171694699,5.08128328946167,-2.83165609033117,4.90457221801544
"SRR5699038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.57170677568859,0,0,0,0,0,-2.42219937839291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45432679766178,0,0,4.25303624558436,0,0,0,0,0,4.19537238943828,0,0,0,0,0,0,0,0,0,-3.35113710974619,0,0,0,0,0,0,-2.62967485211636,0,1.63480781830979,0,0,5.80433973720992,0,-2.82989418957025,0,5.46028222506467,4.55473045125172,0,0,0,4.90152051637963,-3.02855446731116,5.24561021087263
"SRR5699039",0,0,0,0,0,-2.67905684361358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64026256950383,0,0,0,0,0,0,0,0,0,0,0,0,1.97818110227826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20617463631612,0,0,0,0,0,0,-2.91868644214912,0,0,0,0,0,0,0,0,0,-2.73565014628113,0,5.05531320916472,0,-2.32392674959847,0,0,0,0,0,-2.53443349304626,-2.84651901215918,-4.73828504509215,0,4.02515920337294,0,0,-4.38976757836038,4.93031555377048,-2.48208865147441,4.29910365324379
"SRR5699040",0,0,0,0,0,0,-2.61554864232659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.53026313817745,0,0,0,0,-2.59321112394182,0,0,0,0,0,0,0,0,0,0,0,0,-2.34920997380302,0,0,0,0,0,4.49157342142003,0,0,0,0,0,0,0,0,0,-4.06895103227439,0,0,0,0,0,0,0,0,-2.51777267185252,0,0,-5.79375127387866,-2.54449836007202,0,0,-2.65685992378359,0,0,4.36091018955702,1.52925948254153,4.40720043942043,0,4.60181637658676,-2.92800194913878,5.07144814056907
"SRR5699041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54741811801428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.83299384020505,-2.90320796426022,0,0,0,0,0,0,0,0,0,0,0,-2.99902817337294,0,0,-4.90688926876482,0,0,-5.02850369903731,0,0,0,0,-5.19446916961241,-3.03976918168379,0,-2.7601509715245,0,-2.32080245025046,0,0,-2.96714838371174,0,4.78072171924103,5.2650346659584,0,4.01974775816413,0,5.13925175418461,-2.83918754919587,4.9176170874242
"SRR5699042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97549162509665,0,0,0,0,0,0,0,0,-2.69289313159664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66422772327865,0,0,-2.33969669206964,0,0,0,0,0,0,0,0,0,0,-2.41432500382462,0,0,0,-4.05247354496546,0,0,-3.1075304754365,0,-2.67886606612466,0,0,4.18173357260816,-2.49854490622172,-2.73894838822278,0,4.63993213320008,5.38240066952468,0,0,-4.32760672256843,4.74399776771074,-2.83494353718748,4.91026624299775
"SRR5699044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.93336254057037,-2.30085002464535,0,0,0,0,0,0,0,0,0,0,0,1.34532864102525,0,0,-5.08073295728721,0,0,-3.98518914328185,0,0,0,0,-5.67600279852055,-2.93197025368642,0,-2.53377301366406,0,0,0,-2.74804537549393,-2.59095962084744,0,4.38862359451306,5.0783214456655,0,0,-4.75975421186018,4.48767370366716,-3.00271443143843,5.20085395587165
"SRR5699045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552004455769979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6787799652274,-2.60283021496144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.63978300207145,0,0,-4.50823417578864,0,0,0,0,0,-3.30279236474357,0,0,-2.46336122829093,0,0,-2.72929828800425,-2.76238713136036,0,0,5.72060418258643,-4.26666680479517,0,-4.72728330383412,4.78459486169058,-2.6145202288308,4.52848187375156
"SRR5699046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.17772366967833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.7719280407282,0,0,0,0,0,0,0,-2.86859908118796,-2.46282973040001,0,0,0,0,0,0,0,0,0,0,0,-3.21630252697497,0,0,-4.96855935516295,0,0,-4.26574622344398,0,0,0,0,-5.57079938923282,-2.58660597584414,0,-3.03380056551181,0,0,0,-2.52667219795413,-2.78650084891411,0,5.25469671949765,4.48013296932333,0,0,-4.37632462092829,4.82636104565306,-2.96177742173633,5.12994897515768
