,D003924,D006262,accuracy,macro avg,weighted avg
precision,0.94,0.78,0.84,0.86,0.86
recall,0.73,0.95,0.84,0.84,0.84
f1-score,0.82,0.86,0.84,0.84,0.84
support,128.0,128.0,0.84,256.0,256.0
