"","1735__151276_633701","147206__74426_147207","821__338188","97478__1304_341225","1308__40518_536633","852__358743","850__301302_454154","52226__853_158847","437898__216935_589436","36745__39491_40519","454155__562_310297","1304__341225","74426__147207","28111__351091","36835__46506_487175","208479__387090","823__818_28116","28026__1322_1297750","40518__536633","216947__817_218538","46503__39485_310298","907__165179_349096","820__47678","46506__487175","39777__204516_357276","817__218538","818__28116","185294__69825_371601","39485__310298","562__310297","165179__349096","204516__357276","853__158847","151276__633701","69825__371601","328814__28117_1755626","39491__40519","1515__328813","255723__308994_1161942","39492__397865","216935__589436","28117__1755626","308994__1161942","301302__454154","1322__1297750"
"SRR2120344",6.01179043117164,-2.43669341409643,0,-0.0471400360418035,1.10400532617395,0,0,0,0,0,0,1.19033820385498,4.2204767956835,0,0,0,0,0,1.31149866028137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1694154325244,0,0,0,0,0,-5.48958855942516,0,0,0
"SRR2123660",0,0,4.77766791099289,0,-2.01307365479911,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48674584949043,-5.81254209101476,0,0,4.1769667661163,0,0,-2.92873584157772,0,0,0,0,0,0,0,0,0,-0.997336484404754,0,0,0,0,0,1.03771364480385,0,0,0
"SRR2123687",0,0,0,1.47457677787534,0,0,0,0,-1.70844710462004,0,0,2.81188351727228,0,0,0,0,0,0,0,0.476226335401954,0,0,0,0,0,-6.72631349526396,0,0,0,0,0,0,0,0,0,-1.75755292937878,0,2.7574645774342,4.01001474899819,0,2.95911718724585,-3.04417097067556,0,0,0
"SRR2123703",0,-0.536084456704158,5.33590251797003,-2.54541042063978,4.91828884716811,0,0,0,0,0,0,4.40878017466337,1.69428940120071,0,0,0,0,0,0,-2.52327876149216,0,0,4.4240837355532,0,0,4.37044701656389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5447030",0,0,5.10262345130352,0,0,0,-2.37774886186985,0,0,0,0,0,0,0,-3.29020780072229,0,-2.6508332703376,-2.25152155471346,0,0,0,0,5.34619761652572,5.69880707831046,-2.83732264513603,0,4.59137790661869,-2.48585812730997,0,0,0,4.91438697884133,0,0,-4.3056325769089,-2.77483096985439,0,0,0,0,0,4.80614822220343,0,-4.11838183639766,-3.89974972710018
"SRR5447035",0,0,0,0,0,0,-1.97700618044083,-2.42246685129713,-2.30429362775915,0,0,0,0,-3.35077384922722,0,0,0,0,0,0,-4.70748275807674,-3.73848466994922,0,0,-1.89996487906312,0,0,0,0.239586570732837,0,6.47524539166941,3.29083570313378,4.19583566609803,0,0,-2.40915364075823,0,0,0,0,-3.99115363883606,4.1727765090328,0,-3.42427515140121,0
"SRR5447045",0,0,5.1416426754648,0,0,0,0,-2.2363832041135,0,-1.91242246757864,-2.77667706084504,0,0,0,-2.59834222206579,0,0,-2.21848824833497,0,0,-3.60873647571595,0,3.93044542106386,4.50046074406937,-2.68435857102017,0,0,0,-6.25051492706707,-4.80934574559463,0,4.64944543073992,3.87352933471826,0,0,0,3.31241287938246,0,0,0,0,0,0,0,-3.84253436211066
"SRR5447046",-2.17792962995445,0,3.51171108805311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.23769298633648,0,-3.75296349001479,3.88861854468312,0,0,-3.87579794407531,0,0,0,0,6.50032344365663,0,0,-3.7722847743908,0,0,0,3.5955301728999,-4.33868630558275,4.01494554309418,0,0,-0.743483750736704,0,0
"SRR5447050",0,0,3.75130440725545,0,0,0,0,-1.82719974915066,3.7529749187979,0,0,0,0,0,-2.01155784456564,0,0,0,0,0,1.1450551625103,-3.82144317151863,0,3.48412038915143,0,0,0,-1.82538931341613,-4.35877212559714,0,6.61893373130742,0,3.16480280110605,0,-3.16166703443,-2.17823531037631,0,0,0,0,0,3.77281422841232,0,0,0
"SRR5447051",0,0,4.87530336051825,0,0,3.60513371524081,0,-5.32348462564002,0,0,0,0,0,0,-2.286237754535,0,0,0,0,0,-2.60333018622557,-3.68704505886942,0,3.9598799490368,-3.85736061703392,0,0,0,-4.50910015142044,0,6.38614937175763,0,-0.413006195994216,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5447052",0,0,0,0,0,0,0,-3.38587374964559,0,0,0,0,0,0,-2.14136094666735,0,-2.2628193237595,0.135300381918454,0,0,0,0,4.91301330086056,-3.70894595697164,-3.32709938947173,0,-3.91931803710011,-2.05916069928706,0,0,0,-5.76270518439643,5.86450536239991,0,3.56657095211424,0,0,0,0,0,0,0,0,0,0.103306031679665
"SRR5447054",0,0,5.22078214980632,0,0,0,5.82420531236505,-2.8119355990947,0,0,-2.149673433085,0,0,0,-2.226286416322,0,0,0,0,0,-3.2207303107617,0,3.28931630186254,-3.85604118527014,-3.08725909209779,0,0,0,-5.57846853571636,3.72334360578424,0,5.34728960364233,4.87041532524364,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5447056",0,0,5.24988372071644,0,0,1.60872281011277,0,0,0,0,-0.784338957771607,0,0,0,-2.64775671705898,0,0,0,0,0,-3.30854088724772,0,0,4.58604916002792,0,0,0,0,-5.73056091563206,0.174085617977763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5447059",0,0,4.9621506525324,0,0,0,0,-2.86662411474437,0,0,-2.59232161272819,0,0,0,-6.04610544356963,0,-2.64433720588852,0,0,0,0,0,4.23142599971873,0.996521778153056,-2.91205653419278,0,4.58012639294364,0,0,4.49003274280411,0,5.04382987173483,4.96513861293941,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5447067",0,0,3.8890810431603,0,0,0,-2.30115344667939,0,0,0,0,0,0,0,-2.92056694020126,0,0,-2.32318929585285,0,0,0,0,1.07386087149986,5.05857032733456,-2.41636203695857,0,0,0,0,0,0,4.18526181749287,0,0,0,0,0,0,0,-0.209652686838383,0,0,0,-3.98571468566094,-4.0238818960173
"SRR5447069",0,0,0,0,0,0,-0.291905647239984,0.469395736571215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0778664042827,0,-3.24681624976691,0,0,0,0,0,0,-5.62365070743654,-0.698960329897415,0,0,0,0,0,0,0,0,0,0,-0.228440631402247,0
"SRR5447074",0,0,0,-2.5230331102599,0,0,0,0,0,0,0,4.37002153614868,0,0,-2.75588923469548,0,-2.49718059290849,0,0,0,-2.30605384695078,-3.41593821377941,4.3106490300456,4.77334017452468,-5.11453111462207,0,4.32524366259247,0,-3.99420242790841,0,5.91657854178201,0.349297010895349,0,0,0,-2.3932692708181,0,0,0,0,0,4.14526397325027,0,0,0
"SRR5447080",0,0,3.95853126498683,0,0,0,0,-5.23850310764514,0,0,-5.73558301083415,0,0,0,-1.92631011523956,0,0,4.5045990342854,0,0,-3.3766764686251,0,0,3.33646699072878,-2.3868497863676,0,0,0,-5.84857520438094,0.799784476587353,0,4.13414510002361,-0.799203345999713,0,0,0,0,0,0,0,0,0,0,0,0
