,D006262,D065626,accuracy,macro avg,weighted avg
precision,0.81,1.0,0.89,0.91,0.91
recall,1.0,0.77,0.89,0.89,0.89
f1-score,0.9,0.87,0.89,0.88,0.88
support,44.0,44.0,0.89,88.0,88.0
