,D006262,D012559,accuracy,macro avg,weighted avg
precision,0.74,0.62,0.7,0.68,0.69
recall,0.76,0.59,0.7,0.68,0.7
f1-score,0.75,0.61,0.7,0.68,0.69
support,174.0,115.0,0.7,289.0,289.0
