"","102684__1735_39492","821__907","1735__39492","1267__28126_33959","28125__45254","28126__33959","1579__1633_29348","52226__1264_39777","29363__261299_425254","84032__166486_187327","729__36745","261299__425254","376804__454154","97478__1623_138595","228603__876_214856","166486__187327","1633__29348","623__1307","1613__159896","39488__28116_650643","1559__33038","328813__626937","1598__1512_218538","1328__840_310298","28129__28137","287__84026","1681__1680_28026","328814__40520_204516","1624__329854","1512__218538","861__818_208479","39029__84030_371601","328812__573_47678","33043__46503_487175","876__214856","1161942__1630_28111","2374__246787_387661","1515__1255_45851","28116__650643","1264__39777","40520__204516","282125__39484_341225","338188__39491_40518","573__47678","818__208479","246787__387661","84030__371601","1630__28111","1352__29466_301301","40519__28117_351091","46503__487175","2021__387090_397865","536633__817_74426","39491__40518","39484__341225","851__823_46506","1358__216816","1680__28026","387090__397865","309120__39485_437898","239935__357276_1755626","28117__351091","817__74426","1255__45851","562__1502","823__46506","29466__301301","905__820_69825","39485__437898","310297__454155","357276__1755626","349096__1304_165179","1623__138595","820__69825","1304__165179","840__310298"
"SRR6724357",0,5.81788729382775,0,0,0,0,0,0,0,-2.06729886760284,0,0,0,0,0,3.58066667311772,0,0,0,-2.48723410802837,0,0,-5.00362023835851,0,0,0,0,-2.6140011422378,0,-0.741427635468261,0,0,0,0,0,0,0,0,4.3080158454234,0,4.52758278939895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.89292839966176,0,0,0,0,0,0,-5.42784484414986,0,0,-5.0106989708731,0,0,1.16082590576083,0,0
"SRR6724358",0,5.58552218633226,0,0,0,0,0,0,0,-2.50300384937931,0,0,0,0,0,4.33532983866545,0,0,0,0,0,0,0,0,0,0,0,-2.57566491590986,0,0,0,0,0,-2.35463045646548,0,0,0,0,0,0,-4.4611824976285,0,0,0,0,0,0,0,0,-4.61945334902576,-4.07833958364731,-2.3184807199819,0,0,0,0,0,0,-4.01572640337753,0,-2.815891975333,-0.120318512599129,0,0,0,0,0,-2.81822906255185,0,0,-4.87726796990225,0,0,4.88131592370701,0,0
"SRR6724359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45838639905204,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49521529851283,0,0,-2.85952122689663,0,-4.25805014779443,0,0,0,0,0,0,-4.95283605030665,0,0,0,-2.38849642728642,-4.32183967284737,0,0,0,0,-2.86483024589056,0,0,0,0,-6.1284282871075,4.13699716575683,0,0,0,4.96203154094249,0,1.83959558724262,0,0,1.0181865010621,0,0,4.86350895163865,0,0
"SRR6724360",-2.3947350978687,5.04215125154996,-4.14780286017701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.88854379057254,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54246024952367,0,0,0,0,-5.00310460515923,0,0,0,-2.72673597739811,0,0,0,0,0,0,-2.64270232505062,4.40367032839925,-2.57777707541971,0,4.72284525167951,0,0,0,0,-4.46484086521325,0,-2.78392325767271,-4.57729469626808,0,0,0,0,0,-2.77775072709048,0,0,-4.82189652666179,0,0,4.81120539008211,0,0
"SRR6724361",-2.47474027969306,0,4.28637589996559,0,0,0,0,0,0,-4.51840543477546,0,0,0,0,0,0.189243236768412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.87326347140231,0,0,0,0,-2.23526349611068,0,0,0,0,0,0,-2.26667238097824,0,0,0,-3.87158994356774,0,-2.50291645197606,0,0,0,0,-2.74353180241849,-3.92599172796744,0,-4.97663831600052,0,4.33517846192257,0,0,0,0,-4.75193647396985,-3.22574544325697,0,0,-5.58715500000487,0
"SRR6724362",0,5.48554570273076,0,0,0,0,0,0,0,-2.48996545315253,0,0,0,0,0,4.31274667395145,0,0,0,0,4.47142074697201,0,0,0,0,0,0,-3.05253944664921,0,0,0,0,0,0,0,0,0,0,0,0,-5.28715341370462,0,-2.25393256859435,0,0,0,0,0,0,4.57833724731264,0,0,0,3.90392572563963,0,-2.48932351215335,0,0,0,0,-2.79020120171884,0,0,0,0,-4.3116347995254,0,-2.67559276430169,0,0,-4.83277024471676,0,0,4.6342626081342,0,0
"SRR6724363",0,0,0,0,0,0,0,0,-2.47317886338291,-2.49039379257183,0,4.28367144758465,-4.48045810917967,0,0,4.31348857958855,0,0,0,0,0,0,-2.56506840745867,-3.35773898411412,0,0,0,0,0,-4.4428288066082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.82124352806359,0,0,0,0,0,0,4.886537131131,0,-2.71970027225901,0,0,0,0,0,0,0,0,4.73098355988699,-4.71065905291151,-2.6471600938932,0,0,-4.58501577839182,-5.81577451904036
"SRR6724364",0,4.48230482922869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3849463718515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.76078733263987,0,0,0,0,0,0,-4.7653900441526,0,-2.39875256894919,0,4.78182392902482,0,0,0,0,-4.15476132420637,0,-6.11811250643155,-0.0788141375669279,0,0,0,0,0,-3.02244487720391,0,0,0.295661645617923,0,0,5.23502809039345,0,0
"SRR6724365",0,5.74899532135277,0,0,0,0,0,0,0,-2.47216551682851,0,0,0,0,0,4.28191627986675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.50759583906678,0,0,0,0,0,0,-2.42581126413005,0,-2.54930978472768,0,4.34328339811197,0,-2.30253106545094,0,0,-4.41553407138082,0,-2.78529807797617,4.20162835904613,0,0,0,3.98810079136673,0,0,0,0,-4.82427778527867,0,0,0,0,0
"SRR6724366",0,5.5032136168169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4182473023126,0,-2.42836679159379,0,0,0,0,0,0,0,0,0,0,0,-4.20605466245346,0,-2.61915375658442,4.1885271928718,-2.48207832545288,0,0,0,-2.35316474894603,0,0,-4.29908576804987,0,-2.82715094765098,4.53650737923911,0,0,0,4.07580090375459,0,-2.48230391153244,0,0,-4.89676908199801,0,0,4.29947649460114,0,0
