,D006262,D008103,accuracy,macro avg,weighted avg
precision,0.87,0.98,0.91,0.92,0.92
recall,0.98,0.85,0.91,0.91,0.91
f1-score,0.92,0.91,0.91,0.91,0.91
support,268.0,268.0,0.91,536.0,536.0
