,D006262,D007230,accuracy,macro avg,weighted avg
precision,0.61,0.62,0.61,0.61,0.61
recall,0.64,0.59,0.61,0.61,0.61
f1-score,0.62,0.6,0.61,0.61,0.61
support,80.0,80.0,0.61,160.0,160.0
