"","1623__28037","29466__28080_28125","28026__1382_29389","907__78448_158787","820__46503","33038__133926","1596__1308_349096","36835__197_823","1303__103892","1613__817_1547","1352__35760","84109__1343_106648","1382__29389","28118__818_821","40214__29348_40216","397865__1630_28135","52226__1304_1681","28080__28125","1308__349096","1496__850_39778","1680__2130","729__28161","1492__1502","1121298__1559_187327","817__1547","1343__106648","261299__239935_1755626","1379__43675_208479","47678__69825","197__823","1304__1681","1349__589436","818__821","1630__28135","33039__1203033","1363__28025","1633__47770","1358__329854","1660__52787","851__37734","29430__39485","35833__137591","1512__169435","1597__114702","1582__33072","351091__487175","584__309120","437898__454154","228603__310297","736__520083_633701","179995__165179_218538","1535__40520_97478","1694__1685_216816","40518__536633","850__39778","1685__216816","341225__387661","29348__40216","84026__118748","29363__562_521157","198__197614_762210","239935__1755626","43675__208479","78448__158787","1559__187327","40520__97478","84032__1735_310298","520083__633701","562__521157","165179__218538","197614__762210","1735__310298"
"SRR2914118",-4.49140412300202,0,0,0,0,5.19471023135617,0,0,3.68788184668719,-2.18506095752752,0,0,0,0,0,0,-2.47984563423828,0,0,0,0,0,-4.54900984582167,0,3.78463659607276,0,0,0,0,0,4.29521863342856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.48416783512485,-5.00511757122257,0,0,0,0,0,0,0,6.03475571253351,0,0.349249086759836,0
"SRR2914119",-5.07742026980218,0,0,0,0,4.17940401173001,-2.58314398405855,0,0,0,0,0,0,-2.52300843209226,0,0,-3.18844011722972,0,4.4741366236553,0,0,0,0,0,0,0,-2.414424473671,0,0,0,5.52254027993275,0,-4.36997879230848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.24512070766387,-5.28164376387402,-4.18190585943591,0,0,0,0,0,0,5.62071394236769,0,-0.571502930909663,0
"SRR2914120",0,0,0,0,3.73623727977071,0,0,0,0,0,0,0,0,-4.41369434450952,0,0,-4.65098369254155,0,0,0,0,0.188122644819314,0,0,0,0,0,0,0,0,0.626293198511827,0,0.159097191756541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.75774009337054,0,0,0,0,0,0,0,0,-2.93617369547223,0,0,0,0,0,0,0,0,5.08560202040518,6.50859676335639,0,0
"SRR2914121",4.40233549766615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.88669016030981,0,0,0,0,0,0,0,0,0,-3.17902115202875,-2.84360974534784,0,0,4.99989402336574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62581855809386,-3.20385584451372,-5.50622615364993,-4.92527655584046,0,0,0,-2.95525038218526,0,4.54805115407582,0,-5.54924110282426,5.11864381103221
"SRR2914122",0,0,0,0,-4.02628604207901,0,0,0,0,0,0,0,0,-2.54182990879616,0,0,0,0,0,0,0,0,0,0,0,0,-1.47944766502373,0,4.39016942031996,0,0,0,-4.40257854623312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.95494403392459,0,0,0,0,0,0,0,0,0,-2.36942431544864,1.39154873618264,0,0,0,0,-2.34301924484828,0,0,5.11811320027992,4.10396329904616,4.05822837518888
"SRR2914123",4.53967400891977,0,0,-2.71678531848811,4.33263133888727,0,0,0,0,0,0,0,0,0,0,0,-2.56103061131318,0,0,0,0,0,0,0,0,0,-6.07594594333341,0,0,0,4.43583513853361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.73446475719495,0,0,0,0,0,0,0,0,0,-2.5261956873936,0.305334656120123,0,-4.70561020487861,0,0,-2.94739221870641,0,0,4.73623189096815,-4.37549928042709,5.10503307263266
"SRR2914124",0,0,0,-5.01835113568251,0,0,0,0,0,0,0,0,0,1.93939710061469,0,0,0,0,0,0,0,0,0,0,0,0,-6.37935225577853,0,3.80104300190054,0,0,0,4.13702356531289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.36880448134046,0.602924766733576,0,-0.560966303819671,0,0,0,0,0,0,5.83494052244739,0
"SRR2914125",0,0,0,0,0.799163059546166,0,0,0,0,0,0,-3.23062484223194,0,0,3.32421285049302,0,0,0,0,0,0,0,0,0,0,-5.59560636693991,0,0,0,0,0,0,0,0,0,0,0,0,-4.02774180011003,0,0,0,0,0,0,0,0,0,0,0,-2.66854911242609,0,0,0,0,0,0,-4.10584709669415,0,-2.46559315339609,0,0,0,0,0,0,0,0,4.270532612476,4.62206264521482,0,0
"SRR2914126",4.58345766853449,-2.3183059678387,0,0,0,0,2.17563334555438,-2.49916829168438,0,-3.02541256077812,0,0,0,0,0,0,-2.91735312966712,-4.01542372378677,3.94755837715856,0,0,0,0,0,5.24016826912477,0,0,0,0,-4.32868645786247,5.05300384420353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.33513432726423,-3.4268401066226,0,0,0,0,0,0,0,5.77662210488869,0,-5.9354611740851,0
"SRR2914127",-4.65897247056588,0,-2.50738417104305,-2.44561254233794,-4.11538523805136,3.97789604099885,0,0,0,-2.62647298193723,0,0,-4.34291677834053,0,0,0,-2.87928323920345,0,0,0,0,0,0,0,4.54918464942222,0,0,0,0,0,4.98706485968186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45214762881354,-3.18886532948931,0,0,-4.23592517895701,0,0,0,0,5.97929508833348,0,-5.52327676917035,0
"SRR2914128",4.95326080812096,0,0,-2.68155165237551,-4.45692494012354,0,4.09016564465823,0,0,-2.57193436745371,0,0,0,0,0,0,-3.04195454367075,0,4.21532420940322,0,0,0,0,0,4.45472099816234,0,0,0,0,0,5.26881982395274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.02732223188653,-2.90670678430299,0,0,-4.64458370503466,0,0,0,0,5.24347591651028,0,-5.03456383311794,0
"SRR2914129",0,0,0,0,0,0,3.65063113265378,-3.2500530433118,-3.99326971342452,0,0,0,0,0,0,0,-3.04912341595425,0,4.22752697811868,-3.021957075358,0,0,0,0,0,0,0,0,0,5.62925699830989,5.28123667498073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.22017813304028,0,-2.85423064076649,0,0,-5.23418319281231,0,0,0,0,0,-3.11877916464969,0,0,0,0,-4.94367248632743,0,3.84546132827917,0,0,-5.40188397076049,0
"SRR2914130",0,0,0,0,0,0,0,0,-5.03673272986155,-2.43755625240897,0,0,0,-2.58887008231333,0,0,0,0,0,0,0,0,0,0,4.22197127547952,0,-3.64696358517601,0,0,0,0,0,4.48405451676171,0,0,0,0,-4.50576841426077,0,0,0,0,0,0,0,0,0,0,0,0,1.91948572529691,0,0,0,0,0,0,0,0,0,-2.72553076989348,6.3167262228784,0,0,0,0,0,0,0,4.92004496419796,-4.72075777104782,0
"SRR2914131",0,0,0,0,0,0,0,0,0,-2.49996971029085,0,0,0,1.83784826708095,0,4.61618416480396,0,0,0,0,0,0,0,0,4.330074555607,0,-6.22367849098479,0,3.7943095402341,0,0,0,-4.90348828107173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.27166421434897,0,0,0,0,0,0,0,0,-2.8279475889433,0,1.06751747363448,0,0,0,0,0,0,4.89814890519171,5.66668864455733,0,0
"SRR2914132",0,0,-2.73024256613955,0,0,0,-2.33174373516229,0,-4.87376725883482,0,0,0,-4.72891884154093,0,0,0,-2.68697262557906,0,-4.03869861953151,0,0,0.217928290171967,0,0,0,0,0,0,0,0,4.65397310604967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.18296721492478,-5.88493413887219,0,0,0,0,0,0,0,5.51306093507573,0,-1.54751850610164,0
"SRR2914133",0,0,0,-2.66385153720661,0,-4.55463253750426,0,0,0,0,0,0,0,0,0,-5.00289713534191,0,0,0,0,0,0,0,0,0,0,-2.71511651386052,0,0,0,0,0,0,-0.474587637750361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.99809266536397,0,0,0,0,0,0,0,0.444363338694285,0,0,-4.70271975047571,0,-4.61392620626231,0,0,-2.83429856519232,0,0,5.19284882220999,0,4.90914911873268
"SRR2914134",-3.66061383503086,0,0,0,0,0,2.95306618877085,0,-5.84309406474308,0,-3.5380452203248,-2.0484172249506,0,0,0,0,-3.00765654663645,0,4.13460253359635,0,0,0,0,0,0,3.54796270871368,0,0,0,0,5.20941395049148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45169203253752,-3.11502741971677,0,0,0,0,0,0,0,5.97850597243567,0,-5.39538575791962,0
"SRR2914135",-4.29591665473182,0,0,0,0,0,5.60090547212077,0,0,0,0,0,0,0,0,0,-2.63468863206732,0,0,-2.47352639585953,0,0,0,0,0,0,0,0,0,0,4.56341457286474,0,0,0,0,0,0,0,0,0,0,-4.55852939593002,0,0,0,0,0,0,0,0,0,0,0,0,-4.28427339149143,0,0,0,0,-5.91071124848191,-6.47195147510748,0,0,0,0,0,0,0,0.156977786059965,0,-0.760564985190477,0
"SRR2914136",5.03331164930568,6.04100569392536,0,0,0,0,6.41809560862549,0,0,2.08989613628233,0,0,0,0,0,0,-2.49172805364231,0,0,0,0,0,0,0,5.0750488720015,0,0,0,0,0,4.31579958755319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.55852278116827,-3.04221704994834,0,0,0,0,0,0,0,1.34020465036367,0,-5.26927449816283,0
"SRR2914137",0,4.08889349699556,0,0,0,0,-2.16987031887023,0,0,0,0,0,0,0,0,0,-2.77173016470296,0,3.75832563811891,-3.48016177455052,0,0,0,0,0,0,1.80154934760526,0,0,0,4.80077747013678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.30960223674573,0,0,0,-6.02781701208056,0,0,0,0,-5.38468703173478,0,-4.06156622817446,0,0,0,0,0,0,1.53943389481089,5.73239922688721,0,0
