oldID,newID
1623_and_28037,1623__28037
28080_and_28125_and_29466,29466__28080_28125
1382_and_28026_and_29389,28026__1382_29389
158787_and_78448_and_907,907__78448_158787
46503_and_820,820__46503
133926_and_33038,33038__133926
1308_and_1596_and_349096,1596__1308_349096
197_and_36835_and_823,36835__197_823
103892_and_1303,1303__103892
1547_and_1613_and_817,1613__817_1547
1352_and_35760,1352__35760
106648_and_1343_and_84109,84109__1343_106648
1382_and_29389,1382__29389
28118_and_818_and_821,28118__818_821
29348_and_40214_and_40216,40214__29348_40216
1630_and_28135_and_397865,397865__1630_28135
1304_and_1681_and_52226,52226__1304_1681
28080_and_28125,28080__28125
1308_and_349096,1308__349096
1496_and_39778_and_850,1496__850_39778
1680_and_2130,1680__2130
28161_and_729,729__28161
1492_and_1502,1492__1502
1121298_and_1559_and_187327,1121298__1559_187327
1547_and_817,817__1547
106648_and_1343,1343__106648
1755626_and_239935_and_261299,261299__239935_1755626
1379_and_208479_and_43675,1379__43675_208479
47678_and_69825,47678__69825
197_and_823,197__823
1304_and_1681,1304__1681
1349_and_589436,1349__589436
818_and_821,818__821
1630_and_28135,1630__28135
1203033_and_33039,33039__1203033
1363_and_28025,1363__28025
1633_and_47770,1633__47770
1358_and_329854,1358__329854
1660_and_52787,1660__52787
37734_and_851,851__37734
29430_and_39485,29430__39485
137591_and_35833,35833__137591
1512_and_169435,1512__169435
114702_and_1597,1597__114702
1582_and_33072,1582__33072
351091_and_487175,351091__487175
309120_and_584,584__309120
437898_and_454154,437898__454154
228603_and_310297,228603__310297
520083_and_633701_and_736,736__520083_633701
165179_and_179995_and_218538,179995__165179_218538
1535_and_40520_and_97478,1535__40520_97478
1685_and_1694_and_216816,1694__1685_216816
40518_and_536633,40518__536633
39778_and_850,850__39778
1685_and_216816,1685__216816
341225_and_387661,341225__387661
29348_and_40216,29348__40216
118748_and_84026,84026__118748
29363_and_521157_and_562,29363__562_521157
197614_and_198_and_762210,198__197614_762210
1755626_and_239935,239935__1755626
208479_and_43675,43675__208479
158787_and_78448,78448__158787
1559_and_187327,1559__187327
40520_and_97478,40520__97478
1735_and_310298_and_84032,84032__1735_310298
520083_and_633701,520083__633701
521157_and_562,562__521157
165179_and_218538,165179__218538
197614_and_762210,197614__762210
1735_and_310298,1735__310298
