,D000236,D006262,accuracy,macro avg,weighted avg
precision,0.68,0.68,0.68,0.68,0.68
recall,0.68,0.68,0.68,0.68,0.68
f1-score,0.68,0.68,0.68,0.68,0.68
support,56.0,56.0,0.68,112.0,112.0
