"","Part","BalanceID","Component","Group","d.group"
"34","-1","165179__74426_88431","74426","165179__74426_88431-1","p__Terrabacteria group"
"35","-1","165179__74426_88431","88431","165179__74426_88431-1","p__Terrabacteria group"
"37","1","165179__74426_88431","165179","165179__74426_884311","p__FCB group"
"94","1","40518__487174","40518","40518__4871741","p__Terrabacteria group"
"130","-1","40518__487174","487174","40518__487174-1","p__FCB group"
"137","1","573__28117_216816","573","573__28117_2168161","p__Proteobacteria"
"154","-1","573__28117_216816","28117","573__28117_216816-1","p__FCB group"
"176","-1","573__28117_216816","216816","573__28117_216816-1","p__Terrabacteria group"
"235","1","74426__88431","74426","74426__884311","p__Terrabacteria group"
"236","-1","74426__88431","88431","74426__88431-1","p__Terrabacteria group"
"301","-1","410072__47678_487173","47678","410072__47678_487173-1","p__FCB group"
"326","1","410072__47678_487173","410072","410072__47678_4871731","p__Terrabacteria group"
"330","-1","410072__47678_487173","487173","410072__47678_487173-1","p__Terrabacteria group"
"336","-1","817__550_39492","550","817__550_39492-1","p__Proteobacteria"
"340","1","817__550_39492","817","817__550_394921","p__FCB group"
"361","-1","817__550_39492","39492","817__550_39492-1","p__Terrabacteria group"
"422","1","28117__216816","28117","28117__2168161","p__FCB group"
"444","-1","28117__216816","216816","28117__216816-1","p__Terrabacteria group"
"484","-1","100886__1735_363265","1735","100886__1735_363265-1","p__Terrabacteria group"
"505","1","100886__1735_363265","100886","100886__1735_3632651","p__Terrabacteria group"
"525","-1","100886__1735_363265","363265","100886__1735_363265-1","p__FCB group"
"553","1","2173__39491_469588","2173","2173__39491_4695881","p__Euryarchaeota"
"561","-1","2173__39491_469588","39491","2173__39491_469588-1","p__Terrabacteria group"
"597","-1","2173__39491_469588","469588","2173__39491_469588-1","p__FCB group"
"621","-1","166486__28111_360807","28111","166486__28111_360807-1","p__FCB group"
"641","1","166486__28111_360807","166486","166486__28111_3608071","p__Terrabacteria group"
"658","-1","166486__28111_360807","360807","166486__28111_360807-1","p__Terrabacteria group"
"703","1","47678__487173","47678","47678__4871731","p__FCB group"
"732","-1","47678__487173","487173","47678__487173-1","p__Terrabacteria group"
"759","-1","658081__33039_204516","33039","658081__33039_204516-1","p__Terrabacteria group"
"777","-1","658081__33039_204516","204516","658081__33039_204516-1","p__FCB group"
"802","1","658081__33039_204516","658081","658081__33039_2045161","p__Terrabacteria group"
"861","1","384638__751585","384638","384638__7515851","p__Terrabacteria group"
"871","-1","384638__751585","751585","384638__751585-1","p__Terrabacteria group"
"872","1","550__39492","550","550__394921","p__Proteobacteria"
"897","-1","550__39492","39492","550__39492-1","p__Terrabacteria group"
"940","-1","729__562_292800","562","729__562_292800-1","p__Proteobacteria"
"942","1","729__562_292800","729","729__562_2928001","p__Proteobacteria"
"986","-1","729__562_292800","292800","729__562_292800-1","p__Terrabacteria group"
"1030","1","39491__469588","39491","39491__4695881","p__Terrabacteria group"
"1066","-1","39491__469588","469588","39491__469588-1","p__FCB group"
"1081","-1","33043__853_1502","853","33043__853_1502-1","p__Terrabacteria group"
"1083","-1","33043__853_1502","1502","33043__853_1502-1","p__Terrabacteria group"
"1095","1","33043__853_1502","33043","33043__853_15021","p__Terrabacteria group"
"1154","1","1735__363265","1735","1735__3632651","p__Terrabacteria group"
"1195","-1","1735__363265","363265","1735__363265-1","p__FCB group"
"1237","-1","338188__46503_46506","46503","338188__46503_46506-1","p__FCB group"
