,D003922,D006262,accuracy,macro avg,weighted avg
precision,0.7,0.76,0.72,0.73,0.73
recall,0.79,0.66,0.72,0.72,0.72
f1-score,0.74,0.7,0.72,0.72,0.72
support,38.0,38.0,0.72,76.0,76.0
