,D006262,D015209,accuracy,macro avg,weighted avg
precision,0.8,0.84,0.81,0.82,0.82
recall,0.9,0.7,0.81,0.8,0.81
f1-score,0.85,0.76,0.81,0.81,0.81
support,31.0,23.0,0.81,54.0,54.0
