,D001321,D006262,accuracy,macro avg,weighted avg
precision,0.79,0.74,0.76,0.77,0.77
recall,0.72,0.81,0.76,0.76,0.76
f1-score,0.75,0.78,0.76,0.76,0.76
support,134.0,134.0,0.76,268.0,268.0
