"","1681__817_84026","28111__169435_185294","39492__821_310298","1465754__35833_187327","817__84026","1515__650643","28447__29348_218538","31971__818_46506","29363__88431_214856","261299__454155","821__310298","1304__216947_626932","39497__310297","78345__1686_762212","1343__2088","216947__626932","729__1541","1630__2139","536633__40520_216816","225004__387090","154046__1267_44749","28125__47678_228603","29348__218538","1689__36847_574375","818__46506","151276__246787","1547__1492_28026","562__103892","45851__165179_308994","169435__185294","745368__204516_357276","37734__39485_43131","1303__1735_89014","28118__626937","39777__29466_652716","143393__508460","88431__214856","876__321327","1532__39490","40520__216816","852__645466","1307__208479","905__544645","901__626931","28037__1322_1623","47678__228603","33038__74426_397865","1265__1504_1161942","310514__1308_454154","35785__1264_328814","1492__28026","35833__187327","1632__1823","29533__164393","28025__288965","39484__1535_40518","294__28136","76759__105841","840__314275","1261__1358","1267__44749","189722__40519_166486","423605__820_28116","204516__357276","1352__28117_46503","1322__1623","36745__33043_234908","1686__762212","1520__29367_341225","29466__652716","39485__43131","1535__40518","36847__574375","1504__1161942","1735__89014","28135__180311","52226__633701","39488__39491_351091","1416614__47246_1590651","1264__328814","589437__839_437898","165179__308994","74426__397865","291644__301301_472113","29367__341225","1308__454154","90728__301302_487175","33043__234908","28117__46503","40519__166486","820__28116","839__437898","39491__351091","47246__1590651","371601__853_1680","301301__472113","301302__487175","823__1297750_1755626","853__1680","1297750__1755626"
"SRR5057595",-2.17343197428117,0,-4.31338725073195,0,3.76449460624972,0,0,0,0,0,-0.503531382892421,0,0,0,0,0,0,0,0,0,0,-1.82363373819742,0,0,0,0,0,0,-3.70589215150256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1586262889547,0,0,-1.9076677585003,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.43033680136474,0,-2.70176543917456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41879349377317,0,0,0,-3.30417748168356,0,0,4.67959501078397,0,4.20946681946816,0,0,0,-2.03387245795444,0,0,0,3.52277043329208,0
"SRR5057596",0,0,-2.38251159672872,0,0,0,0,0,3.59455901515899,0,-4.12663113515619,0,-3.1218441391199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71706075028289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.03221376620762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.683923690976629,0,0,0,0,0,0,0,0,0,0,0,0,2.70244130042892,-3.51989749491251,0,5.39241360741046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5057597",-2.92072334804275,0,-3.99482461625031,0,5.05884123366272,0,0,-2.06086580195885,0,0,0.0828891848656735,0,0,0,0,0,0,0,0,0,0,-1.7002576094607,0,0,-3.56952427657392,0,0,0,-6.38049770118833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94493256554153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18975787653402,0,0,0,0,0,0,0,0,0,0,0,0,-1.54951012653691,0,0,0,2.6838302660044,0
"SRR5057598",0,5.01227202801996,-2.66205072395191,0,0,0,-3.32968889548411,0,0,0,4.61080710621022,0,0,0,0,0,0,0,0,0,0,0,-5.76719034037638,0,0,0,0,0,-2.75897599549356,0,-2.23827063955067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77190543513471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.35461739928517,3.87679846879144,-2.43035474666723,0,-2.66103768429454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.77868660105776,-4.80108104742964,0,0,0,0,-4.60905247005358,4.20949790164384,0,4.07831696794761,0,0,0,0,0,0,0,0,0
"SRR5057599",-2.48299856991038,0,2.28761462963714,0,4.30067967820564,0,-2.69101794111948,0,0,0,3.4637971696897,0,0,0,0,0,0,0,0,0,0,0,-4.66097979809833,0,0,0,0,0,-5.78577310652281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.04977957015941,0,0,0,2.60441276720919,0,0,0,0,0,0,0,0,0,0,-3.55032235983279,0,-2.08025565908294,0,0,0,3.60310849426433,0
"SRR5057600",-2.7229684815707,0,-1.53558811510963,0,4.71631975748914,0,-1.87058038762659,-1.46916728304254,0,0,2.65971663486881,0,0,0,0,0,0,0,0,0,0,0,-3.23994027101114,0,-2.54467237904761,0,0,0,-2.93071816528969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.53312911147364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06669245815542,0,0,0,0,0,-2.65545751563527,0,0,0,0,0,0,-1.90572039829583,0,0,0,3.30080455486878,0
"SRR5057601",-4.54389576784379,0,0,0,-0.182935778934164,0,-3.25958212220797,0,0,0,0,0,0,0,0,0,0,4.08479102908754,0,0,0,0,-5.64576184710739,0,0,0,0,0,0.355877702387742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.38350451873164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460963380260352,0,0,0,0,0,-4.1283509265132,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5057602",-2.22571142684893,-2.38272614046089,-2.85978765413382,0,3.85504527428897,0,0,0,0,0,4.95329751581798,0,0,0,0,0,0,0,0,0,0,-2.26393016395858,0,0,0,0,0,0,0,-4.12700273580076,-2.93513749948185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92124206876399,0,0,0,0,0,0,0,0,0,-1.94507744192922,0,0,0,0,0,0,-1.99771554655435,-5.08380727630324,0,0,0,0,0,0,0,-3.36897295407751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46014482570236,0,0,0,0,0,0,0,0,0
"SRR5057603",-2.08212044050871,0,0,0,3.60633839043878,0,-3.05289459385149,0,0,0,0,0,0,0,0,0,0,0,1.82528719100164,0,0,0,-5.28776854670314,0,0,0,0,3.41622123481806,-5.99310122167991,0,0,0,0,0,0,0,0,0,0,3.73670432431338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68495512845654,0,-1.70813722644149,0,0,0,0,0,0,0,0,0,0,-1.77062188468599,2.95858046249644,0,0,3.0668070652695,0
"SRR5057604",0,0,-4.65356810155531,0,0,0,0,0,0,0,0.423258769743257,0,0,0,0,0,0,0,0,0,0,-2.12982003016016,0,0,0,0,0,0,1.1283743287521,0,-2.53778651201636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68895650321527,-2.31075158412795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.19268657398729,-4.39557517757534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3283752808388,-4.00233914737988,0,0,0,0,0,0,0,3.79784455122013,0,0,0,-2.17817639378024,0,0,0,3.77271218187453,0
