,D006262,D008881,accuracy,macro avg,weighted avg
precision,0.58,0.59,0.59,0.59,0.59
recall,0.61,0.56,0.59,0.59,0.59
f1-score,0.6,0.58,0.59,0.59,0.59
support,187.0,187.0,0.59,374.0,374.0
