featureid,D009765
39491,8.61315163745015
571,-2.2646363003792964
1512,-0.30446374704425444
29348,-2.5982774894092553
376805,-20.979797247162534
469588,-17.730210743620965
2173,-21.016164340650832
28111,2.5697952227459036
329854,-12.43847794415913
384638,-4.791731116043902
46503,-21.535794436068908
817,-3.9377382521485718
39492,-20.034104135609514
849,-1.4664314163780547
45851,-8.37708926008601
1351,-2.5395055958179777
487175,-2.681973007472479
658082,7.603076687749342e-05
214856,1.1143452744048332
39485,-8.392983387828732
1352,-7.354769840122566
1492,-12.253424145291621
1161942,-16.652753579527328
328813,-11.126035788012333
338188,-19.027276269940277
246787,-9.396561388556808
411489,-18.20064625146047
310297,-7.962894992116531
33038,2.145295197212169
357276,-2.3598801936298646
261299,-12.128320618758417
1502,-2.0183941171227935
363265,-0.27753095223030366
28118,4.143191391224403
204516,-11.254184300938418
1735,-4.422546423682912
46228,-12.354187275627396
1304,3.759346340310769
487174,-30.226700962647413
573,-25.00949558631316
901,0.14187696572499592
823,-7.9256341010191855
1118061,2.4722062030575582
487173,2.4940363602341917
1531,0.18548585098133577
239935,-0.6613299359598985
751585,-9.266947528829897
33043,-3.018398828542501
47678,-5.122578569457547
1226323,0.3557105080325789
1226325,0.21314396683473835
626934,0.08557018131878079
39488,22.700997978195634
1681,0.5796955765433057
665951,-5.581344727140807
166486,-18.141678503837188
387661,4.91632090866745
491921,0.26412568047609797
454155,8.669359421750082
