,D002318,D006262,accuracy,macro avg,weighted avg
precision,0.59,0.67,0.65,0.63,0.64
recall,0.34,0.85,0.65,0.6,0.65
f1-score,0.43,0.75,0.65,0.59,0.63
support,116.0,183.0,0.65,299.0,299.0
