features,j_cmi,MIfy
1755626,0.5113163347543023,0.5113163347543023
218538,0.009735857119984148,0.4429215353823398
165179,0.006318110541688404,0.4183443730966995
820,0.04116343750543794,0.409264365827842
28125,0.007326072370504033,0.4021459960787038
76517,0.013592667940365621,0.4021459960787038
28128,0.0212165601567621,0.3954720222359368
817,0.006642889458651102,0.2395607084948549
28116,0.009823545509312581,0.23117072612673228
28135,0.010759890646681008,0.21289662666071474
29524,0.00642664998038428,0.21289662666071474
351091,0.005391816021202173,0.18766613660274623
46506,0.007899711466839321,0.1721353642965905
28126,0.07223204061110922,0.1721353642965905
228603,0.0056621373330932034,0.1721353642965905
386414,0.02962425952791109,0.16442035198563543
281920,0.007642572390164082,0.16442035198563543
40520,0.006132118021120597,0.16442035198563543
246787,0.0057956074439634575,0.1449807675639584
204516,0.0058156782835294685,0.13382784017470117
633701,0.00436985928298389,0.13012496531496998
28118,0.009913091690217979,0.10482317812723685
47877,0.05066536949283629,0.0976823881892035
47678,0.006197975111082943,0.07724537168300194
45851,0.005579343204418441,0.07724537168300194
410072,0.004240883868890502,0.07724537168300194
827,0.00855036889454272,0.07724537168300194
39485,0.0030140735242388528,0.06689621372660515
40214,0.004172842266183627,0.06689621372660515
1735,0.004741054755795261,0.06345829864830321
40324,0.009578572520856636,0.06345829864830321
840,0.0034379150783020174,0.03760054788612344
1827099,0.0053546218088786415,0.03760054788612344
29348,0.007635235102560232,0.03760054788612344
38986,0.01046590648601892,0.03760054788612344
856,0.025122711569371507,0.03760054788612344
186651,0.0042027385549035234,0.03760054788612344
35833,0.00569671363696117,0.03760054788612344
338188,0.0023874710228451376,0.03760054788612344
33037,0.005852997271563125,0.03760054788612344
310297,0.0058175071292707325,0.03760054788612344
33029,0.006990352762690773,0.03760054788612344
39488,0.006047825204851254,0.03760054788612344
28111,0.0059468815686353135,0.03760054788612344
40518,-0.0009008022969464111,0.030954264789458064
82135,0.0038161196358647703,0.030954264789458064
1512,0.0049179638805469765,0.030954264789458064
43131,0.0003514638867565846,0.030954264789458064
41276,0.00383271890782445,0.030954264789458064
40543,0.019466681569401185,0.030954264789458064
