,D006262,D015497,accuracy,macro avg,weighted avg
precision,0.65,0.89,0.72,0.77,0.77
recall,0.94,0.5,0.72,0.72,0.72
f1-score,0.77,0.64,0.72,0.7,0.7
support,16.0,16.0,0.72,32.0,32.0
