,D006262,D007410,accuracy,macro avg,weighted avg
precision,0.72,0.75,0.74,0.74,0.74
recall,0.77,0.71,0.74,0.74,0.74
f1-score,0.74,0.73,0.74,0.74,0.74
support,1170.0,1170.0,0.74,2340.0,2340.0
