,D000236,D006262,accuracy,macro avg,weighted avg
precision,0.79,0.78,0.79,0.79,0.79
recall,0.78,0.79,0.79,0.79,0.79
f1-score,0.79,0.79,0.79,0.79,0.79
support,476.0,476.0,0.79,952.0,952.0
