,D001714,D006262,accuracy,macro avg,weighted avg
precision,0.62,0.74,0.7,0.68,0.69
recall,0.59,0.76,0.7,0.68,0.7
f1-score,0.61,0.75,0.7,0.68,0.69
support,115.0,174.0,0.7,289.0,289.0
