,D006262,D016640,accuracy,macro avg,weighted avg
precision,0.69,0.64,0.66,0.67,0.66
recall,0.52,0.78,0.66,0.65,0.66
f1-score,0.59,0.71,0.66,0.65,0.65
support,21.0,23.0,0.66,44.0,44.0
