oldID,newID
150055_and_1613_and_1681,1613__1681_150055
103892_and_39777_and_658082,658082__39777_103892
1531_and_1596_and_47715,1596__1531_47715
545_and_571_and_851,545__571_851
100886_and_1598_and_165179,100886__1598_165179
33039_and_33959_and_638849,638849__33039_33959
1531_and_47715,1531__47715
33043_and_626940,33043__626940
1598_and_165179,1598__165179
571_and_851,571__851
28026_and_33945,28026__33945
150055_and_1681,1681__150055
1680_and_1686_and_584,1680__584_1686
1358_and_28025_and_573,28025__573_1358
33038_and_457412_and_46228,457412__33038_46228
187326_and_649756_and_658089,658089__187326_649756
1308_and_29348_and_582,1308__582_29348
1351_and_357276_and_853,357276__853_1351
29348_and_582,582__29348
1351_and_853,853__1351
1686_and_584,584__1686
103892_and_39777,39777__103892
1358_and_573,573__1358
216816_and_29466_and_624,624__29466_216816
187326_and_649756,187326__649756
1304_and_562,562__1304
33039_and_33959,33039__33959
166486_and_328812_and_360807,328812__166486_360807
166486_and_360807,166486__360807
216816_and_29466,29466__216816
1633_and_29361,1633__29361
33038_and_46228,33038__46228
