oldID,newID
1735_and_371601_and_384638,384638__1735_371601
1735_and_371601,1735__371601
1211813_and_158847_and_818,1211813__818_158847
158847_and_818,818__158847
1505_and_469591,1505__469591
28126_and_338188_and_40545,28126__40545_338188
338188_and_40545,40545__338188
1118061_and_40519,40519__1118061
33035_and_469610,33035__469610
328814_and_363265_and_626940,328814__363265_626940
33033_and_582_and_76860,76860__582_33033
33033_and_582,582__33033
1689_and_328813_and_665951,665951__1689_328813
116085_and_47770,47770__116085
1161942_and_39485_and_853,1161942__853_39485
1118060_and_333367_and_446660,333367__446660_1118060
457394_and_571,571__457394
491921_and_849_and_860,860__849_491921
188913_and_457415_and_703,703__188913_457415
1685_and_735_and_905,735__905_1685
1343_and_457421,1343__457421
204516_and_2173_and_376804,376804__2173_204516
301301_and_649756_and_749535,749535__301301_649756
33043_and_550_and_936548,936548__550_33043
1689_and_328813,1689__328813
1582_and_28025_and_487175,1582__28025_487175
39485_and_853,853__39485
363265_and_626940,363265__626940
1512_and_1531_and_163665,1512__1531_163665
188913_and_457415,188913__457415
1099853_and_1352,1352__1099853
1118060_and_446660,446660__1118060
491921_and_849,849__491921
166486_and_563193_and_573,563193__573_166486
204516_and_2173,2173__204516
28116_and_291644_and_357276,291644__28116_357276
1685_and_905,905__1685
208479_and_469588_and_68892,68892__208479_469588
28123_and_281920_and_823,281920__823_28123
1686_and_28111_and_469614,469614__1686_28111
154288_and_39496_and_469592,154288__39496_469592
322095_and_33959,33959__322095
33043_and_550,550__33043
310297_and_39490,39490__310297
301301_and_649756,301301__649756
1078090_and_1623_and_457392,1078090__1623_457392
154046_and_156974,154046__156974
1105030_and_1681_and_387090,1105030__1681_387090
1203555_and_47678_and_907,907__47678_1203555
1261_and_1318_and_1583,1261__1318_1583
28123_and_823,823__28123
28025_and_487175,28025__487175
197614_and_214856_and_261299,197614__214856_261299
1686_and_28111,1686__28111
103892_and_239935_and_39483,103892__39483_239935
28037_and_376805_and_39777,28037__39777_376805
1308_and_1596_and_52226,1596__1308_52226
165179_and_310298_and_658085,658085__165179_310298
166486_and_573,573__166486
33039_and_360807_and_548,548__33039_360807
29391_and_411489_and_88431,29391__88431_411489
102148_and_1304_and_487173,102148__1304_487173
1203555_and_47678,47678__1203555
1531_and_163665,1531__163665
208479_and_469588,208479__469588
1681_and_387090,1681__387090
28116_and_357276,28116__357276
46506_and_821_and_908612,908612__821_46506
1070699_and_39492_and_817,1070699__817_39492
39496_and_469592,39496__469592
239935_and_39483,39483__239935
1623_and_457392,1623__457392
218538_and_410072_and_546,546__218538_410072
214856_and_261299,214856__261299
329854_and_658082_and_74426,658082__74426_329854
165179_and_310298,165179__310298
1226325_and_46503_and_729,1226325__729_46503
150055_and_40520_and_454154,150055__40520_454154
1308_and_52226,1308__52226
33039_and_360807,33039__360807
1358_and_28118_and_39486,1358__28118_39486
296_and_39491_and_562,296__562_39491
411489_and_88431,88431__411489
376805_and_39777,39777__376805
187326_and_29466_and_820,187326__820_29466
1304_and_487173,1304__487173
187327_and_39488_and_751585,187327__39488_751585
1318_and_1583,1318__1583
39492_and_817,817__39492
1502_and_658086,1502__658086
218538_and_410072,218538__410072
216816_and_487174_and_851,851__216816_487174
46503_and_729,729__46503
29466_and_820,820__29466
1492_and_40518_and_658081,1492__40518_658081
46506_and_821,821__46506
39491_and_562,562__39491
329854_and_74426,74426__329854
39488_and_751585,39488__751585
40520_and_454154,40520__454154
246787_and_29361_and_33038,29361__33038_246787
28118_and_39486,28118__39486
216816_and_487174,216816__487174
28117_and_457412_and_469596,469596__28117_457412
1680_and_45851_and_626929,626929__1680_45851
40518_and_658081,40518__658081
246787_and_33038,33038__246787
28117_and_457412,28117__457412
1680_and_45851,1680__45851
