"","384638__1735_371601","1735__371601","1211813__818_158847","818__158847","1505__469591","28126__40545_338188","40545__338188","40519__1118061","33035__469610","328814__363265_626940","76860__582_33033","582__33033","665951__1689_328813","47770__116085","1161942__853_39485","333367__446660_1118060","571__457394","860__849_491921","703__188913_457415","735__905_1685","1343__457421","376804__2173_204516","749535__301301_649756","936548__550_33043","1689__328813","1582__28025_487175","853__39485","363265__626940","1512__1531_163665","188913__457415","1352__1099853","446660__1118060","849__491921","563193__573_166486","2173__204516","291644__28116_357276","905__1685","68892__208479_469588","281920__823_28123","469614__1686_28111","154288__39496_469592","33959__322095","550__33043","39490__310297","301301__649756","1078090__1623_457392","154046__156974","1105030__1681_387090","907__47678_1203555","1261__1318_1583","823__28123","28025__487175","197614__214856_261299","1686__28111","103892__39483_239935","28037__39777_376805","1596__1308_52226","658085__165179_310298","573__166486","548__33039_360807","29391__88431_411489","102148__1304_487173","47678__1203555","1531__163665","208479__469588","1681__387090","28116__357276","908612__821_46506","1070699__817_39492","39496__469592","39483__239935","1623__457392","546__218538_410072","214856__261299","658082__74426_329854","165179__310298","1226325__729_46503","150055__40520_454154","1308__52226","33039__360807","1358__28118_39486","296__562_39491","88431__411489","39777__376805","187326__820_29466","1304__487173","187327__39488_751585","1318__1583","817__39492","1502__658086","218538__410072","851__216816_487174","729__46503","820__29466","1492__40518_658081","821__46506","562__39491","74426__329854","39488__751585","40520__454154","29361__33038_246787","28118__39486","216816__487174","469596__28117_457412","626929__1680_45851","40518__658081","33038__246787","28117__457412","1680__45851"
"ERR209057",0,0,0,0,0,0,0,0,0,4.80604149574844,0,0,-2.89318582838599,0,-2.40925921720938,0,0,0,0,0,0,0,0,0,-5.01114485050279,0,4.17295937281027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.72094989589972,0,0,0,0,0,0,0,0,0,0,0,0,-2.65205792103685,-2.90921312555326,0,-4.71282346454757,0,0,0,0,0,0,0,0,0,0,-3.42439780203562,0,0,-3.07202064131222,0,0,0,-5.03890494350451,0,0,0,0,5.32089583265309,0,4.59349906385132,-5.93123097845288,0,0,0,0,0,0,-2.47535177162677,0,0,0,4.28743503506319,0
"ERR209058",0,0,0,0,0,0,0,0,0,0,0,0,-2.62464067546609,0,-2.2702422038356,0,0,0,0,0,0,0,0,0,-4.54601100151916,0,3.9321748425304,0,0,0,0,0,0,0,0,-2.31608340767365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5640530029028,0,0,0,0,0,0,0,0,0,0,0,-4.01157413665802,-2.82113045416809,-2.9455168268619,0,-4.4410700743272,0,0,0,0,0,0,0,0,0,0,-3.52498502725656,0,0,-2.62269912149529,0,0,0,-5.10178479867387,0,0,0,0,4.5426481313961,0,4.886341281399,-6.10545316312792,0,0,0,0,0,0,-2.34836771754516,0,0,0,4.06749220164277,0
"ERR209059",0,0,0,0,0,0,0,0,0,4.66425547017059,0,0,-2.80855736784963,0,0,0,0,0,0,0,0,0,0,0,-4.86456405708747,0,0,0,0,0,0,0,0,0,0,-2.28334207630494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.69117925850231,0,0,0,0,0,0,0,0,0,0,0,-3.95486448721996,-2.75507213792403,-2.95964485201596,0,-4.66125920800153,0,0,0,0,0,0,0,0,0,0,-3.49641862782182,0,0,-2.49858122363327,0,0,0,-5.12625525605131,0,0,0,0,4.32766962617044,0,4.77192492140182,-6.05597470791765,0,0,0,0,0,0,-2.4040694551808,0,0,0,4.16397044129757,0
"ERR209060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.41593331938951,0,0,0,0,0,0,0,0,0,0,0,0.930385455409032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.18829229719486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.56540520834201,0,0,0,0,-2.71395654643388,0,0,0,0,0,0,0,0,0,0,0,-2.96742162385401,0,-2.56986309775488,-0.222837122477083,0,0,4.70071062795764,0,0,5.13972501999368,-2.71810194219352,4.44341216285018,0,0,-4.4511334538078,0,0,0,0,0,0,4.70789066403083,0,0,0
"ERR209061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3667122659752,0,0,0,0,0,0,0,0,0,0,0,0.470957764896679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.27494116596298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.72131239598593,0,0,0,0,-2.68152017378758,0,0,0,0,0,0,0,0,0,0,0,-2.95951366339024,0,-2.56991061895913,-0.0525922901687711,0,0,4.64452918252101,0,0,5.12602803068619,-2.75615245328831,4.71345133311463,0,0,-4.451215762948,0,0,0,0,0,0,4.77379608250097,0,0,0
"ERR209062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77854701496396,0,0,0,0,0,0,0,0,0,0,0,4.81258460113641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.38582726261794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62553670652115,-2.50701112462359,0,0,0,-2.65907686686797,0,0,0,0,0,0,0,0,0,0,0,-2.77466169419739,0,-2.52923004104073,-0.174349597586615,-4.34227064298846,0,4.60565623464639,0,0,4.80585502816502,-2.83143157836046,4.54756297283169,0,0,-4.38075493511207,0,0,0,0,0,0,4.90418335187525,0,0,0
"ERR209069",0,0,0,0,0,0,0,0,0,-2.67025064257958,0,0,0,0,-2.5217664936371,0,0,0,0,0,0,0,0,0,0,0,4.36782769180427,-4.62500978189128,0,0,0,0,0,0,0,-2.36902584894015,0,0,0,-2.38684189252793,0,0,0,0,0,0,0,0,0,0,0,0,-2.18136394679145,-4.13413142749224,0,0,0,-3.53275121923256,0,0,0,0,0,0,0,0,-4.10327313480833,0,0,0,0,0,0,3.77823318564176,0,6.1189046022117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.47495270547963,0,0,0,0,0,0,0,0,-2.5281415099202,-3.15319222245518,4.28674383222077,0,4.37886954390568,-5.4614891353234
"ERR209070",0,0,0,0,0,0,0,0,0,-2.70999318994566,0,0,0,0,-2.6112698951317,0,0,0,0,0,0,0,0,0,0,0,4.52285213064316,-4.69384589315154,0,0,0,0,0,0,0,-2.29880440749061,0,0,0,-2.3890986885339,0,0,0,0,0,0,0,0,0,0,0,0,-2.22537265463798,-4.13804031283688,0,0,0,-3.53718555705666,0,0,0,0,0,0,0,0,-3.98164603043701,0,0,0,0,0,0,3.85445850360742,0,6.12658510062096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46261479681727,0,0,0,0,0,0,0,0,-2.58261390611479,-3.10836926850154,4.26537394755842,0,4.47321850172473,-5.38385350173037
"ERR209071",0,0,0,0,0,0,0,0,0,-2.70494659282492,0,0,0,0,-2.62237310071739,0,0,0,0,0,0,0,0,0,0,0,4.54208344684446,-4.68510493053309,0,0,0,0,0,0,0,-2.37766371669924,0,0,0,-2.37048863463545,0,0,0,0,0,0,0,0,0,0,0,0,-2.23695533904482,-4.10580675395317,0,0,0,-3.52645686890687,0,0,0,0,0,0,0,0,-4.11823436063614,0,0,0,0,0,0,3.87452030148809,0,6.10800246764697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45443428691287,0,0,0,0,0,0,0,0,-2.61212361678521,-3.11532345654044,4.25120488877218,0,4.52433081992257,-5.39589850873914
"ERR209072",0,0,0,0,0,0,0,0,0,-2.72734971346962,0,0,0,0,-2.64892788227076,0,0,0,0,0,0,0,0,0,0,0,4.58807767767879,-4.72390827373779,0,0,0,0,0,0,0,-2.34250290375823,0,0,0,-2.37508495488485,0,0,0,0,0,0,0,0,0,0,0,0,-2.2215844901341,-4.11376781415299,0,0,0,-3.52550300691275,0,0,0,0,0,0,0,0,-4.05733404618688,0,0,0,0,0,0,3.84789721021927,0,6.10635033020973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45162725781282,0,0,0,0,0,0,0,0,-2.63897056127224,-3.10960711693694,4.24634297175256,0,4.57083109180207,-5.38599751811255
