"","Part","BalanceID","Component","Group","d.group"
"31464","1","294__587753","294","294__5877531","p__Proteobacteria"
"31796","-1","294__587753","587753","294__587753-1","p__Proteobacteria"
"31970","1","33034__1827099","33034","33034__18270991","p__Terrabacteria group"
"32213","-1","33034__1827099","1827099","33034__1827099-1","p__Terrabacteria group"
"32288","1","1590__483012","1590","1590__4830121","p__Terrabacteria group"
"32545","-1","1590__483012","483012","1590__483012-1","p__Terrabacteria group"
"32721","1","29461__35833","29461","29461__358331","p__Proteobacteria"
"32739","-1","29461__35833","35833","29461__35833-1","p__Proteobacteria"
"33059","1","1710__43131","1710","1710__431311","p__Terrabacteria group"
"33149","-1","1710__43131","43131","1710__43131-1","p__Terrabacteria group"
"33410","1","1472__179995","1472","1472__1799951","p__Terrabacteria group"
"33602","-1","1472__179995","179995","1472__179995-1","p__Proteobacteria"
"33966","1","136857__626932","136857","136857__6269321","p__Terrabacteria group"
"34076","-1","136857__626932","626932","136857__626932-1","p__FCB group"
"34230","-1","1646377__29348_34038","29348","1646377__29348_34038-1","p__Terrabacteria group"
"34252","-1","1646377__29348_34038","34038","1646377__29348_34038-1","p__Proteobacteria"
"34481","1","1646377__29348_34038","1646377","1646377__29348_340381","p__Proteobacteria"
"34540","1","1358__1515_46228","1358","1358__1515_462281","p__Terrabacteria group"
"34552","-1","1358__1515_46228","1515","1358__1515_46228-1","p__Terrabacteria group"
"34673","-1","1358__1515_46228","46228","1358__1515_46228-1","p__Terrabacteria group"
"35008","1","33935__626931","33935","33935__6269311","p__Terrabacteria group"
"35212","-1","33935__626931","626931","33935__626931-1","p__FCB group"
"35412","1","39497__88688","39497","39497__886881","p__Terrabacteria group"
"35469","-1","39497__88688","88688","39497__88688-1","p__Proteobacteria"
"35799","1","40681__454155","40681","40681__4541551","p__Proteobacteria"
"35952","-1","40681__454155","454155","40681__454155-1","p__FCB group"
"36133","1","29466__228604","29466","29466__2286041","p__Terrabacteria group"
"36281","-1","29466__228604","228604","29466__228604-1","p__FCB group"
"36406","-1","1303__729_60133","729","1303__729_60133-1","p__Proteobacteria"
"36430","1","1303__729_60133","1303","1303__729_601331","p__Terrabacteria group"
"36589","-1","1303__729_60133","60133","1303__729_60133-1","p__FCB group"
"36783","1","588__1670","588","588__16701","p__Proteobacteria"
"36842","-1","588__1670","1670","588__1670-1","p__Terrabacteria group"
"37279","1","33039__387661","33039","33039__3876611","p__Terrabacteria group"
"37457","-1","33039__387661","387661","33039__387661-1","p__FCB group"
"37631","1","28128__53363","28128","28128__533631","p__FCB group"
"37718","-1","28128__53363","53363","28128__53363-1","p__Terrabacteria group"
"38021","1","29355__43675","29355","29355__436751","p__Terrabacteria group"
"38078","-1","29355__43675","43675","29355__43675-1","p__Terrabacteria group"
"38585","1","351091__1755626","351091","351091__17556261","p__Terrabacteria group"
"38654","-1","351091__1755626","1755626","351091__1755626-1","p__Terrabacteria group"
"38743","-1","328812__1691_28026","1691","328812__1691_28026-1","p__Terrabacteria group"
"38756","-1","328812__1691_28026","28026","328812__1691_28026-1","p__Terrabacteria group"
"38958","1","328812__1691_28026","328812","328812__1691_280261","p__FCB group"
"39062","1","820__28116","820","820__281161","p__FCB group"
"39141","-1","820__28116","28116","820__28116-1","p__FCB group"
"39683","1","208479__358742","208479","208479__3587421","p__Terrabacteria group"
"39723","-1","208479__358742","358742","208479__358742-1","p__Terrabacteria group"
"39813","1","584__39485_204516","584","584__39485_2045161","p__Proteobacteria"
"39954","-1","584__39485_204516","39485","584__39485_204516-1","p__Terrabacteria group"
"40061","-1","584__39485_204516","204516","584__39485_204516-1","p__FCB group"
"40265","-1","228603__1902_387090","1902","228603__1902_387090-1","p__Terrabacteria group"
"40449","1","228603__1902_387090","228603","228603__1902_3870901","p__FCB group"
"40488","-1","228603__1902_387090","387090","228603__1902_387090-1","p__FCB group"
"40624","1","1582__2741","1582","1582__27411","p__Terrabacteria group"
"40648","-1","1582__2741","2741","1582__2741-1","p__Terrabacteria group"
"40953","1","726__28037","726","726__280371","p__Proteobacteria"
"41031","-1","726__28037","28037","726__28037-1","p__Terrabacteria group"
"41478","1","40214__153721","40214","40214__1537211","p__Proteobacteria"
"41553","-1","40214__153721","153721","40214__153721-1","p__FCB group"
"41695","-1","309120__287_251535","287","309120__287_251535-1","p__Proteobacteria"
"41972","-1","309120__287_251535","251535","309120__287_251535-1","p__Proteobacteria"
"41985","1","309120__287_251535","309120","309120__287_2515351","p__Terrabacteria group"
"42109","1","1260__1859290","1260","1260__18592901","p__Terrabacteria group"
"42448","-1","1260__1859290","1859290","1260__1859290-1","p__Terrabacteria group"
"42459","1","470__582","470","470__5821","p__Proteobacteria"
"42465","-1","470__582","582","470__582-1","p__Proteobacteria"
"42833","1","293__32013","293","293__320131","p__Proteobacteria"
"42957","-1","293__32013","32013","293__32013-1","p__Proteobacteria"
"43282","1","1623__138595","1623","1623__1385951","p__Terrabacteria group"
"43444","-1","1623__138595","138595","1623__138595-1","p__Terrabacteria group"
"43668","1","1687__437898","1687","1687__4378981","p__Terrabacteria group"
"43907","-1","1687__437898","437898","1687__437898-1","p__Proteobacteria"
"43965","1","199__39778","199","199__397781","p__Proteobacteria"
"44130","-1","199__39778","39778","199__39778-1","p__Terrabacteria group"
"44472","1","29552__284042_1161942","29552","29552__284042_11619421","p__Terrabacteria group"
"44629","-1","29552__284042_1161942","284042","29552__284042_1161942-1","p__Terrabacteria group"
"44704","-1","29552__284042_1161942","1161942","29552__284042_1161942-1","p__Terrabacteria group"
"45012","1","291644__871324","291644","291644__8713241","p__FCB group"
"45073","-1","291644__871324","871324","291644__871324-1","p__FCB group"
"45270","1","40324__308892","40324","40324__3088921","p__Proteobacteria"
"45395","-1","40324__308892","308892","40324__308892-1","p__Terrabacteria group"
"45662","1","45254__166486","45254","45254__1664861","p__FCB group"
"45727","-1","45254__166486","166486","45254__166486-1","p__Terrabacteria group"
"45919","1","1506__169435","1506","1506__1694351","p__Terrabacteria group"
"46107","-1","1506__169435","169435","1506__169435-1","p__Terrabacteria group"
"46387","-1","214856__36848_328813","36848","214856__36848_328813-1","p__Terrabacteria group"
"46506","1","214856__36848_328813","214856","214856__36848_3288131","p__FCB group"
"46539","-1","214856__36848_328813","328813","214856__36848_328813-1","p__FCB group"
"46894","1","237258__328814","237258","237258__3288141","p__FCB group"
"46919","-1","237258__328814","328814","237258__328814-1","p__FCB group"
"47006","1","317__122355_1463864","317","317__122355_14638641","p__Proteobacteria"
"47230","-1","317__122355_1463864","122355","317__122355_1463864-1","p__Proteobacteria"
"47362","-1","317__122355_1463864","1463864","317__122355_1463864-1","p__Terrabacteria group"
"47482","1","28125__28136","28125","28125__281361","p__FCB group"
"47490","-1","28125__28136","28136","28125__28136-1","p__FCB group"
"47954","1","53440__189722","53440","53440__1897221","p__Terrabacteria group"
"48014","-1","53440__189722","189722","53440__189722-1","p__FCB group"
"48345","1","78342__82135","78342","78342__821351","p__Terrabacteria group"
"48350","-1","78342__82135","82135","78342__82135-1","p__Terrabacteria group"
"48651","1","33069__882211_1463837","33069","33069__882211_14638371","p__Proteobacteria"
"48864","-1","33069__882211_1463837","882211","33069__882211_1463837-1","p__Proteobacteria"
"48877","-1","33069__882211_1463837","1463837","33069__882211_1463837-1","p__Terrabacteria group"
"48925","-1","33038__879_69825","879","33038__879_69825-1","p__Proteobacteria"
"49027","1","33038__879_69825","33038","33038__879_698251","p__Terrabacteria group"
"49098","-1","33038__879_69825","69825","33038__879_69825-1","p__Terrabacteria group"
"49292","1","729__60133","729","729__601331","p__Proteobacteria"
"49475","-1","729__60133","60133","729__60133-1","p__FCB group"
"49697","1","1308__118748","1308","1308__1187481","p__Terrabacteria group"
"49882","-1","1308__118748","118748","1308__118748-1","p__Terrabacteria group"
"50119","1","1902__387090","1902","1902__3870901","p__Terrabacteria group"
"50342","-1","1902__387090","387090","1902__387090-1","p__FCB group"
"50492","1","1691__28026","1691","1691__280261","p__Terrabacteria group"
"50505","-1","1691__28026","28026","1691__28026-1","p__Terrabacteria group"
"50875","1","1735__78346","1735","1735__783461","p__Terrabacteria group"
"50999","-1","1735__78346","78346","1735__78346-1","p__Terrabacteria group"
"51309","1","35825__45851","35825","35825__458511","p__Terrabacteria group"
"51348","-1","35825__45851","45851","35825__45851-1","p__Terrabacteria group"
"51621","-1","38288__1630_165179","1630","38288__1630_165179-1","p__Terrabacteria group"
"51697","1","38288__1630_165179","38288","38288__1630_1651791","p__Terrabacteria group"
"51790","-1","38288__1630_165179","165179","38288__1630_165179-1","p__FCB group"
"51951","-1","589436__839_77095","839","589436__839_77095-1","p__FCB group"
"52134","-1","589436__839_77095","77095","589436__839_77095-1","p__FCB group"
"52264","1","589436__839_77095","589436","589436__839_770951","p__FCB group"
"52307","1","287__251535","287","287__2515351","p__Proteobacteria"
"52584","-1","287__251535","251535","287__251535-1","p__Proteobacteria"
"52851","1","40518__441500","40518","40518__4415001","p__Terrabacteria group"
"53004","-1","40518__441500","441500","40518__441500-1","p__Terrabacteria group"
"53219","1","39485__204516","39485","39485__2045161","p__Terrabacteria group"
"53326","-1","39485__204516","204516","39485__204516-1","p__FCB group"
"53742","1","329854__452084","329854","329854__4520841","p__FCB group"
"53763","-1","329854__452084","452084","329854__452084-1","p__FCB group"
"54104","1","284042__1161942","284042","284042__11619421","p__Terrabacteria group"
"54179","-1","284042__1161942","1161942","284042__1161942-1","p__Terrabacteria group"
"54263","1","1535__589437","1535","1535__5894371","p__Terrabacteria group"
"54539","-1","1535__589437","589437","1535__589437-1","p__FCB group"
"54656","1","1680__216816_536633","1680","1680__216816_5366331","p__Terrabacteria group"
"54846","-1","1680__216816_536633","216816","1680__216816_536633-1","p__Terrabacteria group"
"54913","-1","1680__216816_536633","536633","1680__216816_536633-1","p__Terrabacteria group"
"55048","1","2139__44749","2139","2139__447491","p__Terrabacteria group"
"55135","-1","2139__44749","44749","2139__44749-1","p__Terrabacteria group"
"55412","1","1633__1685","1633","1633__16851","p__Terrabacteria group"
"55416","-1","1633__1685","1685","1633__1685-1","p__Terrabacteria group"
"55740","-1","626930__823_47678","823","626930__823_47678-1","p__FCB group"
"55900","-1","626930__823_47678","47678","626930__823_47678-1","p__FCB group"
"56056","1","626930__823_47678","626930","626930__823_476781","p__FCB group"
"56326","1","122355__1463864","122355","122355__14638641","p__Proteobacteria"
"56458","-1","122355__1463864","1463864","122355__1463864-1","p__Terrabacteria group"
"56715","1","163202__310297","163202","163202__3102971","p__Terrabacteria group"
"56767","-1","163202__310297","310297","163202__310297-1","p__FCB group"
"56953","1","28111__47879","28111","28111__478791","p__FCB group"
"57041","-1","28111__47879","47879","28111__47879-1","p__Proteobacteria"
"57581","1","882211__1463837","882211","882211__14638371","p__Proteobacteria"
"57594","-1","882211__1463837","1463837","882211__1463837-1","p__Terrabacteria group"
"57728","1","29348__34038","29348","29348__340381","p__Terrabacteria group"
"57750","-1","29348__34038","34038","29348__34038-1","p__Proteobacteria"
"58050","1","1515__46228","1515","1515__462281","p__Terrabacteria group"
"58171","-1","1515__46228","46228","1515__46228-1","p__Terrabacteria group"
"58438","-1","301301__1584_39484","1584","301301__1584_39484-1","p__Terrabacteria group"
