"","33039__45851","39492__214856","1735__817_39485","46503__357276","28130__116085_371601","817__39485","584__287_582","454155__729_40520","1358__1304_1363","33043__147802","40519__1680_216816","573__487174","39488__239935_301301","116085__371601","548__360807_626940","310297__154046_552398","54291__158836","29361__28111_40545","410072__28116_751585","287__582","1623__363265","296__624_1070699","823__821_28117","1680__216816","329854__147207_665950","239935__301301","1286__550_1118061","665951__47678_246787","28116__751585","360807__626940","1354__1283_328814","28111__40545","571__546_562","550__1118061","626929__820_39491","47678__246787","329__818_204516","821__28117","28126__218538_338188","674529__46506_166486","546__562","1283__328814","387090__853_40518","39486__1351_165179","820__39491","1582__1078764","1747__501496","218538__338188","154046__552398","1282__29382","328812__626930","1304__1363","818__204516","1351__165179","729__40520","46506__166486","853__40518","43765__48296_72556","1352__1353","46228__47770","1689__33038","624__1070699","147207__665950","48296__72556","40214__40324"
"ERR2238626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95371383778328,0,0,0,0,0,0,0,-1.33036818707599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.593688175170498,0,0,0,0,0,0,0,-1.02829808324815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.69717539449584,0,0,0,0,0,0,0,-6.4036956277603,0,0,0,0,0,2.02258121729917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09070867780363,0,-3.88376893585625,0,0,0,0,0,0,0,-6.72688512176074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25786895034392,0,0,0,0,0,0
"ERR2238648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.71051545052974,0,0,0,0,0,0,0,-6.42680128258683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05554193780127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.49304199441697,0,0,0,0,0,0,0,-2.58602459216417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238676",0,0,0,0,0,0,-2.44179097167932,0,0,0,0,0,0,0,0,0,0,0,0,4.22930602441156,0,0,0,0,0,0,0,0,0,0,0,0,-3.847864354198,0,0,0,0,0,0,0,-6.66469656210414,0,0,-1.62194546783796,0,0,3.73000098158715,0,0,0,0,0,0,2.80929195740142,0,0,0,0,0,0,0,0,0,0,0
"ERR2238687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.92660928042822,0,0,0,0,0,0,0,-6.80108677517314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.26934828356036,0,-3.84719260408629,0,0,0,0,0,0,0,-6.66353305678068,5.66267733476464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93416052597205,0,0,0,0,0,0,0,-6.81416591611549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238712",0,0,0,0,0,0,6.51637979026492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.84750884504874,0,0,0,0,0,0,0,-6.66408080219508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.73727556785445,0,0,0,1.32253324130911,0,0,0,-6.47315116540974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93325088438158,0,0,0,0,0,0,0,-6.81259037066411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.233246962749424,0,0,0,0,0,-3.00701687170643,0.403995590193126,0,0,1.2814905602078,0,0,0,-5.20830600101236,0,0,-3.85461819303627,0,0,0,0,0,0,0,0,0,6.67639455411816,0,0,0,0,0,0,0,0,0,0,0
"ERR2238736",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.06820786776976,0,0,0,2.13959487321066,0,0,0,-5.3142919151598,0,0,0,0,3.27228653865045,3.07877425254007,0,0,0,0,0,0,0,0,0,0,0,6.65062717019026,0,0,0,0,0,0
"ERR2238738",0,0,0,0,0,0,0,0,0,0,0,4.58527651266176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60002824824139,0,0,0,0,0,1.78604638456944,5.3150319661138,0,0,0,0,0,0,-6.61767544002864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
