"","33039__45851","39492__214856","1735__817_39485","46503__357276","28130__116085_371601","817__39485","584__287_582","454155__729_40520","1358__1304_1363","33043__147802","40519__1680_216816","573__487174","39488__239935_301301","116085__371601","548__360807_626940","310297__154046_552398","54291__158836","29361__28111_40545","410072__28116_751585","287__582","1623__363265","296__624_1070699","823__821_28117","1680__216816","329854__147207_665950","239935__301301","1286__550_1118061","665951__47678_246787","28116__751585","360807__626940","1354__1283_328814","28111__40545","571__546_562","550__1118061","626929__820_39491","47678__246787","329__818_204516","821__28117","28126__218538_338188","674529__46506_166486","546__562","1283__328814","387090__853_40518","39486__1351_165179","820__39491","1582__1078764","1747__501496","218538__338188","154046__552398","1282__29382","328812__626930","1304__1363","818__204516","1351__165179","729__40520","46506__166486","853__40518","43765__48296_72556","1352__1353","46228__47770","1689__33038","624__1070699","147207__665950","48296__72556","40214__40324"
"ERR2238745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.91844795306212,0,0,0,5.28237339769097,0,0,0,-6.78695094151786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.34052351764824,0,0,0,4.37162436689542,0,0,0,-4.05390564887659,0,0,0,0,0,5.87726571933895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.92844849461152,0,-2.00754104928658,0,0,0,0,0,0,0,-3.4771630956445,6.80427238758463,0,0,0,0,2.74413083401581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93470208343984,0,-0.742703843512052,0,0,0,0,0,0,0,-1.28640079193956,6.81510392116492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238756",0,0,0,0,0,0,0,0,0,0,0,4.07156870758501,0,0,0,0,4.00831623689967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.13980311141745,0,0,0,2.95919935220205,0,0,0,-2.65941384893327,0,0,-2.17512599739988,0,0,0,0,0,0,0,0,0,3.76742874036051,0,0,0,0,0,0,0,0,0,0,0
"ERR2238757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3439082276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239132",0,0,0,-4.53474769544898,0,0,0,0,0,0,0,-4.48389106137286,-2.49026778268379,0,0,0,0,0,0,0,0,0,5.26192745922354,0,0,4.31327032406022,0,0,0,0,0,0,0,0,-2.96166836058719,0,-2.5590198308492,0,0,0,0,0,-2.79330623599571,0,5.12976007570624,-1.47324309697928,0,0,0,0,0,0,4.43235236460713,0,0,0,4.83814832184355,0,0,0,0,0,0,0,0
"ERR2239172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.34769211211394,0,0,0,0,0,0,0,0,0,-6.1778261522021,0,-4.86938305018325,0,0,-0.0562900917406865,-2.64822831814822,0,-1.06229541471528,0,-2.64800342249141,-3.05487463391971,0.139727460753697,0,0,4.58686599707539,0,0,0,0,0,-5.29119807670231,0,0,4.5864764663714,0,0,0,0,0,0,0,0
"ERR2239212",0,0,0,0,0,0,0,0,0,0,-2.63828537239176,0,-2.3436499729019,0,4.09465690364749,0,0,0,0,0,0,0,1.45198999607932,4.5696443098483,0,4.05932082822351,0,0,0,0,0,0,-3.71533738238368,0,-5.25907123968223,0,-2.12107593226876,4.66786360302095,0,0,-6.4351531135485,0,0,0,-0.0441754291165207,0,0,0,0,0,0,0,3.67381128140101,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239217",0,5.7568159531884,0,-6.37013656726307,0,0,0,0,0,0,0,0,-1.69137588524883,0,0,0,0,0,0,0,0,0,0,0,0,2.92954896794776,0,0,0,0,0,0,0,0,-3.18450516936215,0,0,0,0,0,0,0,0,0,5.51572475030098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239218",4.71966129214257,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.01447055532259,0,0,0,0,0,0,0,-5.11544339375088,0,0,0,0,0,0,5.22121615973909,0,0,0,0,-2.79903232901428,0,0,0.597965998933303,-2.60326590267318,-2.61567816636628,0,0,-6.22612538682804,0,4.84806620588058,0,0,-4.50898880904161,0,0,0,0,0,0,0,4.53048748039499,1.17450715792869,0,0,0,0,0,0,0,0
"ERR2239222",0,5.42128381928632,0,0,0,0,0,0,0,0,0,4.25578815204485,0,0,-2.21840334501118,0,0,0,0,0,0,0,-2.32640470594656,0,0,0,-2.33110842642227,-2.46525260229262,0,3.84238730524011,-2.36251631314914,0,-3.51959405379104,-4.03759823251531,-2.45725154058806,-4.26994276066221,0,-4.02945114966678,0,0,-6.09611572318339,-4.09199828808461,0,0,4.25608451527542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239227",-4.30673513550115,4.94554229095758,-2.47527881156565,0,0,-4.28730866453042,0,0,0,0,0,0,0,0,0,0,0,0,-3.25727136007937,0,0,0,-5.5074299076893,0,0,0,0,0,5.64175948969646,0,0,0,0,0,-5.94113404947473,0,0,0.0551512195676018,0,0,0,0,-3.27362372555764,0,-0.52079495076395,0,0,0,0,0,0,0,0,0,0,0,5.67008261752875,0,0,0,0,0,0,0,0
"ERR2239230",0,0,0,4.12520540943006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.00873882732038,0,0,0,-5.2321594647868,0,0,0,0,0,-5.2112885156241,0,-3.04280058975918,0,0,0,-5.83964221147797,0,-2.69479517312701,0.176017661202605,0,0,0,5.27028521876344,-3.41181951052505,0,-0.464714405758655,0,0,0,0,0,0,0,4.66752215584735,0,0,0,5.90944473848417,0,0,0,0,0,0,0,0
"ERR2239231",0,0,5.19620199600918,-4.87422572897706,0,0,0,0,0,0,-2.34145514414961,0,0,0,0,0,0,0,0,0,0,0,4.76906578076844,-4.05551927331063,0,0,0,0,0,0,-2.34824599563255,0,0,0,-2.93605538376872,0,0,0,0,0,0,4.06728137310574,-6.10000308745459,0,5.08539709852356,0,0,0,0,0,0,0,0,0,0,0,1.28922928323896,0,0,0,0,0,0,0,0
"ERR2239235",0,0,0,0,0,0,0,0,0,0,0,-4.4574817050176,0,0,-2.34709533004087,0,0,0,0,0,0,0,-5.2810900376154,0,0,0,0,0,0,4.06528836183844,0,0,0,0,-2.53393276093215,0,0,-0.789172626543337,0,0,0,0,-2.87627479712033,-3.60123206309599,4.38890028489777,0,0,0,0,0,0,0,0,-6.23751690312835,0,0,4.98185408514228,0,0,0,0,0,0,0,0
"ERR2239236",0,0,0,0,0,0,0,0,0,0,0,0,-3.00583652431949,0,-2.52611004014176,0,0,0,-2.48602948845227,0,0,0,-6.41256378960512,0,0,5.2062615793676,0,-2.64254125817488,4.30592938311379,4.37535093503538,0,0,0,0,-3.18782650192016,4.57701572025588,-2.69909593740837,0.729348494890466,0,0,0,0,-2.46793524929752,0,5.52147746704028,0,0,0,0,0,0,0,4.67497129809404,0,0,0,4.27458924157346,0,0,0,0,0,0,0,0
"ERR2239237",0,0,0,4.92637991162501,-2.63579264915288,0,0,0,0,0,0,0,0,-4.56532678654936,0,0,0,0,-2.86697731309265,0,0,0,-3.51417229861079,0,0,0,0,0,4.96575037042378,0,0,0,0,0,-5.12388676950498,0,0,6.08672496774499,-2.57724615985824,-2.6235683435165,0,0,0,0,0.216439880655467,0,0,4.46392129248625,0,0,0,0,0,0,0,-4.5441536680999,0,0,0,0,0,0,0,0,0
"ERR2239245",0,0,0,4.37581788087357,0,0,0,0,0,0,0,0,0,0,-5.58700985407311,0,0,0,0,0,0,0,-2.70439707132411,0,0,0,0,0,0,-0.359088111320375,0,0,0,0,0,0,0,4.68415313137384,0,0,0,0,-3.17494785467417,-5.44758706079037,0,0,0,0,0,0,0,0,0,-0.678547252484288,0,0,5.49917099567747,0,0,0,0,0,0,0,0
"ERR2239246",0,0,-2.43581901942352,0,0,-4.21896229968415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84878273440231,-2.27951202021166,0,0,0,-2.86169845342438,0,0,0,0,0,-2.42302110095831,4.9566071172723,-5.29781236766087,0,0,3.94823063547057,0,0,4.19679565467128,0,-2.83901087653039,-2.53415422406371,-1.53029553592009,0,0,0,0,0,0,0,0,-4.38928387029364,0,0,4.91731108139129,0,0,0,0,0,0,0,0
"ERR2239247",0,4.31939983998134,0,-5.26147445741574,0,0,0,0,0,0,0,-3.898231649606,0,0,0,0,0,0,-2.63278909934851,0,0,0,2.03191343478432,0,0,0,-2.60746336834217,0,4.56012448568513,0,-2.31229281164546,0,0,-4.51625903284333,-3.02769709460032,0,0,-4.77015332769653,0,0,0,-4.00500863174623,0,0,5.24412519777643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239251",0,0,0,0,0,0,0,0,0,0,0,-3.81219803365874,-1.94582183391733,0,6.05790455661685,0,0,0,0,0,0,0,-2.89359100512598,0,0,3.37026227882166,0,0,0,0,0,0,-3.75239885815233,0,0,0,0,-5.01184663720249,-2.65431959234985,0,-6.49934547258327,0,-2.52445971087455,0,0,0,0,4.59741639347546,0,0,0,0,0,0,0,0,4.37249248089535,0,0,0,0,0,0,0,0
"ERR2239270",-5.36164769872724,0,0,0,0,0,0,0,0,0,-2.23181573650621,0,-2.16820020856239,0,0,0,0,0,0,0,0,5.59664304760032,0,-3.86561824876051,0,3.75543292221149,0,0,0,0,0,0,-3.40503182440953,0,-2.7092876807408,0,0,0,-2.28851011935253,0,-5.89768812126625,0,-4.35291608602226,0,4.69262391536352,0,0,3.9638158003541,0,0,0,0,0,0,0,0,0.208730234199191,0,0,0,0,0,0,0,0
"ERR2239271",-4.21003147539057,0,0,-4.54985512676229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.268144427521,0,0,0,0,0,0,0,0,0,-5.93592584070781,0,-5.56651684684611,0,0,3.92854138737059,0,0,-1.66820954418702,0,-2.85845678664145,-2.83364196191635,1.01469073379231,0,0,0,0,0,0,0,0,-4.90801184849827,0,0,4.95099238570306,0,0,0,0,0,0,0,0
"ERR2239273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.50313324061539,0,0,0,-3.23457866802273,0,5.3378277173965,0,0,0,4.33555395086039,0,0,0,-2.43399918747785,0,-6.06470985553802,0,-2.3997649217676,5.60245459409384,-2.83489272135846,0,-4.215810258293,0,-2.50697408733934,0,1.69116716726211,0,0,4.91017822740005,0,0,0,0,4.15651477072303,0,0,0,4.34220649253035,0,0,0,0,0,0,0,0
"ERR2239275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43279537485575,0,0,0,0,0,5.77662010046243,-2.42927641804172,0,0,0,0,0,0,0,0,0,-3.35269560554983,0,-6.26463864634667,0,0,-4.20763018167718,0,0,-5.80703913112521,0,-2.57836370059589,0,0.331993745926848,0,0,0,0,0,0,0,0,0,0,0,4.4658569298234,0,0,4.17104713432094,0,0,0,0,0
"ERR2239288",0,0,0,-5.66342931691098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.73974474606333,0,0,0,-3.25013926560766,0,0,0,0,0,4.74537709995158,0,0,0,0,0,-5.7308560019373,0,0,5.62940633970706,0,-2.45420062980752,0,0,-5.38515021611655,0,0.561540862754208,0,0,0,0,0,0,0,0,0,0,4.25080018279417,0.620973991571639,0,0,4.38915676218649,0,0,0,0,0
"ERR2239291",0,3.8330126507353,0,0,0,0,0,0,0,0,0,5.0942812422202,0,0,0,0,0,-2.57533368707933,-2.001010677825,0,0,0,-2.28876174471729,0,0,0,0,0,3.46585216048073,0,0,4.46060879246509,-3.68599781422693,0,0,0,0,-3.96425162827034,0,0,-6.38433549082887,0,-4.91356200457234,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.159035953510444,0,0,0,0,0,0,0,0
"ERR2239293",0,0,-2.30995511396276,0,0,-4.00095962058706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.72520763392786,0,0,0,0,-2.10415848065385,0,0,0,0,-3.74624577195709,0,-1.86584842208456,3.6445093956694,-1.20279125528519,4.72019808313762,0,0,-6.48868801466977,0,-2.15002579170067,0,-3.23174426627267,0,-2.23126439476463,0,0,0,0,0,2.08329556505349,0,0,0,3.72395390880906,3.32086697252505,0,0,0,0,0,0,0
"ERR2239294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.17043273499822,0,0,0,0,0,0,0,-2.81150612828158,0,3.75929977142759,0,-2.72734132413035,0,0,-4.86967145997495,-4.87001650380404,0,0,0,2.20290825346079,0,0,-4.72389374297595,-2.87056428256705,0,0.387522188492835,0,0,5.9071894246167,0,0,0,0,0,0,0,0,4.97196318379863,0,0,0,0,0,0,0,0
"ERR2239295",0,0,0,-3.71231440095046,0,0,0,0,0,0,0,4.00514068522882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.65180990096786,-2.07612592624052,0,0,0,0,-5.42978724991039,4.59306948049053,0,-3.59595558715957,0,0,0,0,0.650322813257371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.85187354353932,0,0,0,0,0,0.929758118688579,-6.04730420701295
"ERR2239303",0,0,0,-5.5802250215263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.98394377602578,0,0,0,0,0,0,-1.07619014706416,5.16834222700558,-5.704411348282,0,0,-2.71745043907171,0,0,-2.60006070924509,0,0.18392208240582,0,0,0,0,0,0,0,-0.171108010144579,0,0,-4.70676222752256,4.50343725117606,0,0,0,0,0,0,0,0
"ERR2239312",0,4.45374686150725,-2.31244963502915,0,0,-4.00528025781459,0,0,0,0,0,0,-2.65286125055445,0,0,0,0,0,0,0,0,0,-5.10608835729467,0,0,4.59489047139102,0,0,0,0,0,0,-3.19238319190203,0,0,0,0,-0.320904064958815,-2.76267297963035,-2.31705548985142,-5.52936988560322,0,0,-3.4939867792807,0,0,0,4.78508996541747,0,0,0,0,0,-6.05176262268812,0,4.01325783237905,0,0,0,0,0,0,0,0,0
"ERR2239317",0,0,-2.0664152863564,0,0,-3.57913626550627,0,-1.36619347052655,0,0,-1.80702188137818,0,-0.591189510405925,0,0,0,0,0,0,0,0,0,-1.2466417220079,3.12985370893571,0,5.09652141839882,0,0,0,0,0,0,-3.79851465566207,0,-1.71279887526645,0,0,2.15924680135284,0,0,-6.5792203769017,0,-2.63491288103096,0,-2.96665467510832,0,0,0,0,0,0,0,0,0,-2.36631650392084,0,4.56380298346332,0,0,0,0,0,0,0,0
"ERR2239318",-5.32032181012332,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.11864699369046,0,0,0,0,0,-4.16253756354816,0,0,0,0,0,0,0,0,-5.40165504394381,0,0,0,0,-3.05537960987719,0,0,0,0,0,0,0,-3.14324058241502,-3.09174415122083,-5.29207272071726,0,0,0,0,0,0,0,0,-5.3550579539184,0,0,5.44425238915521,0,0,0,0,0,0,0,0
"ERR2239320",0,0,0,-4.46430766163692,0,0,0,0,0,0,0,-4.22055810413982,0,0,0,0,0,0,-2.41627517330217,0,0,0,-5.66719502528105,0,0,0,0,0,4.18511136522665,0,0,0,0,0,-2.82681638765208,0,0,-1.46297431691547,0,-2.80556976250127,0,0,-5.72799645793929,0,-4.89618960708171,0,0,0,0,0,0,0,0,0,0,4.85938937283116,0.735429647476565,0,0,0,0,0,0,0,0
"ERR2239330",0,0,0,4.45225900977611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.93359315085647,0,0,0,0,0,0,0,0,0,0,0,-5.75610545667392,0,0,0.67152828780899,-2.84608765224031,0,0,0,-5.38393254369234,0,-0.104914407240218,0,0,4.92956841647465,0,0,0,0,0,0,0,0,0.134091436051946,0,0,0,0,0,0,0,0
"ERR2239331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.00317176173576,0,0,0,0,0,0,0,-4.39773357892594,0,0,0,0,0,0,3.4695952676136,0,0,2.9236732832387,0,-1.77902300211191,0,0,0.107209906361549,0,-1.78272236468498,-6.0351205194457,0,-2.30382037466975,-3.13833932248797,3.08135822749155,0,0,0,0,0,0,0,0,-5.43576315794046,0,3.08776571142373,3.99033394044037,0,0,0,0,0,0,0,0
"ERR2239339",0,0,0,0,-2.46092214911299,0,0,-2.07699525007665,-2.10984607226482,0,0,-3.97745030848205,0,-4.26244219573529,0,0,0,0,0,0,0,0,-2.52266063268488,0,0,0,0,-2.32709650090003,0,0,0,0,0,0,-2.8912759689812,4.0306493736746,0,4.36937638606407,0,0,0,0,-2.51703300258356,-3.75154858971114,-5.00783687697838,0,0,0,0,0,0,3.6543605933123,0,-6.49787276444306,3.59746130021199,0,4.35962904480238,0,0,0,0,0,0,0,0
"ERR2239340",4.27425670318472,4.81871782492403,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62696592422931,0,0,0,0,0,0,-2.43921907097636,0,0,0,0,-3.48049033634013,0,0,0,0,-3.17437606903748,0,-2.6727663280624,6.0283860977936,0,4.22485136172202,0,0,-5.49818063390369,0,-2.67336590557013,-2.5028396512459,4.62936707696338,0,0,0,4.5500384505173,0,0,0,0,-4.33504543915587,0,0,4.63040557566985,0,0,0,0,0,0,0,0
"ERR2239352",0,0,0,0,0,0,0,0,0,0,-2.64994301580813,4.65258358738627,4.66583702340744,0,0,0,0,4.94228509752173,0,0,0,0,0,-4.58983594054199,0,0,0,0,0,0,0,0,-1.39014777521486,0,0,0,0,0,0,0,-0.865089282871214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.20839334399756,0,0,0,0
"ERR2239358",-4.04808510206044,0,0,-5.38341846612176,0,0,0,0,0,0,0,-4.55015191283791,0,0,0,0,0,0,0,0,0,0,-5.55096860539811,0,0,0,-2.35259352598018,0,0,0,0,0,-3.45580412248557,-4.07481151655528,0,0,-2.71641226011956,-0.963361697077625,0,0,-5.98562832115099,0,-3.09129516284703,0,0,0,0,0,0,0,0,0,-4.70496404883009,0,0,0,5.35428028324296,0,0,0,0,0,0,0,0
"ERR2239373",0,0,0,-1.55836449819603,0,0,0,0,0,0,0,0,-2.75478913212624,0,0,0,0,0,0,0,0,0,-2.55526475243269,0,0,4.77143474098122,0,-3.29348353773847,0,0,0,0,0,0,-3.04898442742963,-5.70448082125472,-2.82769942989928,-4.42584837800332,0,0,0,0,-5.30677721470328,0,5.28099593979443,0,0,0,0,0,0,0,-4.8977190811191,0,0,0,-1.06932968531799,0,0,0,0,0,0,0,0
"ERR2239383",6.22931892541458,0,-3.12415158431577,-5.38976397055021,0,5.41118927458172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.86964111708664,0,0,0,0,0,-2.31778938156142,0,-6.70241502185165,0,0,0,0,0,0,4.01452897010803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239388",0,0,0,0,0,0,0,0,0,0,-1.57321170488754,0,0,0,0,0,0,0,0,0,0,0,-1.54150315144102,2.72488260392728,4.38978593804082,0,0,0,0,0,0,0,-3.86946872702567,0,0,0,0,-2.66996177832338,0,0,-6.70211643350733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239390",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.37795531982653,0,0,0,0,-3.15156837624357,0,-2.46280534067672,-4.11873943206825,0,0,0,0,-5.45867655118121,0,0,0,4.26570397920405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239395",0,0,0,0,0,0,0,0,0,0,0,4.11702867137728,0,0,0,0,0,0,0,0,0,0,0,0,-0.706078991955185,0,0,0,0,0,0,0,-3.85334421176189,0,0,0,0,0,0,0,-6.67418795382303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.662928528167666,0,1.2229646882234,0,0
"ERR2239396",0,0,0,-4.09791581221714,0,0,0,0,0,0,0,-4.18061621297201,0,0,0,0,0,0,0,0,0,0,-2.40305035812834,0,0,0,-2.30658016007089,-2.07520802451099,0,0,0,0,-3.78592252395273,-3.99511402897313,-2.37058260895767,-3.59436573472768,0,-4.16220531342487,0,-2.53962465191914,-6.55741016500553,0,0,0,4.10596952225387,0,0,0,0,0,0,0,0,0,0,4.39875892927838,0,0,0,0,0,0,0,0,0
"ERR2239402",0,6.71317347464945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.65769748943349,0,0,0,0,0,0,0,0,0,0,-4.60326708284706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
