,D001289,D006262,accuracy,macro avg,weighted avg
precision,0.86,0.98,0.93,0.92,0.93
recall,0.97,0.9,0.93,0.94,0.93
f1-score,0.91,0.94,0.93,0.93,0.93
support,118.0,187.0,0.93,305.0,305.0
