"","28118__47678","39491__329854","1681__562_751585","626929__820_29361","562__751585","1624__818_291644","820__29361","338188__817_357276","665951__1343_658089","487173__28116_46503","156456__905_1584","29348__292800","1547__457421","905__1584","626933__649756","1686__376805","52226__39496_487174","411489__28117_246787","1318__1304_301301","40519__46228","1343__658089","105841__39490_371601","818__291644","469610__33038_658082","658085__1351_469592","84112__28026_158847","28116__46503","658086__328812_387661","817__357276","823__437897","214856__573_29466","39490__371601","546__908612","1304__301301","39496__487174","564__736_1352","584__1604_147207","71452__102684_626932","1579__100886_469593","35833__36834_45851","1351__469592","1308__491921","28117__246787","1328__1623_39485","328812__387661","33038__658082","1226323__46506_328813","674529__1735_28111","1596__469588_665956","573__29466","1598__1685_328814","358743__548_40520","28026__158847","736__1352","1604__147207","102684__626932","1211813__410072_658081","1623__39485","742723__39492_204516","46506__328813","36834__45851","100886__469593","571__33039_165179","2173__28126","1099853__216816_387090","1735__28111","548__40520","1203555__853_74426","454154__40545_208479","469588__665956","1685__328814","410072__658081","469596__729_88431","100884__1680_310298","39492__204516","33039__165179","1605__239935_310297","39486__360807_457412","216816__387090","853__74426","457394__821_40518","40545__208479","582__166486_218538","261299__39488_363265","239935__310297","360807__457412","729__88431","1680__310298","821__40518","166486__218538","39488__363265"
"ERR260139",0,5.87401544824369,-2.38774269386406,0,-4.13569166117394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.32043426932183,0,0,0,0,-2.35419722400891,0,0,0,0,0,0,0,0,0,-4.01911005008937,0,0,0,0,4.07758920302103,-2.64961019202095,-2.57355148885362,0,0,0,-2.82680038198415,0,0,-3.28479108088516,0,0,-2.47812257513857,0,-4.89616188445166,-4.58925947283262,4.45752193458899,-5.68942504434219,0,4.29223420752342
"ERR260140",0,4.98062864346277,0,-3.16128778428459,0,0,5.47551105972775,-2.87595851261022,0,0,0,0,0,0,0,0,-2.51699439954731,0,0,0,0,0,0,0,0,0,0,0,-4.98130626430111,0,0,0,0,0,-4.35956218238226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.60300341754646,0,0,0,0,0,0,0,0,0,0,0,0,4.50853417146589,0,-3.04782213052547,0,0,-3.0685030731021,0,-2.63749271522578,-2.74948335063543,0,-5.27898278250294,0,0,-5.31480322579407,-4.56827138736385,4.76224485786529
"ERR260144",0,5.854274979061,-2.58580428140794,0,-4.47874439382768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.50062911453486,0,0,0,-2.53460221197773,0,0,0,0,0,0,0,0,0,-4.33121667726035,0,0,0,0,0,0,0,4.39005980812189,0,-2.6792842475761,0,0,0,0,-2.72393871392823,0,0,0,0,0,0,4.64065644472076,-2.76218570433608,0,-2.76989854442863,5.56758812815454,0,0,-4.71800024922752,0,-4.78424597985051,-4.79760501076147,0
"ERR260149",0,4.93937649067865,-3.47236281267218,0,-6.014308813861,0,0,0,0,0,0,0,0,0,0,0,0,-5.0614106563194,2.18338847739874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38044257748078,0,0,0,0,0,0,0,0,-0.458879762743955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.59439837074404,0,0,0,0,0,0,0,0,0,-2.35669026730399,0,4.4936297932026,-2.87931993307512,0,0,0,0,-4.0819072806736,0,0,-4.98712841533193,0,0
"ERR260151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.24833241682185,0,0,0,-2.31127810925857,0,0,0,0,0,0,0,0,0,0,0,0,-2.30492630282833,-4.00325111565757,-2.38542183623411,0,-5.62627678580846,0,-2.93195847462931,4.45498453767603,0,0,0,-2.42128480397006,0,0,0,3.99224946420056,-2.27894098866061,0,4.13167181784172,-5.07830104374011,0,0,0,4.1937883000706,-3.25856644894378,0,0,0,0,0,-3.94724157981142,0,-5.64400264940993,0,0
"ERR260152",0,5.37193584549421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.79742736445719,0,0,0,-2.79264103463743,0,0,0,0,0,0,0,0,0,0,0,4.17702211243592,0,4.84528632572335,-4.83699615929374,-2.86470348980521,0,0,0,0,-2.98770763481964,0,0,0,0,-2.62182239228472,0,4.96181199296249,-3.1962217480968,0,0,-2.57118398395228,0,-4.54112959185892,-5.17486142166905,0,-5.53601845996027,0,4.45342129581272
"ERR260155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.088274162609305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.61275411214761,0,0,0,0,-2.55946910005065,0,0,0,0,0,-2.79681883672715,0,0,0,-4.52542286992418,-2.87913901397442,0,0,0,4.43313052169032,0,0,0,4.84423232477711,0,0,0,4.98681505425745,-2.91330757530739,0,-3.07067414938614,-2.95869749459919,0,0,0,0,-5.04599673850769,-5.31856364022514,5.12461438487254
"ERR260159",0,5.30828003778766,0,-3.12605823853546,0,0,5.41449169656269,-2.73029086671849,0,-2.70878449635366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69175237443942,0,-4.72900250059769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.63573768648495,0,0,0,0,-2.62144458312975,0,0,0,0,0,0,4.56523158841598,-2.93203295332594,0,-3.08825506592607,-2.61678007053517,0,0,-4.54047520720693,0,-5.07843004462675,-5.34901468091593,4.53239603440059
"ERR260161",0,5.41068245855126,0,0,0,0,0,0,-2.65988971808675,0,0,0,0,0,0,0,0,0,0,0,-4.60706413425631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39849544662668,0,0,0,0,0,0,0,0,0,-2.53283802839171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.38700415251703,0,0,0,0,0,-2.59549172960432,0,0,0,0,-2.88968738814116,0,0,-2.95771515614875,0,-2.88939337657159,-2.59464498645514,0,-5.00508537425149,-4.49552354629951,0,-5.12291292476616,5.00457613127499,4.49405694414416
"ERR260162",0,5.51059295413798,-2.8242597088728,0,-4.89176130953737,0,0,0,-2.43829458135146,0,0,0,0,0,0,0,0,0,-3.02573769601996,4.29197022896673,4.22325009872061,0,0,0,0,0,0,0,0,0,0,0,0,5.24073141988297,0,0,0,0,0,0,0,0,0,-2.48941377220341,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.31179113451801,-2.49183320981983,0,0,0,0,0,0,0,0,-2.59076815744768,0,0,0,0,0,0,4.31598172339539,0,0,-2.50437089437847,0,4.48734207933098,0,0,0,0,0,-4.33769763006022,0,0,0,0,0
