"","84032__166486","840__1303_28037","261299__310297","36874__39778_246787","83617__823_46506","1582__1590","253239__1630_169435","1265__47678_328813","39778__246787","79880__290588","1379__33964","1307__33038_69825","1428__38304","823__46506","33034__1535_1680","2088__28135_626937","157687__228604","38286__441500","1681__103892","100884__376806_671267","47678__328813","39484__101564","587753__529_47880","29360__33035_39483","1630__169435","104663__839_165179","47879__905_59310","1229909__487175_589436","254__1408","82135__901_1510","310300__47877_310514","202611__33935_171399","28446__425941","13690__52787","33038__69825","305719__1280_626930","1535__1680","41276__36847_999468","28135__626937","143393__39496_410072","41976__33043_78342","76517__39490_386414","633701__1465754","1401__488_1506","1303__28037","67269__28126_37734","28454__147802","153721__36848_1611423","729__29466","358742__35833_40518","487175__589436","78346__1735_40519","421767__850_437898","79883__28901_44749","239974__454155_626931","1685__28026_216816","905__59310","452084__1584_80866","77095__28129_574375","199__1532_470565","1613__39492_536633","511__196024_370979","1311__38986","876__535744","32013__293_216778","1280__626930","36847__999468","1559__36745","34038__328814_1646377","33032__184870_1827099","108980__1661032","562__1755629","40214__820_218538","28091__376805","39490__386414","1522__28137","901__1510","47877__310514","33043__78342","839__165179","658457__29375_328812","83263__43770_76759","35833__40518","1746653__907_1512","39496__410072","115979__856_384638","60133__1308_28132","1113741__582_1515","33035__39483","1735__40519","529__47880","28901__44749","470__137732_626933","36848__1611423","39492__536633","1571__2173_70775","29461__28125_301301","138595__1623_106648","1580__189722_387090","850__437898","454155__626931","28026__216816","1144673__28090_588932","53408__405446","28038__46503_291644","328814__1646377","29370__309120_349096","1504__818_239935","483012__1254_1597","820__218538","1487956__585_216947","1532__470565","28126__37734","860__288965","907__1512","488__1506","316__43263","28129__574375","2139__52226_1034636","293__216778","1725__1264_191493","1584__80866","582__1515","29375__328812","53412__287_28111","43770__76759","45067__173480","471__106654_516075","46503__291644","184870__1827099","47770__185293","28108__357276_1463837","1267__84030_216935","376806__671267","28025__39485_187327","1308__28132","33935__171399","28125__301301","1418__487316","40681__479117","40215__341225","45254__39497_329854","1717__137591_291645","163877__1121830","52133__294_1358","189722__387090","356829__273164_762210","273164__762210","745310__39960_251535","263475__1148157","1691__39482","1472__1844653","1661050__821_28116","128780__237258","490189__584_310298","1902__97478","39960__251535","1623__106648","245__191295","153151__158849","133926__28128_43131","197614__29552_208479","574930__588_626932","185294__589437","137732__626933","101070__1223514","818__239935","856__384638","416016__45851_214856","196024__370979","1264__191493","309120__349096","301__136857","105229__317_228603","585__216947","287__28111","2173__70775","28090__588932","106654__516075","39485__187327","84030__216935","1670__284042","36835__40520_1755626","40216__271420","1254__1597","52226__1034636","584__310298","171685__1463864","39497__329854","357276__1463837","879__871325","243924__1113609","47884__33069_397865","294__1358","1561__122355_204516","137591__291645","29552__208479","588__626932","2741__47715","45851__214856","28128__43131","102862__183417","317__228603","821__28116","46228__28117_29348","392333__351091_882211","33069__397865","57706__817_1161942","40520__1755626","122355__204516","28117__29348","351091__882211","817__1161942"
"ERR1072672",0,0,0,-1.86622419901347,-2.24457389074674,0,0,0,-3.23239513100586,0,0,0,0,-3.88771602011592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.53774844875445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.13514871943208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3955092500718,0,0,0,0,0,0,0,0,4.01503181377679,0,0,0,-3.69818606377199,0,0,0,0,0,0,0,0,0,0,0,-1.69761208916033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.94035038996883,0,0,-2.28171251653017,0,0,0,0,0,0,0,0,0,-1.60418799257479,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77853510803146,-1.76971884118096,-3.9520420068961,0,0,0,3.06524294803733
"ERR1072724",0,0,0,0,-2.53027913043347,0,0,0,0,0,0,0,0,-4.38257201124196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.36315061012418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.92413925871462,0,4.09309692267247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0604891255107,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33270695693164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.15460756349488,0,0,0,0,0,0,0,0,1.51647752979725,-2.15938379335448,0,0,0,0,-3.73188977034531,3.74016244313078,0,0
"ERR1072851",0,0,0,0,0,0,0,-2.75285041095789,0,0,0,0,0,0,0,0,0,0,0,0,-4.76807677741592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.14978684923393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46243107095188,0,5.45559085588546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.264723084305,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26505572502491,0,-2.45349792517278,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.86152611908507,0,0,0,0,0,0,0,0,0,-2.41961463392218,0,0,0,0,0,0,-4.24958306266408,0,0,0,5.65466625465922,-3.1755402119157,-2.21335373536064,-4.19089548069038,0,-4.95630862544073,0,5.50019698851604,3.83364112476699,0
"ERR1072966",0,0,0,0,-2.15052327496325,0,0,0,0,0,0,0,0,3.72481557509576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5718050473212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.02098667555612,0,0,-4.45910883382525,0,4.4544970091224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.50045160348292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62749027822556,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.235199401012197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.98310880881427,0,0,0,0,0,0,0,0,0,0,0,-2.04360300740797,0,0,0,0,0,0,0,0,-4.55094665827996,0,-2.06270675276271,0,0,-3.43484521380372,3.53962423933115,0,-3.57271289690043,0
"ERR1073081",-3.27617410909407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.06855736091617,0,0,0,0,0,0,0,-2.07755077072077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18211965748091,0,0,0,0,3.59842349019225,0,0,0,0,0,0,0,0,0,-2.8228780193174,0,0,-3.58284644747739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.77954211495173,0,0,0,0,0,0,0,0,0,0,0,0,4.88936815302713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.28395294979665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.64048530417264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95592255114461,0,0,0,0,0,0,0,0,0,-3.3082623273907,0.0603448032886756,0,0,0,5.73007843580675
"ERR1073129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46808247523428,0,0,0,0,0,0,0,0,0,0,0,-2.59680524286487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27484424437614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4977986180032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.30085391473095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.63007690383548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98519588110775,0,0,-3.01584716599258,0,0,0,0,0,0,0,0,0,0,0,-2.67424695715802,0,0,0,0,0,0,0,0,1.04295100786863,-2.51092556131565,-2.71906279883259,0,0,-5.22360051936175,4.63193160178415,4.34905064622211,-4.70955491654848,0
"ERR1073205",0,0,0,0,-2.84229725933552,4.35689224682398,0,0,0,0,0,0,0,4.92300326338289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48684084716704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30733469763094,0,0,0,0,0,0,-2.78296153513377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.58010365662754,0,4.82023077436157,5.09811344268767,0,0,0,0,0,0,0,0,0,3.53214922414415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46887062207314,0,0,0,-4.94299892301355,0,0,0,0,0,0,0,0,0,0,0,-3.13605124662777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.43180009429901,0,0,0,0
"ERR1073206",0,0,0,0,0,3.12006010082767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29663440786477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.18016546639114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.97788748083264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.82821021201465,0,0,-1.83919564470926,0,0,0,0,0,0,0,-4.50856059652803,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.98662164156087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99374088688643,0,0,0,0,0,-3.16655297412565,0,0,0,0,-3.18558030169583,0,0,0,0,0,0,0,0,0,-0.0712791224735072,0,0,0,0,-3.45326051321473,0,0,0,0
"ERR1073318",0,0,0,0,-4.15878653918012,0,0,0,0,0,0,-1.81661010485688,0,1.05650612801244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.14646099915515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.37287950161448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.01613240987966,0,0,0,0,0,0,-4.10994785703499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.85152396511045,0,0,0,0,0,0,0,0,-1.76000762136129,0,0,0,0,-2.54147273572343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0484226219062,0,0,0,0,0,0,-3.20693357900268,0,0,0,-2.30169976113144,0,0,0,0,3.98666093004881
"ERR1073394",0,0,0,0,-2.19123323681541,0,0,-2.3925370068266,0,0,0,0,0,3.7953272973979,0,0,0,0,0,0,4.14399565481243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.36486078220543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.87280601635862,0,5.82810983517576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.35418023902898,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97584598062269,0,-2.28915404903451,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.95608439016742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.96493111927979,0,0,0,0.49454888438546,-2.61798670543713,0,0,0,-5.12008835523124,0,4.53448598735697,0,0
