"","Part","BalanceID","Component","Group","d.group"
"38","-1","908612__2173_88431","2173","908612__2173_88431-1","p__Euryarchaeota"
"80","-1","908612__2173_88431","88431","908612__2173_88431-1","p__Terrabacteria group"
"158","1","908612__2173_88431","908612","908612__2173_884311","p__FCB group"
"175","-1","204516__821_853","821","204516__821_853-1","p__FCB group"
"179","-1","204516__821_853","853","204516__821_853-1","p__Terrabacteria group"
"257","1","204516__821_853","204516","204516__821_8531","p__FCB group"
"366","1","2173__88431","2173","2173__884311","p__Euryarchaeota"
"408","-1","2173__88431","88431","2173__88431-1","p__Terrabacteria group"
"548","-1","301301__33039_674529","33039","301301__33039_674529-1","p__Terrabacteria group"
"598","1","301301__33039_674529","301301","301301__33039_6745291","p__Terrabacteria group"
"648","-1","301301__33039_674529","674529","301301__33039_674529-1","p__FCB group"
"660","-1","1531__562_33038","562","1531__562_33038-1","p__Proteobacteria"
"684","1","1531__562_33038","1531","1531__562_330381","p__Terrabacteria group"
"711","-1","1531__562_33038","33038","1531__562_33038-1","p__Terrabacteria group"
"914","1","208479__333367","208479","208479__3333671","p__Terrabacteria group"
"934","-1","208479__333367","333367","208479__333367-1","p__Terrabacteria group"
"1067","-1","649756__100886_487174","100886","649756__100886_487174-1","p__Terrabacteria group"
"1121","-1","649756__100886_487174","487174","649756__100886_487174-1","p__FCB group"
"1130","1","649756__100886_487174","649756","649756__100886_4871741","p__Terrabacteria group"
"1159","1","821__853","821","821__8531","p__FCB group"
"1163","-1","821__853","853","821__853-1","p__Terrabacteria group"
"1368","1","33039__674529","33039","33039__6745291","p__Terrabacteria group"
"1468","-1","33039__674529","674529","33039__674529-1","p__FCB group"
"1564","-1","457402__165179_218538","165179","457402__165179_218538-1","p__FCB group"
"1573","-1","457402__165179_218538","218538","457402__165179_218538-1","p__Terrabacteria group"
"1607","1","457402__165179_218538","457402","457402__165179_2185381","p__Terrabacteria group"
"1657","-1","457415__901_197614","901","457415__901_197614-1","p__Proteobacteria"
"1732","-1","457415__901_197614","197614","457415__901_197614-1","p__Terrabacteria group"
