,D006262,D015179,accuracy,macro avg,weighted avg
precision,0.75,0.77,0.76,0.76,0.76
recall,0.79,0.73,0.76,0.76,0.76
f1-score,0.77,0.75,0.76,0.76,0.76
support,627.0,627.0,0.76,1254.0,1254.0
