"","908612__2173_88431","204516__821_853","2173__88431","301301__33039_674529","1531__562_33038","208479__333367","649756__100886_487174","821__853","33039__674529","457402__165179_218538","457415__901_197614","328812__1352_487173","562__33038","100886__487174","329854__46228_457412","1211813__100884_626930","322095__818_28116","384638__310297_376804","415425__546_626933","665943__52226_1118060","84030__39490_371601","165179__218538","147207__28111_411489","571__1161942","550__363265","290053__28123_40545","1352__487173","1318__39496","188913__1680_357276","1496__1351_154046","901__197614","469590__665956","46228__457412","563193__1735_246787","100884__626930","573__39492_74426","310297__376804","1689__665950","818__28116","158847__328813_410072","351091__28133_658089","28132__1623_28131","28111__411489","52226__1118060","546__626933","39490__371601","28123__40545","1264__817_310298","1680__357276","1351__154046","457394__39491_360807","905__387090","446660__33043_40520","261299__849_28025","729__1304_47678","253239__45851_239935","39492__74426","1624__1686_291644","1681__341694","1735__246787","454155__46506_166486","328813__410072","1683__328814_751585","28133__658089","907__29466_39488","1623__28131","817__310298","626929__820_40518","97478__28026_28118","626932__1308_39483","45851__239935","1304__47678","849__28025","39491__360807","33043__40520","1118061__28117_216816","1686__291644","46506__166486","29466__39488","328814__751585","820__40518","28026__28118","1226323__39485_46503","28117__216816","1308__39483","39485__46503"
"ERR478968",0,2.68744615211047,0,-2.71313654160563,0,0,-2.48785241691368,4.98475768843621,4.69929033793267,0,0,0,0,-4.30908678782752,-2.91636128284073,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48000630916832,0,0,0,5.05128591510689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.29549693057091,0,-2.89939059728765,0,0,0,-2.89575614056432,0,0,0,0,0,0,0,0,0,0,0,0,-3.08152479454574,0,0,0,-5.01559676178696,0,5.02189182548969,0,0,0,0,0,0,5.33735750893647,0,0,0,0,0
"ERR478969",0,2.70024560095009,0,-2.8887083826288,0,0,-2.48719720679401,4.97931836410398,5.00338968696321,0,0,0,0,-4.30795193061062,-2.91992482572948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05745815244516,0,0,0,0,0,0,-2.48989636952425,0,0,0,0,0,0,0,0,0,0,-2.89626452986838,0,0,0,-2.87569408086323,0,0,0,0,0,0,-4.3126270175973,0,0,0,0,0,-3.07692440881124,0,0,0,-4.9808482550802,0,5.01647731789162,0,0,0,0,0,0,5.3293894071099,0,0,0,0,0
"ERR478970",0,-5.01133483969849,0,0,-2.8538949098313,0,0,-0.185564681200218,0,0,0,0,4.94309098329001,0,0,0,0,0,0,0,0,0,-2.63597826645203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56564828514225,0,0,0,0,0,0,0,-3.1288563262957,0,0,0,0,0,0,0,0,0,-2.69238744640344,0,0,0,0,0,0,-5.85014041967667,0,-2.41082301406686,0,0,0,5.41933812672746,0,0,0,-4.66335185083138,0,0,-1.21389128390951,0,0,0,4.17566794842014,0
"ERR478971",0,-5.04214122745352,0,0,-2.84404787607673,0,0,-0.117232759384589,0,0,0,0,4.92603542052326,0,0,0,0,0,0,0,0,0,-2.6315863952803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55804134113251,0,0,0,0,0,0,0,-3.12192364717021,0,0,0,0,0,0,0,0,0,-2.70325180019024,0,0,0,0,0,0,-5.83232772468517,0,-2.38441457342311,0,0,0,5.40733037424954,0,0,0,-4.68216946358153,0,0,-1.27005567905899,0,0,0,4.12992718747649,0
"ERR478972",0,-5.09248398545968,0,-2.41113777760633,-2.85328920223625,0,0,-0.0502881195058058,4.17621313486287,0,0,0,4.94204186696086,0,0,0,0,0,0,0,0,0,-2.63881553909252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5705625855105,0,0,0,0,0,0,0,-3.11922231714947,0,0,0,0,0,0,0,0,0,-2.69762907234569,0,0,0,0,0,0,-5.81902054165319,0,0,0,0,0,5.40265153340561,0,0,0,-4.67243061327764,0,0,-1.29068610374824,0,0,0,0,0
"ERR478973",0,-5.01912225619823,0,0,-2.8339483415645,0,0,-0.168763126075092,0,0,0,0,4.90854251361528,0,0,0,0,0,0,0,0,0,-2.64267808052159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57725270351199,0,0,0,0,0,0,0,-3.12243602320982,0,0,0,0,0,0,0,0,0,-2.70625977978194,0,0,0,0,0,0,-5.83124256440485,0,-2.40217366648045,0,0,0,5.40821783558273,0,0,0,-4.68737943706249,0,0,-1.28907371152606,0,0,0,4.16068683894815,0
"ERR478974",-2.69709723335214,-2.83066140800443,4.67150944111935,0,0,0,0,-4.90284937768813,0,0,0,0,0,0,0,0,0,-2.79258148425802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83689301501101,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.01109508113344,0,-2.55155392146089,0,0,0,0,0,0,0,0,0,0,0,-2.45329649624706,0,0,-5.31963104474573,0,0,0,0,0,5.21536966694385,-4.41942103022186,-2.52096397875548,0,0,-4.24923417753062,0,-0.090461623512064,0,0,4.36643769525549,0,0
"ERR478975",-2.73315004673695,-2.82356271884277,4.73395474565764,0,0,0,0,-4.89055408739299,0,0,0,0,0,0,0,0,0,-2.80469207953588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85786918134216,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.01878663817068,0,-2.54787980757484,0,0,0,0,0,0,0,0,0,0,0,-2.47157458615385,0,0,-5.31896284398763,0,0,0,0,0,5.22869183452166,-4.41305727829844,-2.52129965503322,0,0,-4.28089275791449,0,-0.118663754195863,0,0,4.36701910362342,0,0
"ERR478976",-2.59664588350758,-2.99087922706864,-4.4975225994997,0,0,0,0,-5.18035478058522,0,-2.86659701512241,0,0,0,0,0,0,0,0,0,0,0,4.96509167501731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.38558498783983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.04777112218142,0,0,0,0,0,-4.13195440471218,-3.29844716930016,0,-2.43783645451257,0,0,0,0,0,5.27889443345943,0,0,0,0,0,0,0,-4.22245659975935,-5.71307808330963,0,0,-2.94165690107513,0,0,5.09509921109773
"ERR478977",-2.61393351175444,-2.97598391554533,-4.52746564996563,0,0,0,0,-5.15455534423229,0,-2.86045752173485,0,0,0,0,0,0,0,0,0,0,0,4.95445776053732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4026104265042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.06351012195799,0,0,0,0,0,-4.16144332950001,-3.29648702607154,0,-2.44339972663877,0,0,0,0,0,5.30615518073276,0,0,0,0,0,0,0,-4.23209246973825,-5.70968301564753,0,0,-2.93072909291201,0,0,5.07617169214385
