,D006262,D009765,accuracy,macro avg,weighted avg
precision,0.72,0.68,0.7,0.7,0.7
recall,0.65,0.75,0.7,0.7,0.7
f1-score,0.68,0.71,0.7,0.7,0.7
support,96.0,96.0,0.7,192.0,192.0
