,D004827
55197__28091_239974,0.06257438540989675
29370__1467_28446,-0.0
28038__310514_1844653,-0.0
1522__34038_36745,-0.0
329854__821_28116,-0.13289840821176507
1465521__1613_118748,-0.0
147802__1710_28025,-0.0
47770__29355_185293,-0.0
1010__41276_999468,-0.0
511__1264_301301,-0.3904201405349968
535744__1280_1282,-0.08396556267965492
2173__285_191295,-0.04987645144379185
1113741__1401_290588,0.03132597878907708
1888__67269_83617,-0.0
157687__228604,-0.0
28130__76517_386414,0.0036687429351473103
1613__118748,-0.0
529__294_587753,-0.0
1311__38288_1223514,-0.0
106648__1267_216935,0.34823028265700146
93064__153721_1611423,-0.0
100884__45067_173480,-0.42826865536543457
1467__28446,-0.0
108980__46503_536633,-0.18346842093594729
1755629__79880_136857,0.7539555752138173
28091__239974,-0.1423713185193042
1144673__40216_216778,-0.0
187452__29552_35825,-0.2344859068813108
310514__1844653,-0.0
13690__52787_56810,-0.0
239935__310298,-0.015686144425288283
225991__32013_80866,-0.0780844677148427
370979__490189,-0.0
28454__1113609,-0.0
28090__271420,-0.06942477240671045
28135__477666,-0.005375906590389859
41276__999468,-0.0
1352__37734,-0.0
1264__301301,0.0623300342195781
76517__386414,0.06823798044902664
153721__1611423,0.06383791737244685
34038__36745,-0.0
34087__196024,0.2652029900231218
1746653__488_41976,0.514410021868545
29461__53408_1661050,-0.3999274468063641
46503__536633,-0.17473574404316494
243924__1453492,-0.0
1710__28025,-0.0
1401__290588,0.11295535650120656
43770__291644_871324,-0.3550454714242351
47877__1661032,-0.1724411318146699
60133__28132_470565,0.44221973407503984
29355__185293,-0.0
67269__83617,0.018840597671162317
1532__1308_1535,1.034164488905528
1597__1582_2741,0.057386524592922365
1254__28901_882211,-0.09230037391027576
1547__29360_84030,-0.5788186839357559
53363__28127_43131,0.3022623963857482
1725__1487956,-0.176597556972254
1408__584_102862,-0.02246048632097324
29430__202956,-0.16392283384178108
470__137732,0.9911254539566814
40681__376804,-0.0
76759__83263,-0.25824904512949265
1504__39489,-0.33346441359064344
285__191295,-0.014226838538389162
40216__216778,0.06311370408499939
216947__423605,-1.5719371516758
38288__1223514,0.4634696371596943
821__28116,-0.02156712191374431
1280__1282,-0.25697399152523465
1727__191493,0.4042609098064773
1267__216935,0.8510813092394932
52787__56810,-0.07008196447901019
294__587753,-0.0
626937__122355_189722,0.445501634393542
79880__136857,-0.20613263618967828
1308__1535,0.4375492453289541
179995__40519_163877,0.1881479370721671
79883__84032,0.43398416665246503
288965__28117_204516,0.04785656323866734
1670__1646377,0.3680394375997927
349096__291645_1148157,-0.39944700547226697
33039__387661,0.2365373672132768
39497__45254,-0.03858076836807451
1465754__1691_29356,-0.8714982430790028
626931__33043_487175,-0.006647939846141721
729__218538,-0.3176736762904828
633701__88688_237258,-0.6389343875022853
584__102862,-0.3490407523846377
208479__358742,-0.37060869332964974
228603__1571_1902,-0.7854623718839435
1582__2741,-0.5743396410578943
1859290__1260_1827099,0.20756236658501714
410072__316_251535,-1.0098511102786556
1623__138595,-0.2536276390931933
291644__871324,-0.6724582578002989
29552__35825,-0.6005942990223715
308892__40214_40324,0.3666569808617503
122355__189722,-0.3770567431056153
166486__29524_1113922,-1.0246965756478486
28117__204516,0.03452668208460726
39496__907_261299,0.3921813885106426
47879__28111_397865,0.3001932994642329
28137__33038_39778,0.24226821116063996
28901__882211,-0.3283274549613568
33043__487175,-0.37138128997050496
317__143393_284042,-1.178082538843479
57706__39485_40520,-0.4625578891296192
28125__28136,-0.16882508219912706
70775__328812_387090,0.6986871513741035
421767__823_187327,1.2653814724858763
1584__28026_39484,0.6706070827946656
483012__29348_216816,-0.3384328392205123
1472__820_1755626,0.1427645545044638
33935__293_1630,0.3283708160207229
28111__397865,-0.1222091532402462
77095__454155_589436,-0.04200066380823767
441500__287_40518,1.1563739554965755
33038__39778,-0.577586226844739
671267__39492_454154,0.06893876511548075
907__261299,0.03852748268529453
39485__40520,-0.32912600240596435
33034__582_1680,0.15353436825301786
78346__28128_1161942,-0.06391804322356469
626930__818_69825,0.1897009398205588
328812__387090,0.19666841814543412
82135__1685_28037,0.8069334122359167
823__187327,0.20874292259808264
28026__39484,-0.475762860160363
29348__216816,-0.38524364883021617
214856__44749_45851,-0.2982696903438574
341225__310297_328813,0.5939122524768615
40214__40324,0.2680454766218625
293__1630,-0.0
1735__626932,-1.6417574190909296
287__40518,0.5263472702856334
39492__454154,-0.562489761216309
820__1755626,0.17815170520454146
28128__1161942,0.8695252384985792
582__1680,0.4961076398185105
1633__817_46506,0.7147218891868579
454155__589436,1.356344912509171
1685__28037,-0.7201587592266475
860__43675,0.006359342223592138
818__69825,0.02261429601725579
29360__84030,0.4034696667151276
1303__1379,0.0020143883915291145
1265__1515_246787,0.5682480258926118
310297__328813,-0.7136002868131107
1506__47678_165179,0.4248400656858078
28127__43131,-0.5884860984859361
29466__425941,0.12176470899794155
40519__163877,-0.3899074216569983
588__1034636,0.2364198860103571
1260__1827099,-0.6905071425943693
488__41976,0.2491381922213528
106654__516075,-0.08986152674363425
33031__184870,0.7935432228461271
817__46506,0.3058639850308764
44749__45851,0.7202012221518704
471__48296,-0.1492640390048602
1510__328814,-0.6802839557446569
1689__28126,-1.177662842082676
47678__165179,0.6902551909739529
1687__36835,-0.7094026209966005
53408__1661050,-1.2904271038166002
562__310300,-1.0716825644548431
1515__246787,-0.7281340797944382
28132__470565,0.20042879561455887
36874__187491,0.4798867616736864
32013__80866,-0.09653050235965104
47880__101564,0.03322740966838848
291645__1148157,0.6377529700342068
1691__29356,-1.165274677561222
88688__237258,0.09684865769504608
53412__658457,0.0144612062910145
1571__1902,1.40564851021923
143393__284042,0.3281049539446146
180282__290309,0.16956441285937005
452084__1463864,0.2690764402761217
1463837__303_1661055,-0.13795078368640765
879__851_467210,-1.192143984531726
29524__1113922,0.9741701929860482
316__251535,0.011554250621443522
303__1661055,-0.0
851__467210,-0.013245055693747286
45067__173480,0.573550509649549
