,D004827,D006262,accuracy,macro avg,weighted avg
precision,0.9,0.98,0.95,0.94,0.95
recall,0.97,0.93,0.95,0.95,0.95
f1-score,0.93,0.96,0.95,0.94,0.95
support,711.0,1170.0,0.95,1881.0,1881.0
