,D003924,D006262,accuracy,macro avg,weighted avg
precision,0.72,0.69,0.7,0.7,0.7
recall,0.66,0.74,0.7,0.7,0.7
f1-score,0.69,0.71,0.7,0.7,0.7
support,260.0,260.0,0.7,520.0,520.0
