,D003015,D006262,accuracy,macro avg,weighted avg
precision,0.95,0.93,0.94,0.94,0.94
recall,0.89,0.97,0.94,0.93,0.94
f1-score,0.92,0.95,0.94,0.93,0.94
support,122.0,186.0,0.94,308.0,308.0
