"","Part","BalanceID","Component","Group","d.group"
"116","1","1535__187327","1535","1535__1873271","p__Terrabacteria group"
"425","-1","1535__187327","187327","1535__187327-1","p__Terrabacteria group"
"965","-1","239935__82135_117207","82135","239935__82135_117207-1","p__Terrabacteria group"
"1000","-1","239935__82135_117207","117207","239935__82135_117207-1","p__Proteobacteria"
"1081","1","239935__82135_117207","239935","239935__82135_1172071","p__PVC group"
"1389","-1","40519__1681_376805","1681","40519__1681_376805-1","p__Terrabacteria group"
"1520","1","40519__1681_376805","40519","40519__1681_3768051","p__Terrabacteria group"
"1753","-1","40519__1681_376805","376805","40519__1681_376805-1","p__FCB group"
"2125","1","39486__79880_106648","39486","39486__79880_1066481","p__Terrabacteria group"
"2206","-1","39486__79880_106648","79880","39486__79880_106648-1","p__Terrabacteria group"
"2238","-1","39486__79880_106648","106648","39486__79880_106648-1","p__Proteobacteria"
"2658","-1","228604__28026_47678","28026","228604__28026_47678-1","p__Terrabacteria group"
"2786","-1","228604__28026_47678","47678","228604__28026_47678-1","p__FCB group"
"2943","1","228604__28026_47678","228604","228604__28026_476781","p__FCB group"
"3131","-1","585__529_101564","529","585__529_101564-1","p__Proteobacteria"
"3141","1","585__529_101564","585","585__529_1015641","p__Proteobacteria"
"3473","-1","585__529_101564","101564","585__529_101564-1","p__Proteobacteria"
"3916","1","28127__33029","28127","28127__330291","p__FCB group"
"3954","-1","28127__33029","33029","28127__33029-1","p__Terrabacteria group"
"4757","1","163202__196024","163202","163202__1960241","p__Terrabacteria group"
"4788","-1","163202__196024","196024","163202__196024-1","p__Proteobacteria"
"5135","1","2088__535744","2088","2088__5357441","p__Terrabacteria group"
"5522","-1","2088__535744","535744","2088__535744-1","p__Proteobacteria"
"5739","-1","39490__1633_626933","1633","39490__1633_626933-1","p__Terrabacteria group"
"5860","1","39490__1633_626933","39490","39490__1633_6269331","p__Terrabacteria group"
"6157","-1","39490__1633_626933","626933","39490__1633_626933-1","p__FCB group"
"6313","1","1379__52787","1379","1379__527871","p__Terrabacteria group"
"6529","-1","1379__52787","52787","1379__52787-1","p__Terrabacteria group"
"6850","-1","225991__285_158787","285","225991__285_158787-1","p__Proteobacteria"
"7241","-1","225991__285_158787","158787","225991__285_158787-1","p__Terrabacteria group"
"7294","1","225991__285_158787","225991","225991__285_1587871","p__Proteobacteria"
"7634","1","28026__47678","28026","28026__476781","p__Terrabacteria group"
"7762","-1","28026__47678","47678","28026__47678-1","p__FCB group"
"8138","-1","43770__850_291644","850","43770__850_291644-1","p__Fusobacteria"
"8372","1","43770__850_291644","43770","43770__850_2916441","p__Terrabacteria group"
"8560","-1","43770__850_291644","291644","43770__850_291644-1","p__FCB group"
"8711","-1","52227__199_28137","199","52227__199_28137-1","p__Proteobacteria"
"8901","-1","52227__199_28137","28137","52227__199_28137-1","p__FCB group"
"9016","1","52227__199_28137","52227","52227__199_281371","p__FCB group"
"9394","-1","183417__905_89014","905","183417__905_89014-1","p__Terrabacteria group"
"9689","-1","183417__905_89014","89014","183417__905_89014-1","p__Terrabacteria group"
"9750","1","183417__905_89014","183417","183417__905_890141","p__Proteobacteria"
"10291","1","78346__589437","78346","78346__5894371","p__Terrabacteria group"
"10506","-1","78346__589437","589437","78346__589437-1","p__FCB group"
"10680","-1","671267__1504_1623","1504","671267__1504_1623-1","p__Terrabacteria group"
"10711","-1","671267__1504_1623","1623","671267__1504_1623-1","p__Terrabacteria group"
"11141","1","671267__1504_1623","671267","671267__1504_16231","p__FCB group"
"11244","-1","84026__823_626937","823","84026__823_626937-1","p__FCB group"
"11544","1","84026__823_626937","84026","84026__823_6269371","p__Terrabacteria group"
"11757","-1","84026__823_626937","626937","84026__823_626937-1","p__Terrabacteria group"
"12204","1","138595__157687","138595","138595__1576871","p__Terrabacteria group"
"12215","-1","138595__157687","157687","138595__157687-1","p__Fusobacteria"
"12780","1","79880__106648","79880","79880__1066481","p__Terrabacteria group"
"12812","-1","79880__106648","106648","79880__106648-1","p__Proteobacteria"
"13192","-1","574375__1597_48296","1597","574375__1597_48296-1","p__Terrabacteria group"
"13367","-1","574375__1597_48296","48296","574375__1597_48296-1","p__Proteobacteria"
"13611","1","574375__1597_48296","574375","574375__1597_482961","p__Terrabacteria group"
"13744","1","876__36835_38986","876","876__36835_389861","p__Proteobacteria"
"13928","-1","876__36835_38986","36835","876__36835_38986-1","p__Terrabacteria group"
"13938","-1","876__36835_38986","38986","876__36835_38986-1","p__Terrabacteria group"
"14657","1","84032__216778","84032","84032__2167781","p__Terrabacteria group"
"14752","-1","84032__216778","216778","84032__216778-1","p__Proteobacteria"
"15123","-1","47246__28446_36847","28446","47246__28446_36847-1","p__Terrabacteria group"
"15173","-1","47246__28446_36847","36847","47246__28446_36847-1","p__Terrabacteria group"
"15225","1","47246__28446_36847","47246","47246__28446_368471","p__Terrabacteria group"
"15613","1","901__28025","901","901__280251","p__Proteobacteria"
"15719","-1","901__28025","28025","901__28025-1","p__Terrabacteria group"
"16335","-1","29355__2736_423605","2736","29355__2736_423605-1","p__PVC group"
"16374","1","29355__2736_423605","29355","29355__2736_4236051","p__Terrabacteria group"
"16693","-1","29355__2736_423605","423605","29355__2736_423605-1","p__Elusimicrobia"
"16922","1","1590__187452","1590","1590__1874521","p__Terrabacteria group"
"17220","-1","1590__187452","187452","1590__187452-1","p__Terrabacteria group"
"17456","1","726__28135_1661050","726","726__28135_16610501","p__Proteobacteria"
"17607","-1","726__28135_1661050","28135","726__28135_1661050-1","p__FCB group"
"18031","-1","726__28135_1661050","1661050","726__28135_1661050-1","p__Proteobacteria"
"18211","-1","202956__28090_866801","28090","202956__28090_866801-1","p__Proteobacteria"
"18478","1","202956__28090_866801","202956","202956__28090_8668011","p__Proteobacteria"
"18613","-1","202956__28090_866801","866801","202956__28090_866801-1","p__Terrabacteria group"
"19007","1","83771__658457","83771","83771__6584571","p__Proteobacteria"
"19225","-1","83771__658457","658457","83771__658457-1","p__Proteobacteria"
"19330","1","823__626937","823","823__6269371","p__FCB group"
"19843","-1","823__626937","626937","823__626937-1","p__Terrabacteria group"
"20096","1","28136__310300","28136","28136__3103001","p__FCB group"
"20390","-1","28136__310300","310300","28136__310300-1","p__FCB group"
"20712","1","28129__103892","28129","28129__1038921","p__FCB group"
"20894","-1","28129__103892","103892","28129__103892-1","p__Terrabacteria group"
"21310","-1","46228__2173_47877","2173","46228__2173_47877-1","p__Euryarchaeota"
"21442","1","46228__2173_47877","46228","46228__2173_478771","p__Terrabacteria group"
"21449","-1","46228__2173_47877","47877","46228__2173_47877-1","p__Proteobacteria"
"21825","-1","1307__853_166486","853","1307__853_166486-1","p__Terrabacteria group"
"21848","1","1307__853_166486","1307","1307__853_1664861","p__Terrabacteria group"
"22179","-1","1307__853_166486","166486","1307__853_166486-1","p__Terrabacteria group"
"22640","1","36874__288965","36874","36874__2889651","p__FCB group"
"22863","-1","36874__288965","288965","36874__288965-1","p__Terrabacteria group"
"23482","1","271420__762212","271420","271420__7622121","p__Proteobacteria"
"23587","-1","271420__762212","762212","271420__762212-1","p__Terrabacteria group"
"23694","1","860__1311","860","860__13111","p__Fusobacteria"
"23716","-1","860__1311","1311","860__1311-1","p__Terrabacteria group"
"24418","1","2139__100884_626931","2139","2139__100884_6269311","p__Terrabacteria group"
"24620","-1","2139__100884_626931","100884","2139__100884_626931-1","p__Terrabacteria group"
"24815","-1","2139__100884_626931","626931","2139__100884_626931-1","p__FCB group"
"25215","1","77095__338188","77095","77095__3381881","p__FCB group"
"25374","-1","77095__338188","338188","77095__338188-1","p__FCB group"
"25739","1","34087__189426","34087","34087__1894261","p__FCB group"
"25930","-1","34087__189426","189426","34087__189426-1","p__Terrabacteria group"
"26220","1","1406__1488214","1406","1406__14882141","p__Terrabacteria group"
"26732","-1","1406__1488214","1488214","1406__1488214-1","p__Proteobacteria"
"26763","1","483__253239","483","483__2532391","p__Proteobacteria"
"27210","-1","483__253239","253239","483__253239-1","p__Terrabacteria group"
"27472","1","1501__1584","1501","1501__15841","p__Terrabacteria group"
"27494","-1","1501__1584","1584","1501__1584-1","p__Terrabacteria group"
"28463","1","290588__315405","290588","290588__3154051","p__Terrabacteria group"
"28478","-1","290588__315405","315405","290588__315405-1","p__Terrabacteria group"
"29013","1","160453__1113741","160453","160453__11137411","p__Terrabacteria group"
"29198","-1","160453__1113741","1113741","160453__1113741-1","p__Terrabacteria group"
"29514","1","40682__587753","40682","40682__5877531","p__Proteobacteria"
"29785","-1","40682__587753","587753","40682__587753-1","p__Proteobacteria"
"30037","1","28124__452084","28124","28124__4520841","p__FCB group"
"30382","-1","28124__452084","452084","28124__452084-1","p__FCB group"
"30821","1","82135__117207","82135","82135__1172071","p__Terrabacteria group"
"30856","-1","82135__117207","117207","82135__117207-1","p__Proteobacteria"
"31579","1","305719__863643","305719","305719__8636431","p__FCB group"
"31674","-1","305719__863643","863643","305719__863643-1","p__Terrabacteria group"
"31942","1","32013__255723","32013","32013__2557231","p__Proteobacteria"
"32188","-1","32013__255723","255723","32013__255723-1","p__Terrabacteria group"
"32737","1","153721__1134563","153721","153721__11345631","p__FCB group"
"32936","-1","153721__1134563","1134563","153721__1134563-1","p__FCB group"
"33018","1","850__291644","850","850__2916441","p__Fusobacteria"
"33440","-1","850__291644","291644","850__291644-1","p__FCB group"
"33682","1","1401__147709","1401","1401__1477091","p__Terrabacteria group"
"33978","-1","1401__147709","147709","1401__147709-1","p__Terrabacteria group"
"34272","1","881__421767","881","881__4217671","p__Proteobacteria"
"34730","-1","881__421767","421767","881__421767-1","p__Terrabacteria group"
"34833","1","103__239974","103","103__2399741","p__FCB group"
"35292","-1","103__239974","239974","103__239974-1","p__Terrabacteria group"
"35561","1","1506__341220","1506","1506__3412201","p__Terrabacteria group"
"35949","-1","1506__341220","341220","1506__341220-1","p__Terrabacteria group"
"36144","1","1249__56810","1249","1249__568101","p__Terrabacteria group"
"36395","-1","1249__56810","56810","1249__56810-1","p__Proteobacteria"
"36938","1","35825__78257","35825","35825__782571","p__Terrabacteria group"
"37034","-1","35825__78257","78257","35825__78257-1","p__Terrabacteria group"
"37626","1","48466__1844653","48466","48466__18446531","p__PVC group"
"37941","-1","48466__1844653","1844653","48466__1844653-1","p__Terrabacteria group"
"38268","1","61635__1746653","61635","61635__17466531","p__Terrabacteria group"
"38559","-1","61635__1746653","1746653","61635__1746653-1","p__Terrabacteria group"
"38779","1","29461__1488215","29461","29461__14882151","p__Proteobacteria"
"39173","-1","29461__1488215","1488215","29461__1488215-1","p__Proteobacteria"
"39331","1","1681__376805","1681","1681__3768051","p__Terrabacteria group"
"39695","-1","1681__376805","376805","1681__376805-1","p__FCB group"
"39816","1","285__158787","285","285__1587871","p__Proteobacteria"
"40207","-1","285__158787","158787","285__158787-1","p__Terrabacteria group"
"40883","1","227943__520083_1223514","227943","227943__520083_12235141","p__Terrabacteria group"
"40974","-1","227943__520083_1223514","520083","227943__520083_1223514-1","p__Terrabacteria group"
"41028","-1","227943__520083_1223514","1223514","227943__520083_1223514-1","p__Terrabacteria group"
"41131","-1","741091__1308_1358","1308","741091__1308_1358-1","p__Terrabacteria group"
"41143","-1","741091__1308_1358","1358","741091__1308_1358-1","p__Terrabacteria group"
"41622","1","741091__1308_1358","741091","741091__1308_13581","p__Proteobacteria"
"41780","1","1504__1623","1504","1504__16231","p__Terrabacteria group"
"41811","-1","1504__1623","1623","1504__1623-1","p__Terrabacteria group"
"42360","1","905__89014","905","905__890141","p__Terrabacteria group"
"42655","-1","905__89014","89014","905__89014-1","p__Terrabacteria group"
"43115","1","28454__146817","28454","28454__1468171","p__FCB group"
"43306","-1","28454__146817","146817","28454__146817-1","p__Terrabacteria group"
"43779","1","35787__1113609","35787","35787__11136091","p__Terrabacteria group"
"44125","-1","35787__1113609","1113609","35787__1113609-1","p__FCB group"
"44247","1","1338__147802","1338","1338__1478021","p__Terrabacteria group"
"44553","-1","1338__147802","147802","1338__147802-1","p__Terrabacteria group"
"45056","-1","633417__40215_384638","40215","633417__40215_384638-1","p__Proteobacteria"
"45295","-1","633417__40215_384638","384638","633417__40215_384638-1","p__Terrabacteria group"
"45346","1","633417__40215_384638","633417","633417__40215_3846381","p__Proteobacteria"
"45721","1","53446__1661032","53446","53446__16610321","p__Terrabacteria group"
"46020","-1","53446__1661032","1661032","53446__1661032-1","p__Proteobacteria"
"46232","-1","202955__29360_39483","29360","202955__29360_39483-1","p__Terrabacteria group"
"46284","-1","202955__29360_39483","39483","202955__29360_39483-1","p__Terrabacteria group"
"46467","1","202955__29360_39483","202955","202955__29360_394831","p__Proteobacteria"
"46773","1","1580__281920","1580","1580__2819201","p__Terrabacteria group"
"47119","-1","1580__281920","281920","1580__281920-1","p__FCB group"
"47496","1","33032__390877","33032","33032__3908771","p__Terrabacteria group"
"47787","-1","33032__390877","390877","33032__390877-1","p__Proteobacteria"
"48070","1","28114__376806","28114","28114__3768061","p__FCB group"
"48404","-1","28114__376806","376806","28114__376806-1","p__FCB group"
"48719","1","29356__97084","29356","29356__970841","p__Terrabacteria group"
"48877","-1","29356__97084","97084","29356__97084-1","p__Proteobacteria"
"49493","1","86958__104663","86958","86958__1046631","p__Terrabacteria group"
"49508","-1","86958__104663","104663","86958__104663-1","p__FCB group"
"49877","1","1539__1613_1465521","1539","1539__1613_14655211","p__Terrabacteria group"
"49895","-1","1539__1613_1465521","1613","1539__1613_1465521-1","p__Terrabacteria group"
"50365","-1","1539__1613_1465521","1465521","1539__1613_1465521-1","p__Terrabacteria group"
"50569","1","28130__76517","28130","28130__765171","p__FCB group"
"50715","-1","28130__76517","76517","28130__76517-1","p__Proteobacteria"
"51328","1","59310__1229909","59310","59310__12299091","p__Terrabacteria group"
"51603","-1","59310__1229909","1229909","59310__1229909-1","p__TACK group"
"51870","1","36835__38986","36835","36835__389861","p__Terrabacteria group"
"51880","-1","36835__38986","38986","36835__38986-1","p__Terrabacteria group"
"52571","1","58172__80866","58172","58172__808661","p__Terrabacteria group"
"52590","-1","58172__80866","80866","58172__80866-1","p__Proteobacteria"
"53018","1","1687__1691","1687","1687__16911","p__Terrabacteria group"
"53020","-1","1687__1691","1691","1687__1691-1","p__Terrabacteria group"
"53792","1","47770__691816","47770","47770__6918161","p__Terrabacteria group"
"54061","-1","47770__691816","691816","47770__691816-1","p__FCB group"
"54134","1","511__871324","511","511__8713241","p__Proteobacteria"
"54690","-1","511__871324","871324","511__871324-1","p__FCB group"
"55123","1","143393__182710","143393","143393__1827101","p__Terrabacteria group"
"55155","-1","143393__182710","182710","143393__182710-1","p__Terrabacteria group"
"55549","1","28135__1661050","28135","28135__16610501","p__FCB group"
"55973","-1","28135__1661050","1661050","28135__1661050-1","p__Proteobacteria"
"56063","1","1335__328812_437898","1335","1335__328812_4378981","p__Terrabacteria group"
"56469","-1","1335__328812_437898","328812","1335__328812_437898-1","p__FCB group"
"56503","-1","1335__328812_437898","437898","1335__328812_437898-1","p__Proteobacteria"
"56812","-1","517011__29385_1611423","29385","517011__29385_1611423-1","p__Terrabacteria group"
"57144","1","517011__29385_1611423","517011","517011__29385_16114231","p__Proteobacteria"
"57214","-1","517011__29385_1611423","1611423","517011__29385_1611423-1","p__FCB group"
"57279","1","853__166486","853","853__1664861","p__Terrabacteria group"
"57633","-1","853__166486","166486","853__166486-1","p__Terrabacteria group"
"57976","1","1597__48296","1597","1597__482961","p__Terrabacteria group"
"58151","-1","1597__48296","48296","1597__48296-1","p__Proteobacteria"
"58534","1","1010__41276","1010","1010__412761","p__FCB group"
"58749","-1","1010__41276","41276","1010__41276-1","p__Proteobacteria"
"59231","1","1633__626933","1633","1633__6269331","p__Terrabacteria group"
"59649","-1","1633__626933","626933","1633__626933-1","p__FCB group"
"59723","-1","57732__294_28118","294","57732__294_28118-1","p__Proteobacteria"
"59891","-1","57732__294_28118","28118","57732__294_28118-1","p__FCB group"
