,D003015,D006262,accuracy,macro avg,weighted avg
precision,0.86,0.87,0.86,0.86,0.86
recall,0.87,0.86,0.86,0.86,0.86
f1-score,0.86,0.86,0.86,0.86,0.86
support,1255.0,1255.0,0.86,2510.0,2510.0
