,D006262,D016918,accuracy,macro avg,weighted avg
precision,1.0,0.86,0.92,0.93,0.93
recall,0.84,1.0,0.92,0.92,0.92
f1-score,0.92,0.93,0.92,0.92,0.92
support,32.0,32.0,0.92,64.0,64.0
